Time AX AY AZ GX GY GZ
0.014092290992266499 0.062 0.089 1.155 -2.687 21.344 -42.733
0.026122875002329238 0.06 0.084 1.157 -1.977 21.26 -43.847
0.03313279099529609 0.053 0.084 1.162 -0.832 20.595 -44.176
0.045344665995799005 0.057 0.097 1.165 0.168 19.878 -43.817
0.05090204099542461 0.069 0.1 1.169 0.847 19.695 -43.015
0.06437762499263044 0.072 0.104 1.168 0.847 19.832 -42.267
0.07680816599167883 0.064 0.108 1.174 -0.656 19.351 -41.374
0.08333537499129307 0.069 0.103 1.175 -1.84 19.137 -41.649
0.09578887499810662 0.06 0.101 1.177 -2.527 19.542 -42.817
0.1025332909921417 0.062 0.11 1.166 -3.412 18.87 -44.122
0.11448229099914897 0.065 0.105 1.164 -3.397 20.885 -45.153
0.12682983299600892 0.067 0.11 1.159 -3.252 22.45 -45.832
0.13361433299724013 0.062 0.114 1.168 -3.435 22.435 -45.679
0.14597087500442285 0.066 0.111 1.178 -2.977 21.649 -44.947
0.1529578329937067 0.063 0.112 1.175 -3.214 20.015 -44.107
0.1647827499982668 0.061 0.112 1.187 -2.336 17.649 -42.557
0.1767307499976596 0.069 0.116 1.175 -2.0 16.16 -41.282
0.18373895800323226 0.075 0.113 1.158 -2.282 16.84 -40.275
0.19583312499162275 0.072 0.101 1.154 -2.221 18.603 -40.901
0.20269954099785537 0.065 0.099 1.16 -2.321 19.397 -42.382
0.21474045800277963 0.069 0.103 1.155 -2.229 21.008 -43.443
0.2269337909965543 0.068 0.089 1.162 -2.107 22.26 -44.084
0.23367641599907074 0.055 0.095 1.18 -2.282 21.878 -44.328
0.2458971659943927 0.051 0.096 1.178 -1.924 21.519 -44.099
0.25262349999684375 0.05 0.094 1.17 -2.344 20.634 -44.565
0.26493341599416453 0.058 0.083 1.18 -2.786 19.527 -44.298
0.27721983299124986 0.061 0.093 1.169 -2.924 19.076 -44.176
0.2838951659941813 0.052 0.088 1.161 -3.344 19.038 -43.298
0.29619287500099745 0.056 0.087 1.168 -2.504 18.481 -42.344
0.30301000000326894 0.049 0.099 1.159 -1.985 18.344 -42.168
0.3152152499969816 0.06 0.082 1.164 -1.511 19.191 -43.366
0.3272654159954982 0.06 0.095 1.157 -1.618 20.076 -45.214
0.3343092080031056 0.068 0.093 1.161 -1.504 20.656 -47.008
0.34618308299104683 0.072 0.093 1.164 -1.664 21.58 -47.107
0.35335758299333975 0.075 0.104 1.17 -1.443 21.115 -46.031
0.3652788750041509 0.073 0.111 1.172 -1.71 19.725 -43.924
0.3722117909928784 0.071 0.109 1.167 -1.992 18.45 -41.756
0.38432737499533687 0.074 0.106 1.179 -1.908 18.092 -41.298
0.3964856249949662 0.08 0.105 1.165 -1.962 18.702 -41.977
0.40322645800188184 0.087 0.107 1.146 -2.931 21.473 -43.359
0.41552349999255966 0.084 0.109 1.157 -3.504 24.29 -44.863
0.42243695800425485 0.063 0.105 1.173 -3.466 23.939 -45.618
0.43469125000410713 0.057 0.111 1.181 -2.802 21.718 -45.0
0.44676895800512284 0.065 0.103 1.177 -2.145 19.832 -43.29
0.45363295800052583 0.063 0.105 1.177 -1.794 17.924 -42.275
0.465984833004768 0.073 0.101 1.166 -1.763 17.16 -40.244
0.47279195800365414 0.075 0.092 1.16 -2.282 17.198 -40.282
0.48485779100155924 0.068 0.094 1.16 -2.573 18.473 -40.435
0.4967614999914076 0.07 0.095 1.172 -2.313 19.527 -41.718
0.5040210409933934 0.065 0.092 1.156 -3.015 20.481 -43.374
0.5159255409962498 0.078 0.088 1.156 -3.603 22.214 -44.527
0.5231926249980461 0.072 0.091 1.159 -3.237 23.435 -45.115
0.5349184999940917 0.056 0.089 1.167 -2.977 22.695 -44.802
0.5470614999940153 0.048 0.09 1.172 -2.435 21.191 -43.076
0.5541284159990028 0.054 0.093 1.16 -1.542 19.924 -42.023
0.5662199159996817 0.058 0.102 1.171 -1.321 19.748 -41.84
0.5730544999969425 0.046 0.108 1.189 -2.099 18.038 -41.389
0.5851882499991916 0.051 0.107 1.179 -2.427 17.153 -41.13
0.5973647499922663 0.074 0.102 1.17 -3.634 18.344 -41.832
0.6041690409911098 0.076 0.093 1.145 -4.198 21.275 -43.16
0.616308458003914 0.059 0.089 1.152 -4.084 22.626 -43.664
0.6232923329953337 0.053 0.084 1.166 -2.878 22.702 -43.198
0.6353739579935791 0.053 0.09 1.17 -1.786 21.573 -43.626
0.6472969159949571 0.05 0.106 1.167 -1.374 20.405 -43.366
0.654511624990846 0.041 0.098 1.17 -0.947 18.962 -42.534
0.666450958000496 0.055 0.106 1.18 -0.893 17.321 -42.481
0.6734874999965541 0.07 0.102 1.169 -1.824 17.733 -42.947
0.6853627910022624 0.069 0.105 1.169 -2.771 18.916 -43.511
0.6925601249968167 0.079 0.102 1.169 -3.412 19.832 -43.374
0.7044333329977235 0.079 0.099 1.149 -3.71 21.595 -44.023
0.7166292500041891 0.059 0.089 1.167 -3.74 21.939 -43.908
0.7235257080028532 0.052 0.096 1.177 -3.115 20.969 -43.824
0.7356331659975694 0.059 0.092 1.176 -2.969 20.137 -43.802
0.7425599160051206 0.071 0.101 1.16 -2.771 20.092 -43.519
0.7547709999926155 0.054 0.103 1.16 -2.802 20.458 -43.313
0.7667881660017883 0.053 0.097 1.159 -2.649 20.267 -42.87
0.773733624999295 0.057 0.097 1.168 -2.519 18.603 -41.916
0.786098041004152 0.057 0.098 1.173 -2.397 18.16 -41.557
0.7927187909954228 0.068 0.09 1.159 -2.466 18.985 -42.191
0.8049157909990754 0.064 0.087 1.152 -3.076 20.427 -42.718
