Time AX AY AZ GX GY GZ
0.019825333001790568 0.051 0.069 1.156 -0.26 20.305 -42.847
0.026513458011322655 0.051 0.076 1.188 -0.038 19.489 -42.855
0.038615249999566004 0.035 0.085 1.181 -0.427 19.16 -42.763
0.05107158300234005 0.03 0.09 1.188 -2.542 18.107 -43.198
0.058235375006916 0.034 0.08 1.189 -3.748 16.679 -42.626
0.07011491700541228 0.053 0.07 1.17 -3.374 15.786 -42.206
0.07742804200097453 0.052 0.07 1.175 -2.458 16.641 -41.672
0.08954312501009554 0.05 0.071 1.171 -1.0 17.0 -41.809
0.095323166999151 0.06 0.07 1.168 -0.137 18.718 -42.802
0.1088222500111442 0.048 0.072 1.178 -0.802 20.962 -44.053
0.12067258299794048 0.045 0.086 1.187 -1.725 22.031 -44.809
0.12773725000442937 0.048 0.08 1.182 -3.038 22.45 -45.053
0.14009995800734032 0.048 0.077 1.188 -3.481 22.519 -44.87
0.14714979199925438 0.04 0.073 1.184 -3.74 21.405 -43.824
0.15931724999973085 0.027 0.073 1.196 -3.031 18.389 -42.641
0.17148641700623557 0.023 0.064 1.191 -2.359 14.389 -40.763
0.17842900000687223 0.032 0.068 1.184 -1.878 13.313 -41.221
0.1903940420015715 0.04 0.074 1.181 -1.679 14.679 -43.13
0.1975402079988271 0.059 0.077 1.177 -2.664 18.267 -44.023
0.20968229199934285 0.076 0.072 1.167 -2.977 21.282 -44.664
0.21729891700670123 0.067 0.075 1.175 -3.038 23.29 -44.397
0.22907204199873377 0.047 0.083 1.174 -3.405 22.534 -43.137
0.24110725001082756 0.033 0.076 1.192 -2.977 20.443 -42.344
0.2481775420019403 0.03 0.076 1.178 -2.557 18.55 -42.321
0.2603379170031985 0.042 0.074 1.179 -2.74 17.779 -42.366
0.26725175000319723 0.045 0.075 1.174 -3.397 17.496 -42.26
0.2794445830077166 0.048 0.074 1.167 -3.863 18.16 -42.282
0.28655600000638515 0.045 0.069 1.168 -3.802 18.435 -43.168
0.2988837080047233 0.065 0.069 1.174 -3.489 19.45 -44.244
0.31099154200637713 0.081 0.073 1.167 -3.511 21.137 -45.412
0.3178326250053942 0.074 0.074 1.178 -3.466 21.443 -45.389
0.33003987499978393 0.058 0.077 1.192 -2.893 18.771 -44.511
0.3371926250110846 0.074 0.081 1.186 -2.565 17.687 -43.641
0.3492501250002533 0.086 0.088 1.169 -2.435 17.405 -43.084
0.36135787500825245 0.094 0.084 1.171 -3.038 17.557 -42.725
0.36852683300094213 0.08 0.076 1.175 -3.748 17.679 -42.809
0.3807285420043627 0.083 0.065 1.183 -4.634 17.511 -43.748
0.387588167010108 0.109 0.064 1.167 -5.344 16.656 -44.321
0.3997010000020964 0.135 0.071 1.164 -5.237 17.191 -45.076
0.4069691250042524 0.15 0.074 1.159 -5.58 19.229 -46.046
0.41895975000807084 0.147 0.075 1.167 -6.168 20.954 -46.901
0.4312735830026213 0.129 0.078 1.163 -6.626 21.344 -47.374
0.43838225000945386 0.127 0.067 1.174 -6.237 19.779 -47.122
0.45041641700663604 0.115 0.063 1.171 -5.473 17.656 -46.954
0.4573454580095131 0.117 0.057 1.162 -5.718 17.611 -47.588
0.4694800420111278 0.113 0.048 1.174 -6.046 17.847 -49.359
0.47660345800977666 0.123 0.047 1.158 -5.901 18.435 -49.802
0.4889116670092335 0.13 0.052 1.157 -5.939 19.687 -50.565
0.5010970000002999 0.122 0.06 1.17 -6.046 19.145 -50.26
0.5081657080008881 0.119 0.061 1.177 -6.473 17.183 -48.534
0.520213000010699 0.146 0.055 1.167 -6.313 16.618 -47.901
0.5269576670107199 0.145 0.053 1.156 -6.389 17.71 -48.168
0.5392915420088684 0.12 0.042 1.152 -5.969 16.542 -47.878
0.551428417005809 0.134 0.036 1.138 -5.542 16.031 -46.664
0.5586475000018254 0.154 0.032 1.121 -4.321 17.084 -45.84
