Time AX AY AZ GX GY GZ
0.014234957998269238 0.148 0.065 1.164 -8.435 19.282 -41.802
0.026185250011621974 0.142 0.064 1.162 -9.672 22.053 -42.55
0.03318175001186319 0.123 0.061 1.163 -10.282 22.244 -42.542
0.04545245799818076 0.134 0.049 1.147 -9.771 23.817 -42.954
0.0522144160058815 0.132 0.056 1.133 -8.832 26.702 -44.595
0.06451491601183079 0.133 0.052 1.145 -9.046 28.969 -45.947
0.07662812501075678 0.152 0.05 1.135 -9.023 31.168 -47.313
0.08384287499939092 0.148 0.053 1.144 -8.244 31.824 -45.916
0.095959958009189 0.133 0.059 1.157 -7.427 31.115 -43.695
0.10310087499965448 0.124 0.057 1.17 -6.779 29.382 -41.511
0.11522637501184363 0.097 0.051 1.176 -5.634 27.015 -40.695
0.12216425000224262 0.09 0.059 1.165 -4.603 23.786 -40.786
0.13435495800513308 0.104 0.05 1.143 -3.611 24.527 -41.763
0.14639670800534077 0.112 0.052 1.153 -2.908 27.87 -43.863
0.15369775000726804 0.102 0.06 1.154 -1.611 29.962 -44.794
0.16575125000963453 0.097 0.073 1.166 -1.069 31.374 -45.29
0.1728617910121102 0.095 0.089 1.193 -0.603 33.084 -46.496
0.1850548750080634 0.082 0.108 1.2 -0.015 32.893 -47.649
0.1921338329993887 0.094 0.131 1.217 0.443 31.969 -47.481
0.20426604100794066 0.109 0.154 1.239 0.008 30.863 -46.664
0.21648004101007245 0.101 0.158 1.256 -1.0 27.863 -43.87
0.22356504100025631 0.129 0.156 1.258 -2.542 23.702 -40.496
0.2356993749999674 0.127 0.138 1.252 -4.519 19.046 -37.198
0.24260208300256636 0.133 0.115 1.231 -5.855 15.656 -33.45
0.25470945800771005 0.122 0.1 1.203 -7.702 14.977 -31.71
0.26705920801032335 0.116 0.075 1.175 -8.389 16.58 -32.87
0.2741188750078436 0.106 0.054 1.168 -7.885 18.893 -35.55
0.2861961250018794 0.095 0.043 1.15 -7.641 21.595 -39.099
0.29334850001032464 0.116 0.046 1.127 -6.985 26.092 -43.191
0.30549670800974127 0.107 0.047 1.14 -5.901 30.076 -46.511
0.3124833750043763 0.09 0.071 1.164 -4.74 29.71 -46.992
0.32453041600820143 0.077 0.08 1.197 -2.962 26.313 -45.237
0.33699287500348873 0.083 0.092 1.223 0.298 18.58 -42.305
0.3440932080120547 0.083 0.079 1.219 3.626 10.145 -37.641
0.35614445801184047 0.088 0.066 1.188 5.588 3.359 -33.557
0.3633035410020966 0.078 0.062 1.178 6.534 -2.076 -30.13
0.37575316600850783 0.085 0.073 1.166 6.977 -4.481 -30.305
0.38286508301098365 0.116 0.067 1.139 4.137 2.366 -35.969
0.39498012499825563 0.149 0.081 1.114 -2.206 16.038 -44.481
0.4021628330083331 0.159 0.071 1.14 -8.443 29.557 -52.496
0.4140657079988159 0.137 0.068 1.154 -13.588 37.527 -56.191
0.42618116601079237 0.134 0.068 1.169 -16.244 37.221 -53.725
0.43310604100406636 0.109 0.057 1.162 -14.305 33.031 -49.611
0.4452495830046246 0.06 0.052 1.173 -9.603 25.595 -45.466
0.4522849580098409 0.038 0.051 1.169 -4.344 16.756 -42.71
0.46465995800099336 0.06 0.07 1.157 0.466 11.092 -42.969
0.4771342080057366 0.11 0.105 1.147 2.924 11.038 -44.412
0.4839536660001613 0.153 0.123 1.14 2.221 14.924 -45.504
0.4961250000051223 0.174 0.136 1.149 -0.244 20.237 -45.473
0.5028900410106871 0.147 0.139 1.186 -2.84 23.618 -45.382
0.515054791001603 0.12 0.146 1.208 -6.015 23.641 -44.282
0.5220335409976542 0.117 0.14 1.213 -8.359 22.779 -43.534
0.5342609580111457 0.115 0.122 1.199 -9.489 20.656 -41.992
0.5465906660101609 0.117 0.109 1.167 -9.458 18.366 -39.672
0.5535641250025947 0.126 0.084 1.157 -9.183 17.412 -37.878
0.5657887910056161 0.122 0.059 1.135 -8.473 18.977 -37.58
0.5724843330099247 0.113 0.046 1.111 -8.397 22.573 -39.107
0.5847975409997161 0.099 0.034 1.119 -9.267 26.137 -40.847
0.5919058330036933 0.069 0.022 1.107 -9.191 29.71 -43.145
0.604111708002165 0.062 0.016 1.115 -7.229 31.122 -45.321
0.6164104580093408 0.081 0.026 1.122 -3.71 32.084 -47.443
0.6234552500100108 0.096 0.065 1.134 -1.198 34.939 -49.26
0.635578750006971 0.111 0.115 1.176 0.137 35.893 -48.931
0.6426727500074776 0.097 0.144 1.228 -1.0 29.542 -45.969
0.6549351249996107 0.117 0.151 1.246 -1.351 25.237 -40.389
0.6608694160095183 0.095 0.146 1.26 -0.779 19.763 -35.038
0.6740452500089305 0.073 0.114 1.267 -0.252 11.42 -30.733
0.6864334160054568 0.091 0.099 1.21 -1.168 8.351 -29.832
0.6932536250096746 0.101 0.085 1.167 -4.29 11.282 -32.511
0.7054357080050977 0.104 0.066 1.128 -7.374 17.519 -37.191
0.7126288750005187 0.116 0.069 1.085 -8.458 26.573 -43.115
0.7247026660043048 0.102 0.08 1.088 -9.099 34.878 -47.427
0.7369099159986945 0.08 0.078 1.125 -7.733 37.198 -48.908
0.7441599580051843 0.059 0.08 1.156 -2.901 35.023 -47.229
0.7560960410046391 0.056 0.084 1.177 2.42 28.153 -43.244
0.763442750001559 0.048 0.104 1.214 6.656 19.511 -38.832
0.7755485000088811 0.062 0.108 1.228 9.763 10.977 -34.702
0.7825728330062702 0.076 0.111 1.217 10.725 4.687 -31.679
0.7951596659986535 0.093 0.119 1.184 8.397 3.779 -31.214
0.8021561250061495 0.092 0.109 1.161 5.015 6.435 -33.031
0.814549665999948 0.117 0.095 1.129 0.588 13.336 -36.931
0.8266995410085656 0.114 0.09 1.103 -4.084 23.74 -41.588
0.8336212910071481 0.091 0.071 1.123 -5.542 32.29 -45.061
0.8458021660044324 0.055 0.067 1.152 -4.336 33.13 -46.534
0.8530086660030065 0.05 0.066 1.167 -2.321 31.397 -46.802
0.8650927080016118 0.047 0.072 1.171 1.183 26.16 -46.092
0.8721668750076788 0.039 0.082 1.176 5.84 18.519 -43.42
0.8844934580120025 0.055 0.093 1.192 8.427 10.344 -39.656
0.8966073750052601 0.104 0.111 1.175 7.45 8.176 -38.023
0.9038095830037491 0.119 0.102 1.179 3.45 12.282 -39.496
0.9160146659996826 0.105 0.096 1.178 -0.634 17.649 -42.42
0.9231668749998789 0.112 0.095 1.181 -4.71 22.13 -45.198
0.9352037909993669 0.102 0.084 1.173 -6.718 24.84 -45.626
0.9424028750072466 0.089 0.091 1.164 -6.809 24.481 -44.519
0.9545167500036769 0.074 0.103 1.162 -4.351 22.328 -42.679
0.9665953330113553 0.082 0.093 1.159 -1.573 21.916 -41.626
0.9737931660056347 0.078 0.074 1.147 0.901 21.366 -42.168
0.985950791000505 0.086 0.067 1.177 3.237 20.504 -42.725
0.9932371660106583 0.106 0.052 1.164 4.656 20.046 -42.725
1.0052354580111569 0.101 0.07 1.159 4.206 20.252 -43.244
1.012385958005325 0.093 0.096 1.17 2.443 21.237 -45.13
1.024845332998666 0.097 0.116 1.2 1.336 21.13 -46.771
1.037083540999447 0.103 0.145 1.201 -1.092 19.336 -45.969
1.043835250005941 0.121 0.155 1.204 -3.534 16.977 -43.985
1.0560510000068462 0.131 0.142 1.196 -5.076 16.237 -41.603
1.0631601659988519 0.113 0.133 1.171 -6.16 16.832 -40.466
1.075379875008366 0.104 0.112 1.165 -5.015 17.45 -40.13
1.082102708009188 0.094 0.096 1.154 -3.504 17.809 -39.84
1.0945110410102643 0.093 0.079 1.15 -1.321 17.519 -39.344
1.10660754100536 0.095 0.074 1.136 1.252 17.084 -39.076
1.1138531250035157 0.101 0.079 1.126 3.969 17.359 -38.191
1.1259268750000047 0.104 0.087 1.123 5.038 18.649 -38.092
1.1332294580060989 0.093 0.115 1.136 4.687 19.458 -37.74
1.145524250008748 0.094 0.135 1.169 2.244 19.366 -37.374
1.1526379580027424 0.074 0.131 1.218 0.947 17.885 -38.069
1.1647296660084976 0.074 0.137 1.206 -0.076 16.084 -38.107
1.1769542910042219 0.096 0.132 1.197 -1.534 16.031 -38.229
1.1838174160075141 0.1 0.151 1.176 -2.794 16.412 -37.809
1.1959118329978082 0.119 0.137 1.176 -2.947 16.969 -37.099
1.2029338749998715 0.137 0.133 1.159 -3.863 19.244 -36.71
1.2152133750059875 0.114 0.13 1.164 -5.847 20.412 -35.008
1.2223874160117703 0.102 0.117 1.174 -6.519 19.122 -34.015
1.2344809580099536 0.086 0.111 1.167 -6.611 17.595 -33.962
1.2465941660047974 0.092 0.1 1.155 -6.771 16.16 -34.397
1.2534707080048975 0.097 0.092 1.138 -6.771 15.656 -33.832
1.265725666002254 0.09 0.075 1.133 -7.656 15.809 -33.252
1.2727687080041505 0.079 0.053 1.131 -7.695 16.504 -33.618
1.284965208003996 0.054 0.045 1.136 -8.191 15.267 -34.962
1.292092166011571 0.06 0.049 1.127 -9.863 18.229 -39.267
1.3041278750024503 0.052 0.059 1.125 -10.695 22.908 -44.878
1.3161729580024257 0.047 0.057 1.128 -10.115 25.26 -49.321
