Time AX AY AZ GX GY GZ
0.014236624992918223 -0.014 0.113 1.147 4.16 10.26 -41.855
0.026417374989250675 0.009 0.12 1.137 4.359 10.405 -39.649
0.033602208000957035 0.003 0.134 1.155 3.817 11.473 -38.748
0.045934082998428494 0.011 0.136 1.145 2.496 13.389 -37.893
0.0530242919921875 -0.001 0.125 1.151 0.382 17.053 -39.214
0.06511475000297651 -0.015 0.108 1.155 -2.191 20.427 -41.145
0.0769792079954641 -0.017 0.106 1.159 -4.244 21.977 -44.321
0.08467408300202806 -0.004 0.108 1.152 -5.221 23.084 -46.206
0.09594979199755471 -0.003 0.104 1.145 -5.672 24.794 -47.221
0.1031884169933619 0.01 0.109 1.131 -4.519 27.336 -48.542
0.11533779199817218 0.015 0.109 1.117 -2.763 30.321 -48.756
0.12739716700161807 0.01 0.109 1.118 -0.405 32.29 -47.863
0.13453370799834374 0.011 0.118 1.113 1.038 33.26 -46.336
0.14670087498961948 -0.008 0.129 1.136 0.053 32.87 -45.153
0.15387629199540243 -0.006 0.139 1.174 -1.206 30.336 -44.481
0.165791999999783 -0.011 0.142 1.182 -2.443 28.458 -44.244
0.17263891699258238 -0.012 0.129 1.193 -1.786 28.802 -45.542
0.18484579199866857 -0.014 0.128 1.2 -1.779 29.328 -47.824
0.1970531669940101 -0.021 0.154 1.223 -4.015 28.046 -48.534
0.20398666699475143 -0.022 0.139 1.216 -4.466 26.221 -47.893
0.21603004199278075 -0.025 0.132 1.2 -3.855 23.901 -46.779
0.22295016699354164 -0.005 0.134 1.174 -2.664 23.244 -45.809
0.2350115829904098 -0.007 0.138 1.177 -2.74 23.053 -45.13
0.24697083300270606 -0.023 0.144 1.193 -3.908 22.015 -44.298
0.25424974999623373 -0.033 0.126 1.198 -3.931 19.802 -44.397
0.2662554169946816 -0.023 0.12 1.179 -4.832 19.076 -45.87
0.2734111669997219 -0.011 0.114 1.186 -5.244 18.42 -47.473
0.2851055420032935 0.006 0.123 1.156 -6.191 18.626 -48.557
0.29744195799867157 0.005 0.127 1.151 -6.351 19.412 -49.122
0.30421533300250303 -0.01 0.126 1.172 -5.344 18.435 -47.534
0.3165646669949638 -0.011 0.127 1.173 -3.893 16.336 -45.664
0.32304837499395944 -0.003 0.128 1.155 -2.885 15.313 -43.817
0.3353910829900997 -0.006 0.121 1.143 -2.412 14.679 -43.206
0.34740537499601487 -0.009 0.104 1.137 -2.374 15.336 -43.405
0.3543716249987483 -0.032 0.093 1.151 -3.176 15.656 -45.695
0.36632454200298525 -0.03 0.093 1.162 -3.359 14.053 -48.221
0.37331504200119525 -0.021 0.089 1.147 -2.817 13.565 -50.412
0.38562254200223833 0.007 0.099 1.127 -2.634 16.511 -52.107
0.3924370419990737 0.02 0.111 1.119 -1.847 21.405 -52.42
0.4046521669952199 0.014 0.125 1.102 -0.076 25.939 -51.153
0.41682087499066256 -0.006 0.136 1.12 1.176 27.893 -48.573
0.42388195799139794 -0.032 0.136 1.163 2.489 25.099 -44.298
0.43639354199694935 -0.034 0.145 1.195 3.802 19.0 -38.893
0.4432351249997737 -0.045 0.142 1.21 4.374 11.206 -33.992
0.4553495419968385 -0.034 0.124 1.207 4.389 5.084 -30.427
0.4623792499914998 -0.045 0.1 1.209 5.359 1.015 -30.893
0.4748586249916116 -0.061 0.11 1.185 5.046 -1.748 -34.489
0.4869906249950873 -0.054 0.103 1.173 4.458 -2.038 -39.985
0.4941031249909429 -0.028 0.104 1.151 2.145 2.053 -46.687
0.5061409170011757 0.022 0.103 1.137 -0.092 9.992 -53.626
0.5134518330014544 0.038 0.122 1.131 -3.298 18.466 -58.16
0.5255501249921508 0.043 0.123 1.133 -5.641 25.168 -60.794
0.5326068330032285 0.049 0.15 1.145 -7.328 28.71 -61.168
0.5447753329935949 0.04 0.16 1.187 -6.916 27.183 -58.198
0.5570189580030274 0.028 0.157 1.209 -4.962 21.855 -53.321
0.5640593749994878 0.015 0.156 1.215 -2.252 15.29 -48.908
0.5762378329964122 0.021 0.156 1.222 0.191 9.267 -45.878
0.5835042919934494 0.025 0.148 1.189 1.733 6.885 -44.939
0.5960126669961028 0.042 0.159 1.167 1.153 7.802 -45.466
0.6031102499982808 0.044 0.156 1.157 -0.687 10.275 -45.855
0.6150446249957895 0.05 0.158 1.161 -3.336 12.481 -45.863
0.6272671249898849 0.045 0.158 1.158 -6.206 15.16 -44.58
0.63410224999825 0.032 0.122 1.184 -7.344 15.351 -42.763
0.646460207994096 0.021 0.126 1.18 -7.366 12.626 -40.931
0.6534333750023507 0.023 0.105 1.192 -6.45 10.847 -38.893
0.6655181669921149 0.022 0.103 1.179 -4.496 9.13 -37.779
0.6727693330030888 0.009 0.107 1.193 -2.947 8.168 -36.595
0.6850712500017835 0.005 0.111 1.206 -2.489 7.351 -38.664
0.6971868330001598 0.025 0.107 1.176 -3.84 10.84 -44.275
0.7041489169932902 0.029 0.114 1.172 -5.84 15.634 -50.183
0.71626624999044 0.045 0.119 1.168 -7.832 20.305 -54.374
0.723421791990404 0.038 0.118 1.173 -8.649 22.672 -56.069
0.7355861669930164 0.049 0.119 1.177 -9.046 22.84 -56.0
0.7427394169935724 0.047 0.115 1.177 -8.382 22.58 -55.527
0.7550177919911221 0.053 0.109 1.178 -7.359 21.267 -54.634
0.7670672079984797 0.055 0.12 1.174 -6.038 19.504 -54.405
0.7737421249912586 0.066 0.126 1.172 -4.603 17.542 -53.092
0.7860224169999128 0.07 0.133 1.146 -3.71 16.511 -51.321
0.7928649579989724 0.084 0.132 1.139 -3.198 17.817 -49.954
0.8050900419912068 0.088 0.133 1.151 -3.405 20.695 -49.29
0.8174557079910301 0.075 0.136 1.167 -4.298 22.282 -48.649
0.8245764169987524 0.074 0.126 1.178 -4.733 23.023 -47.618
0.8368265829922166 0.061 0.131 1.172 -5.099 22.542 -46.672
0.8435039579926524 0.052 0.127 1.175 -5.42 23.473 -45.893
0.8556255829898873 0.036 0.119 1.169 -5.321 24.13 -46.687
0.8629683329927502 0.03 0.122 1.18 -5.053 23.649 -48.145
0.8751614999928279 0.035 0.119 1.158 -5.305 22.954 -49.298
0.887317125001573 0.049 0.119 1.155 -5.534 24.13 -50.618
0.8943161249917466 0.053 0.128 1.15 -5.969 25.695 -51.397
0.9064239579893183 0.04 0.139 1.158 -7.275 25.817 -50.206
0.9136558750033146 0.002 0.136 1.166 -7.718 22.527 -48.496
0.9256725419982104 -0.003 0.131 1.179 -6.779 17.756 -46.053
0.9308944999938831 -0.002 0.111 1.164 -5.718 13.618 -44.969
0.9445741249946877 -0.011 0.101 1.164 -4.405 10.176 -44.588
0.9567274579894729 0.023 0.087 1.163 -3.71 9.351 -45.183
0.9639968749979744 0.021 0.1 1.16 -4.176 9.237 -45.42
0.9759593329945346 0.034 0.09 1.14 -5.275 10.817 -45.603
0.9832018329907442 0.038 0.087 1.149 -5.878 12.221 -46.313
0.9956176669948036 0.057 0.089 1.14 -5.71 13.405 -47.473
1.007586416992126 0.059 0.091 1.128 -5.603 17.191 -48.382
1.0143379169894615 0.052 0.085 1.141 -5.786 18.962 -49.031
1.0267184169933898 0.029 0.091 1.134 -4.908 19.931 -48.771
1.0337884579930687 0.03 0.083 1.151 -3.366 19.183 -47.84
1.0456894579983782 0.001 0.097 1.154 -2.214 15.42 -45.282
1.0527918329898966 -0.008 0.094 1.153 -1.618 10.58 -41.389
1.0650776669936022 -0.015 0.094 1.167 -2.107 5.084 -37.13
1.0772207499976503 0.014 0.099 1.174 -3.969 1.313 -33.115
