Time AX AY AZ GX GY GZ
0.014089417003560811 -0.045 0.133 1.166 -6.427 52.603 -51.313
0.025951082992833108 -0.059 0.135 1.181 -7.664 51.702 -52.588
0.03308979199209716 -0.079 0.14 1.194 -9.412 49.397 -53.115
0.04519341699779034 -0.116 0.14 1.207 -11.664 44.603 -52.863
0.05696070799604058 -0.12 0.133 1.218 -11.092 38.779 -51.573
0.06380516699573491 -0.08 0.124 1.198 -8.275 37.672 -50.42
0.07599687499168795 -0.027 0.127 1.188 -5.542 42.618 -48.55
0.08331691699277144 0.004 0.135 1.145 -5.252 51.115 -48.008
0.09511712499079295 -0.03 0.134 1.154 -7.427 58.824 -48.489
0.1073504999949364 -0.086 0.124 1.179 -8.695 60.908 -48.107
0.11441404199285898 -0.126 0.118 1.175 -6.656 57.405 -45.695
0.12639433299773373 -0.141 0.116 1.168 -2.985 51.969 -42.153
0.13347741699544713 -0.148 0.117 1.154 0.924 47.244 -38.985
0.14557545799470972 -0.122 0.103 1.119 2.229 46.328 -39.015
0.1527654999954393 -0.094 0.098 1.104 3.053 50.527 -42.977
0.16474666699650697 -0.09 0.11 1.102 3.458 58.435 -48.13
0.17723545800254215 -0.09 0.132 1.104 0.893 64.779 -51.794
0.18397770800220314 -0.137 0.138 1.133 -1.16 67.45 -52.191
0.1960883330029901 -0.18 0.137 1.146 -1.198 64.809 -50.321
0.20282224999391474 -0.2 0.131 1.169 0.328 59.534 -48.008
0.21511454199207947 -0.173 0.125 1.154 1.863 56.641 -47.153
0.22732537500269245 -0.16 0.134 1.128 2.13 56.695 -46.443
0.23438650000025518 -0.173 0.141 1.13 0.664 57.191 -45.985
0.24660116698942147 -0.203 0.129 1.145 0.84 55.603 -44.809
0.2535580419935286 -0.198 0.128 1.121 2.458 54.985 -43.672
0.2661181250005029 -0.194 0.127 1.096 2.687 56.977 -43.664
0.2727892080001766 -0.185 0.114 1.088 2.908 61.176 -45.695
0.28483837499516085 -0.202 0.119 1.079 3.031 64.183 -47.405
0.2968929170019692 -0.219 0.115 1.081 3.244 64.053 -47.588
0.3042129579989705 -0.257 0.122 1.106 3.832 60.511 -45.702
