Time AX AY AZ GX GY GZ
0.013923749997047707 0.094 0.031 1.174 -8.405 24.603 -52.718
0.026104541000677273 0.103 0.016 1.178 -6.939 22.412 -51.214
0.033095457998570055 0.104 0.022 1.17 -4.817 19.473 -48.504
0.045348749990807846 0.114 0.023 1.157 -3.191 17.0 -46.473
0.052387957999599166 0.135 0.026 1.162 -4.344 18.305 -45.466
0.06464329099981114 0.121 0.025 1.175 -5.649 21.42 -46.45
0.07689879099780228 0.106 0.028 1.184 -6.618 22.092 -46.649
0.08375191599770915 0.103 0.015 1.174 -6.153 20.947 -46.069
0.09590137499617413 0.113 0.016 1.163 -4.519 19.985 -45.084
0.103203124992433 0.103 0.009 1.157 -1.55 18.794 -43.985
0.11517983299563639 0.099 0.005 1.156 0.985 18.687 -43.985
0.12247120800020639 0.099 0.022 1.162 0.626 19.275 -44.405
0.13449599999876227 0.112 0.028 1.163 -0.626 21.382 -44.977
0.14663149999978486 0.113 0.029 1.17 -2.435 23.695 -45.458
0.15377333298965823 0.105 0.033 1.174 -3.702 26.458 -45.725
0.16600962499796879 0.094 0.029 1.191 -5.229 26.885 -45.901
0.1732040409988258 0.087 0.025 1.184 -5.534 26.672 -45.519
0.18526879099954385 0.069 0.013 1.187 -4.901 23.695 -45.443
0.19207845799974166 0.052 0.011 1.185 -3.794 18.26 -44.344
0.2043473749945406 0.062 0.01 1.188 -2.321 14.061 -44.122
0.21645308299048338 0.083 0.008 1.174 -1.183 12.29 -44.885
0.22339370800182223 0.103 0.02 1.161 -0.992 13.221 -45.595
0.23564691600040533 0.109 0.017 1.161 -0.496 14.405 -46.359
0.24294499999086838 0.115 0.026 1.157 -0.382 15.473 -46.137
0.25493499998992775 0.104 0.031 1.179 -0.817 14.237 -45.893
0.26072879099228885 0.105 0.035 1.179 -1.053 12.206 -44.985
0.2741613749967655 0.094 0.037 1.202 -2.359 8.626 -43.863
0.2863729999953648 0.091 0.027 1.193 -3.137 3.893 -42.947
0.2934217500005616 0.12 0.018 1.193 -2.435 2.389 -42.725
0.3056602500000736 0.125 0.036 1.171 -3.053 3.985 -42.992
0.3126532500027679 0.124 0.028 1.174 -3.878 6.885 -43.008
0.32510466600069776 0.081 0.017 1.198 -2.855 3.603 -43.809
0.3324345829896629 0.119 0.019 1.169 -1.229 2.237 -43.611
0.3445202909933869 0.113 0.029 1.163 -2.107 0.809 -44.214
0.3566361659904942 0.111 0.041 1.174 -3.252 -0.496 -44.198
0.3638316659926204 0.113 0.042 1.193 -3.954 -3.405 -43.649
0.37591008299204987 0.124 0.043 1.177 -4.573 -7.107 -43.275
0.3827261659898795 0.135 0.035 1.172 -4.725 -9.969 -43.023
0.394984625003417 0.145 0.025 1.163 -2.84 -11.122 -41.573
0.4006927909940714 0.148 0.024 1.172 -1.008 -11.618 -40.847
0.4141270410036668 0.143 0.025 1.167 0.092 -12.84 -39.313
0.4261223329958739 0.133 0.024 1.177 0.763 -16.038 -38.405
0.4333384999918053 0.128 0.026 1.184 -0.435 -19.947 -38.664
0.4452831660019001 0.156 0.025 1.202 -1.611 -23.015 -39.008
0.4524673330015503 0.185 0.027 1.173 -2.595 -22.672 -39.557
0.4642808329954278 0.217 0.024 1.152 -3.771 -18.321 -40.275
0.4764149999973597 0.227 0.023 1.14 -4.153 -12.824 -40.534
0.4835697499947855 0.241 0.023 1.14 -3.695 -5.527 -40.916
0.49569599999813363 0.243 0.025 1.148 -3.718 1.26 -42.702
0.5026327079976909 0.183 0.02 1.16 -5.679 1.992 -44.145
0.5149289160035551 0.167 0.017 1.161 -6.878 -0.336 -44.374
0.5219256249984028 0.183 0.01 1.154 -7.977 -1.817 -45.565
0.5341343749896623 0.198 0.001 1.152 -7.008 -1.855 -46.115
0.5463117079925723 0.201 0.009 1.144 -5.618 -4.069 -46.344
0.5530007079942152 0.224 -0.003 1.113 -2.473 -5.153 -45.382
0.5653331659996184 0.224 0.001 1.114 -0.275 -3.992 -45.763
0.5723033329995815 0.235 0.003 1.131 1.939 -1.618 -45.908
0.5845350829913514 0.241 0.014 1.135 3.511 -1.13 -46.664
0.5903716659959173 0.23 0.021 1.139 3.779 -1.26 -46.626
0.6039997909974772 0.244 0.036 1.153 1.771 -2.275 -45.916
0.6162612079933751 0.266 0.035 1.17 0.13 -0.198 -45.557
0.623227541000233 0.267 0.032 1.156 -1.794 2.962 -45.87
0.6356510829937179 0.247 0.028 1.169 -3.687 4.748 -46.573
0.6423979160026647 0.242 0.02 1.154 -5.382 5.58 -47.893
0.6550261660013348 0.241 0.001 1.157 -5.137 5.321 -49.084
0.6617122909956379 0.222 -0.003 1.144 -2.313 2.076 -48.794
0.6740222079970408 0.227 -0.004 1.131 0.573 -1.725 -48.076
0.6866144579980755 0.21 0.013 1.144 2.672 -7.237 -47.053
0.6933783749991562 0.238 0.013 1.14 5.214 -11.374 -46.779
