Time AX AY AZ GX GY GZ
0.0192479170000012 0.01 0.213 1.012 -28.397 -26.534 -9.221
0.0262715420000034 0.009 0.238 1.085 -30.557 -26.611 -9.489
0.0384905829999979 0.005 0.28 1.094 -36.481 -24.992 -12.214
0.045221749999996 0.012 0.318 1.142 -48.229 -27.405 -15.794
0.0575279170000015 0.051 0.335 1.156 -61.87 -29.878 -19.076
0.0694409580000012 0.125 0.313 1.203 -75.55 -29.229 -19.443
0.0765803329999954 0.139 0.266 1.239 -84.13 -19.557 -17.107
0.0889122079999964 0.11 0.219 1.196 -87.061 -9.008 -14.58
0.095562208000004 0.043 0.165 1.111 -83.427 -3.366 -13.962
0.1080953329999943 -0.015 0.107 1.004 -74.511 -6.977 -16.229
0.120204208000004 -0.017 0.082 0.917 -63.84 -19.969 -19.023
0.1270786249999957 0.035 0.083 0.93 -57.656 -36.87 -20.565
0.1393900000000059 0.116 0.1 1.036 -58.695 -50.023 -22.069
0.1464223750000002 0.223 0.099 1.126 -62.053 -48.031 -21.641
0.1583929579999932 0.281 0.08 1.167 -63.954 -29.58 -20.13
0.1640645829999982 0.276 0.048 1.135 -62.489 -6.802 -18.702
0.177310625000004 0.213 0.004 1.026 -58.756 4.053 -15.168
0.1897763329999975 0.14 -0.031 0.953 -55.252 -1.504 -9.969
0.1968176670000048 0.091 -0.04 0.911 -54.336 -17.237 -6.534
0.2090495829999952 0.096 -0.023 0.916 -56.366 -35.489 -5.893
0.2160087080000039 0.196 -0.024 0.963 -61.458 -46.382 1.992
0.2284580000000033 0.159 0.077 0.956 -63.748 -52.901 0.496
0.235287624999998 0.302 0.036 0.998 -65.664 -53.351 -4.137
0.2475748330000016 0.368 0.003 1.044 -64.733 -41.687 -0.71
0.2597568329999973 0.326 0.02 1.032 -61.275 -23.443 -0.954
0.2668042499999927 0.325 -0.016 0.991 -57.16 -10.802 -2.435
0.2792852500000009 0.271 -0.011 0.975 -53.336 -10.183 4.206
0.2865701669999936 0.206 0.008 0.982 -52.885 -15.344 6.947
0.2987230829999987 0.205 0.017 0.974 -54.947 -23.092 8.191
0.305952542 0.259 0.033 0.986 -57.863 -33.008 14.435
0.3179731670000052 0.271 0.079 1.037 -64.427 -37.237 16.13
0.3300058330000013 0.317 0.093 1.046 -72.344 -33.031 15.786
0.3373260000000044 0.356 0.09 1.04 -80.519 -24.038 17.229
0.3493872500000066 0.322 0.078 1.031 -88.84 -13.595 21.366
0.356733707999993 0.257 0.046 0.958 -96.29 -8.573 25.397
0.368674249999998 0.234 -0.003 0.901 -103.16 -15.702 31.656
0.3754442080000046 0.226 -0.052 0.858 -104.389 -27.046 39.382
0.3876831670000058 0.224 -0.083 0.826 -106.634 -34.076 44.397
0.3997882080000039 0.222 -0.093 0.816 -106.145 -36.511 46.832
0.4070250420000008 0.243 -0.094 0.775 -106.489 -34.534 46.519
0.4191154170000004 0.209 -0.07 0.742 -107.176 -24.588 43.191
0.4264259170000031 0.146 -0.049 0.708 -115.557 -11.168 37.015
0.4384480829999972 0.081 -0.055 0.652 -125.748 -6.443 33.038
0.4457290419999964 0.015 -0.08 0.596 -135.473 -12.466 31.008
0.4579004579999974 -0.023 -0.151 0.511 -141.855 -26.908 32.046
0.4697768329999974 -0.081 -0.22 0.433 -136.702 -42.534 32.282
0.4770917919999959 -0.063 -0.282 0.337 -122.603 -59.092 34.573
0.4894442079999948 -0.13 -0.249 0.236 -102.053 -64.237 26.794
0.4966781669999989 -0.094 -0.303 0.112 -70.344 -59.71 10.863
0.5086662500000045 -0.079 -0.361 -0.041 -26.519 -50.489 -1.786
0.5160232500000035 -0.09 -0.425 -0.175 34.336 -33.519 -14.901
0.5279014169999954 -0.044 -0.501 -0.226 102.305 -25.473 -23.832
0.5395366249999967 0.017 -0.506 -0.208 167.527 -20.29 -26.618
0.5463558329999927 0.042 -0.471 -0.139 239.145 0.076 -32.061
0.5584841250000068 0.062 -0.35 0.09 250.137 19.458 -46.366
0.5702244999999948 -0.205 1.088 2.0 -229.534 -250.13 -84.496
0.5770034170000002 0.595 0.651 1.001 -113.687 -162.74 -37.031
0.5893242079999936 0.816 0.042 1.321 69.649 -37.947 3.702
0.596402458 1.221 -0.592 2.0 137.366 67.069 7.061
0.6082332919999942 0.931 -1.242 1.486 109.244 128.931 15.221
0.6199785419999984 0.228 -1.155 0.954 90.031 134.298 11.076
0.6270502919999927 -0.412 -0.469 0.757 68.618 143.702 -20.832
0.6391049169999974 -0.513 0.089 0.127 57.733 70.511 -59.74
0.6462008329999946 -0.073 0.257 0.162 49.13 -73.473 -61.817
0.657981042000003 0.376 0.164 0.586 30.397 -146.145 -23.489
0.6700068330000022 0.533 0.122 1.113 8.786 -142.282 12.817
0.6770208749999966 0.724 0.068 1.49 -26.046 -100.221 24.427
0.6890580419999992 0.86 -0.017 1.547 -63.389 -50.351 29.58
0.6967008329999942 0.81 -0.04 1.386 -88.435 -7.656 42.382
0.7084999169999975 0.644 -0.032 1.139 -101.84 15.122 54.26
0.7157598329999928 0.46 -0.063 0.949 -109.206 4.756 65.794
0.7277976249999938 0.273 -0.123 0.877 -117.45 -13.107 66.298
0.7397557080000041 0.158 -0.219 0.75 -122.099 -24.031 60.405
0.7470796669999942 0.109 -0.298 0.543 -116.397 -33.618 53.893
0.7590944579999928 0.041 -0.325 0.396 -100.992 -42.74 44.122
0.7665015420000003 -0.032 -0.332 0.281 -77.328 -46.725 25.023
0.7786549580000042 -0.06 -0.358 0.182 -52.634 -43.519 2.901
0.7859604169999983 -0.107 -0.358 0.07 -27.786 -32.954 -16.137
0.7979778330000045 -0.151 -0.342 -0.083 -0.038 -22.641 -30.389
0.8100158750000048 -0.132 -0.361 -0.235 32.947 -17.183 -40.901
0.81736875 -0.055 -0.433 -0.302 77.595 -7.107 -46.29
0.8288767500000063 0.007 -0.481 -0.332 132.664 19.687 -47.71
0.8359770830000031 0.052 -0.489 -0.245 194.947 57.076 -50.214
