Time AX AY AZ GX GY GZ
0.0195703750000006 0.979 0.126 0.049 0.618 2.763 -0.252
0.0265023749999997 0.975 0.126 0.051 1.069 0.87 -0.611
0.0386841669999995 0.971 0.129 0.062 1.13 0.542 -0.74
0.0454424579999965 0.974 0.125 0.063 0.641 1.0 -0.626
0.0578111250000006 0.963 0.131 0.073 -0.023 0.748 -0.702
0.0647423750000015 0.961 0.126 0.065 0.099 0.031 -0.878
0.0773682499999992 0.969 0.122 0.044 0.13 -2.603 -1.069
0.0894661669999976 0.971 0.129 0.035 0.557 -5.809 -1.092
0.0965534580000024 0.984 0.136 0.055 1.16 -8.0 -1.679
0.1087661250000024 0.993 0.133 0.061 0.87 -7.29 -1.618
0.1160260420000014 1.006 0.133 0.065 -0.023 -4.74 -0.924
0.1283031250000021 1.017 0.137 0.067 -0.611 -1.649 -0.595
0.1352940419999981 1.005 0.141 0.057 -1.099 2.069 -0.511
0.1478573750000009 1.0 0.131 0.059 -1.779 5.046 0.58
0.155120832999998 0.979 0.126 0.051 -1.397 5.702 0.824
0.1673462079999979 0.97 0.123 0.038 -0.802 4.321 0.443
0.1796542080000023 0.974 0.121 0.042 -0.252 0.557 0.282
0.1869763750000004 0.964 0.126 0.031 0.42 -2.649 -0.023
0.1990021249999998 0.972 0.124 0.048 0.756 -3.359 -0.298
0.2062218330000007 0.968 0.125 0.059 0.275 -1.931 -0.611
0.2185717079999989 0.975 0.129 0.048 -0.038 -0.351 -0.702
0.2259710829999974 0.975 0.128 0.048 -0.198 -0.756 -0.443
0.2377889170000031 0.984 0.126 0.046 0.183 -2.176 -0.733
0.2446894580000034 0.986 0.123 0.042 0.809 -2.901 -0.374
0.257387125000001 0.988 0.124 0.045 1.115 -2.588 -0.198
0.269369042000001 0.985 0.127 0.042 1.519 -0.802 -0.366
0.2764650000000017 0.98 0.131 0.043 1.954 0.611 -0.328
0.2887457920000003 0.979 0.133 0.033 2.122 0.137 -0.458
0.2960269579999988 0.974 0.128 0.045 2.71 -2.053 -0.664
0.3081115000000025 0.98 0.125 0.051 3.069 -4.053 -0.504
0.3154002500000032 0.995 0.139 0.06 2.313 -5.008 -0.137
0.3276556249999984 0.996 0.137 0.064 1.481 -4.061 0.13
0.3396911250000016 1.007 0.136 0.082 0.359 -1.076 0.26
0.3471796669999989 0.998 0.133 0.065 -0.214 3.366 0.366
0.3591741250000027 0.987 0.127 0.057 -0.511 6.282 0.374
0.3668191670000027 0.968 0.127 0.046 -0.183 5.573 0.458
0.3787672079999993 0.967 0.125 0.044 0.504 2.328 0.26
0.3860795419999974 0.958 0.123 0.037 1.496 -2.069 0.031
0.3984282919999984 0.954 0.133 0.047 1.824 -5.626 -0.733
0.4056983329999966 0.977 0.135 0.059 1.687 -7.427 -1.153
0.4177024580000008 0.992 0.136 0.062 1.275 -6.603 -0.977
0.4296937499999984 0.991 0.134 0.076 0.16 -3.45 -1.015
0.4367533329999986 0.999 0.139 0.073 -0.725 1.198 -0.634
0.449447708000001 0.985 0.131 0.049 -1.168 4.557 -0.359
0.4565377500000025 0.978 0.127 0.046 -1.389 5.038 -0.527
