Time AX AY AZ GX GY GZ
0.013513875000001 0.045 -0.048 0.985 2.634 -8.687 1.557
0.0256609580000031 0.077 -0.04 1.022 4.786 -6.954 -3.221
0.0326650420000049 0.077 -0.033 1.067 3.962 -1.977 -6.511
0.0448545419999959 0.07 -0.032 1.069 0.13 2.687 -5.298
0.0519534999999962 0.052 -0.008 1.045 -3.382 4.718 -1.626
0.0642132920000051 0.053 -0.001 1.049 -7.008 5.122 1.634
0.0714117920000063 0.072 0.002 1.013 -8.534 3.458 3.153
0.0837996669999938 0.083 -0.025 1.02 -7.168 1.58 2.779
0.0960856250000006 0.098 -0.047 1.024 -5.832 2.099 3.641
0.1035512920000059 0.102 -0.054 0.999 -2.672 4.42 4.969
0.1155367079999933 0.105 -0.056 0.988 2.244 5.466 5.786
0.1228860829999973 0.079 -0.037 1.012 6.473 6.198 6.878
0.1348285830000009 0.053 -0.006 1.006 8.16 6.565 4.626
0.142180874999994 0.033 0.016 0.998 8.45 7.16 0.405
0.1542192919999934 0.033 0.031 0.974 8.985 7.336 -3.107
0.1659506249999935 0.068 0.023 1.009 8.45 8.015 -5.275
0.1730471669999929 0.103 0.004 1.032 7.198 11.687 -5.16
0.1851477080000023 0.128 -0.016 1.017 8.031 16.763 -2.87
0.1924527919999974 0.117 -0.021 1.047 9.496 21.115 1.771
0.2040741250000053 0.097 0.012 1.034 10.076 22.153 1.786
0.2160484999999994 0.072 0.057 1.029 11.939 20.58 0.824
0.2232133330000039 0.07 0.062 1.073 11.527 22.565 -0.954
0.2347698330000014 0.046 0.044 1.071 10.901 25.45 -4.397
0.2416747500000013 0.012 0.037 1.017 9.634 21.718 -6.412
0.2538374169999997 0.008 0.041 1.009 10.053 14.534 -6.794
0.2656434169999926 0.03 0.029 1.012 11.504 9.786 -5.45
0.2728238330000039 0.036 0.022 1.033 12.321 7.595 -1.885
0.2847218750000024 0.012 0.037 1.003 10.985 4.947 1.344
0.2920082079999986 0.0 0.082 1.033 7.626 0.771 1.328
0.3037282079999954 0.022 0.1 1.061 2.481 4.779 -3.626
0.3159239999999954 0.019 0.051 1.031 0.26 12.275 -7.427
0.3230855420000011 0.016 -0.013 0.961 2.679 15.359 -6.198
0.3349384170000036 0.003 -0.026 0.944 6.55 12.786 -3.153
0.3418565420000021 0.0 0.009 0.948 9.885 8.947 -1.053
0.3537547499999931 -0.048 0.04 0.971 12.489 5.618 -1.916
0.3661005419999981 -0.067 0.058 0.958 14.87 -2.0 -4.45
0.3730116250000037 -0.05 0.075 0.992 14.611 -9.985 -7.84
0.3851591669999976 -0.028 0.095 1.033 11.87 -11.214 -9.679
0.3922813329999997 0.014 0.082 1.033 9.756 -7.718 -9.748
0.4042503750000037 0.041 0.06 1.024 9.336 -3.053 -10.656
0.4104432919999965 0.043 0.049 1.009 9.786 0.473 -10.588
0.4233906249999961 0.034 0.071 0.995 10.252 1.863 -8.84
0.4350622500000014 0.013 0.079 0.973 11.489 -2.221 -6.023
0.4426196670000024 -0.006 0.073 0.957 13.198 -11.092 -3.374
0.4542037920000012 -0.024 0.103 0.983 13.076 -22.985 -3.252
0.4615144170000036 0.019 0.122 1.024 9.695 -29.641 -5.214
0.473278417000003 0.09 0.102 1.07 4.985 -24.84 -7.74
0.4853737920000043 0.131 0.067 1.077 1.588 -11.702 -7.557
0.4923637079999992 0.097 0.057 1.024 0.298 0.176 -6.237
0.5044263749999942 0.029 0.073 0.968 2.031 2.954 -7.725
0.5117768749999954 -0.002 0.092 0.934 3.405 -4.26 -8.305
0.5237397079999937 0.003 0.091 0.946 5.038 -11.13 -7.313
0.5355116669999944 0.041 0.017 0.946 8.878 -13.748 -5.053
0.5426085419999964 0.08 0.007 0.948 14.122 -14.55 -2.153
0.5546177920000019 0.098 0.036 0.99 17.107 -13.168 -0.824
0.5617662079999945 0.087 0.068 1.013 16.298 -10.481 0.947
0.5737354169999946 0.055 0.118 1.056 11.298 -7.672 -0.176
0.5857297499999987 0.045 0.148 1.055 4.366 -4.939 -4.511
0.5930925419999937 0.071 0.071 1.03 -0.893 -2.29 -3.84
0.6050819999999959 0.061 0.027 1.002 -3.595 0.931 1.015
0.612642582999996 0.052 -0.016 0.954 -3.214 -0.244 3.664
0.6247213749999929 0.074 -0.043 0.954 0.176 -1.313 5.137
0.6319299169999937 0.085 -0.021 0.977 4.107 0.809 5.71
0.6439226669999982 0.059 0.033 1.001 5.992 4.145 3.153
0.6559536249999951 0.04 0.073 1.005 6.321 5.504 -1.183
0.6630062079999988 0.042 0.066 0.996 6.145 6.153 -4.084
0.6750752920000025 0.048 0.055 0.999 4.076 5.405 -2.916
0.6822299170000008 0.046 0.061 0.971 1.832 3.336 -2.069
0.6941345000000041 0.079 0.036 0.948 2.244 -0.031 -1.008
0.7014798329999934 0.108 0.018 0.97 2.496 -0.878 2.733
0.7134631670000005 0.098 0.009 0.979 2.053 0.183 6.725
0.7255295420000039 0.082 0.013 0.966 1.038 -0.756 10.275
0.7328704170000009 0.066 0.016 0.947 0.176 -2.031 11.435
0.7450540420000067 0.065 0.027 0.949 -1.328 -2.206 8.687
0.7524631250000056 0.08 0.03 0.961 -3.26 1.542 5.344
0.764398374999999 0.059 0.032 0.945 -4.282 7.115 3.015
0.7717614169999933 0.04 0.028 0.915 -2.969 9.756 1.687
0.7837150000000008 0.021 0.003 0.89 1.191 6.55 1.519
0.7961645419999996 0.018 -0.034 0.886 6.947 -1.061 3.672
0.8033596249999988 0.031 -0.052 0.927 11.42 -8.206 7.45
0.8153724999999952 0.041 -0.038 0.968 13.847 -12.046 9.023
0.8222096249999993 0.039 -0.013 1.023 12.214 -10.786 7.763
0.8346327499999973 0.068 0.01 1.034 8.023 -4.756 3.649
0.8413376670000048 0.067 0.024 1.066 2.092 6.771 -4.374
0.853432583 0.043 0.007 1.025 -1.634 15.634 -6.458
0.8657044170000034 -0.006 -0.03 0.958 -2.718 16.74 -2.55
0.872838625 -0.052 -0.028 0.935 -1.038 6.901 -2.672
0.885250874999997 -0.045 -0.02 0.945 2.382 -3.992 -5.29
0.8924271669999939 -0.031 -0.007 0.982 3.763 -8.748 -7.55
0.9045018329999976 0.012 -0.01 0.986 4.733 -11.076 -10.084
0.9114555419999988 0.076 -0.029 0.998 6.397 -9.527 -10.076
0.9236760419999968 0.092 -0.047 1.007 7.282 -4.656 -7.931
0.9359493329999964 0.087 -0.041 1.012 6.847 -1.718 -5.611
0.9429728749999952 0.084 -0.022 1.016 6.282 -2.107 -2.626
0.9554572499999948 0.054 0.008 1.028 4.351 -3.443 1.038
0.9625722920000044 0.005 0.024 1.019 1.771 -6.344 3.122
0.974665250000001 -0.042 0.085 1.034 -1.672 -12.832 -1.015
0.9816355829999992 -0.02 0.064 1.033 -5.588 -16.366 -8.359
0.9938594580000027 0.042 -0.005 1.024 -9.168 -15.115 -13.191
1.0009702499999946 0.089 -0.066 1.011 -10.206 -9.198 -13.489
1.0131205830000027 0.108 -0.118 0.998 -9.137 -3.748 -9.618
1.025700624999999 0.068 -0.11 0.995 -7.939 -0.885 -5.115
1.032656375000002 0.019 -0.089 0.984 -5.443 -1.924 -3.931
1.0452388749999957 0.017 -0.068 0.984 -1.885 -4.725 -3.679
1.052252167000006 0.031 -0.031 1.019 0.519 -4.031 -3.664
1.064705958000005 -0.028 0.035 1.037 -0.855 -3.832 -8.412
1.0716564169999998 -0.019 0.034 1.021 -3.679 -8.359 -14.198
1.084025208 0.035 -0.003 1.032 -8.099 -12.969 -16.153
1.0959442500000025 0.085 -0.025 1.042 -11.29 -10.733 -14.832
1.1029635830000046 0.082 -0.051 1.02 -12.634 -4.13 -12.053
1.1152147920000033 0.058 -0.068 0.982 -11.527 -1.901 -10.695
1.1221497500000055 0.029 -0.066 0.957 -8.656 -4.611 -10.0
1.1348720000000014 0.039 -0.062 0.94 -4.878 -8.237 -9.153
1.1417352499999964 0.052 -0.069 0.937 -0.794 -11.794 -7.336
1.1539710830000018 0.063 -0.021 0.961 0.557 -14.153 -7.595
1.1659324169999934 0.07 0.03 1.005 -1.069 -13.069 -12.405
1.1730839580000063 0.082 0.028 1.046 -3.725 -9.099 -18.427
1.1851742919999992 0.083 -0.016 1.042 -5.832 -3.26 -20.015
1.1923312920000058 0.042 -0.042 1.009 -6.313 -2.244 -18.756
1.2048577080000058 0.032 -0.036 0.999 -6.466 -9.061 -16.695
1.211505791999997 0.043 -0.036 1.004 -6.626 -15.55 -14.519
1.2236609999999928 0.095 -0.028 1.01 -6.664 -18.252 -11.267
1.2360029580000005 0.105 0.003 1.042 -9.542 -15.366 -11.031
1.2427197079999956 0.111 0.018 1.038 -13.794 -10.504 -12.076
1.2549736250000052 0.103 -0.012 1.003 -16.092 -7.824 -12.221
1.261982666999998 0.086 -0.026 0.984 -15.313 -6.099 -12.099
1.274235332999993 0.056 -0.029 0.979 -11.771 -5.763 -12.977
1.2812844169999948 0.03 -0.042 0.959 -6.489 -7.985 -14.733
1.2935282499999945 0.054 -0.053 0.947 -1.611 -13.977 -15.58
1.3055775830000016 0.089 -0.044 0.961 0.206 -17.84 -15.42
1.3125659170000006 0.105 0.007 1.021 -2.328 -15.901 -17.58
1.3244036669999986 0.167 0.014 1.028 -6.718 -10.023 -21.55
1.3315224170000022 0.144 -0.017 1.029 -12.153 -1.679 -18.443
1.3438646249999948 0.11 -0.037 0.98 -15.267 -0.779 -14.107
1.3559503329999956 0.099 -0.047 0.947 -14.221 -6.443 -13.565
1.363258999999999 0.117 -0.064 0.958 -10.809 -9.55 -12.824
1.3754126670000062 0.129 -0.061 0.959 -7.733 -7.489 -12.366
