Time AX AY AZ GX GY GZ
0.0195308750000009 0.053 -0.101 1.007 -0.313 2.626 -2.664
0.0320899170000004 0.056 -0.101 1.016 -0.634 3.534 -2.176
0.0390815000000017 0.048 -0.093 1.009 -1.084 1.969 -1.107
0.0530734170000002 0.065 -0.092 1.005 -0.443 -2.748 -0.046
0.0586455000000043 0.092 -0.078 1.009 -0.397 -3.588 1.29
0.071179083000004 0.099 -0.058 1.035 -2.084 -0.313 1.885
0.0781532080000033 0.086 -0.048 1.033 -4.992 5.244 1.863
0.0905400420000006 0.059 -0.063 1.003 -6.786 8.977 1.023
0.0976583330000053 0.038 -0.086 0.967 -6.557 8.252 0.664
0.1102106250000005 0.035 -0.101 0.952 -5.611 2.901 1.321
0.1177986670000024 0.031 -0.112 0.936 -2.664 -1.634 2.45
0.1300388750000038 0.04 -0.098 0.966 -0.939 -4.45 2.038
0.1420338750000027 0.06 -0.08 1.016 0.863 -4.107 0.496
0.1496165420000039 0.094 -0.068 1.028 1.565 -1.496 0.977
0.1615827500000008 0.105 -0.05 1.046 0.198 2.779 1.687
0.1688705000000041 0.08 -0.042 1.028 -2.26 5.122 2.634
0.1811457920000023 0.054 -0.046 1.011 -4.939 2.939 3.344
0.1886650420000037 0.05 -0.049 0.983 -7.0 -2.237 3.878
0.2008802500000044 0.046 -0.049 1.03 -8.504 -4.519 3.588
0.2082175419999998 0.064 -0.084 0.971 -9.282 -4.328 3.916
0.2204135830000027 0.032 -0.09 0.974 -9.42 -1.634 3.229
0.2279349580000058 0.022 -0.091 0.97 -11.023 -0.16 1.176
0.2399966669999997 0.028 -0.114 0.939 -10.16 -0.947 0.74
0.2522387500000036 0.005 -0.122 0.937 -8.45 0.015 0.687
0.259542500000002 -0.037 -0.103 0.936 -4.496 2.443 -2.664
0.2718900830000024 -0.019 -0.125 0.923 -1.489 0.13 -3.153
0.2793322919999994 -0.004 -0.137 0.933 -0.626 -6.0 -3.405
0.2913500420000048 0.013 -0.1 0.959 -0.542 -7.092 -4.588
0.2988682080000018 0.031 -0.102 0.967 -0.603 -4.336 -6.229
0.3109041250000004 0.052 -0.122 1.003 -3.901 -0.275 -6.656
0.3181980420000059 0.047 -0.142 0.958 -4.473 2.427 -7.427
0.3305853750000054 0.031 -0.157 0.96 -4.496 3.573 -7.771
0.3377543329999994 0.021 -0.156 0.957 -5.145 0.298 -6.863
0.3498328330000007 0.015 -0.151 0.954 -6.29 -5.153 -6.588
0.3620570420000035 0.039 -0.156 0.965 -8.687 -7.305 -5.153
0.3693587919999999 0.066 -0.137 0.969 -11.107 -5.748 -4.557
0.3814131250000017 0.058 -0.155 0.977 -12.313 1.321 -4.588
0.3887667080000057 0.035 -0.191 0.961 -10.809 8.656 -4.542
0.4006067080000051 -0.016 -0.208 0.934 -8.992 9.282 -6.16
0.4078756670000061 -0.04 -0.234 0.905 -5.985 2.382 -6.794
0.4202925420000056 -0.028 -0.24 0.929 -2.977 -5.069 -6.695
0.4272499580000044 0.01 -0.218 0.945 -1.893 -8.534 -7.092
0.4397416250000034 0.035 -0.2 0.969 -2.489 -5.824 -7.282
0.4519496250000046 0.041 -0.198 0.968 -5.756 0.076 -5.969
0.4591385000000016 0.027 -0.191 0.965 -8.504 5.145 -4.962
0.4712093750000008 0.002 -0.204 0.975 -10.237 8.267 -5.168
0.4783649580000002 -0.019 -0.233 0.897 -8.076 7.229 -5.763
0.4907563330000002 -0.023 -0.261 0.946 -2.382 6.183 -8.183
0.4977250420000061 -0.029 -0.248 0.93 2.305 4.267 -11.214
