Time AX AY AZ GX GY GZ
0.0144591660000017 0.062 -0.016 0.973 4.206 -4.496 -2.641
0.0266331660000034 0.066 -0.014 0.983 4.939 -5.344 -2.527
0.0335645830000004 0.075 -0.022 0.985 5.344 -5.282 -1.481
0.0460180829999998 0.072 -0.001 0.984 4.756 -2.954 -0.695
0.0582159160000017 0.084 -0.0 0.997 4.305 -2.504 -0.786
0.0652567079999997 0.078 0.004 0.998 2.794 -0.16 0.275
0.0774435410000009 0.069 0.003 1.0 1.412 2.16 1.55
0.0845845830000016 0.052 -0.003 1.007 -0.137 3.168 1.908
0.0970985410000011 0.049 -0.006 0.99 -0.718 3.366 1.977
0.1040011660000033 0.021 -0.012 0.979 -0.061 3.145 0.847
0.1162997910000029 0.009 -0.011 0.962 1.611 0.763 -0.458
0.1232689160000006 0.014 -0.022 0.971 4.595 -2.924 -1.099
0.135821374999999 0.006 -0.01 0.967 6.359 -6.107 -1.855
0.1479687500000039 0.015 -0.0 0.98 7.305 -8.702 -3.145
0.1553049580000021 0.051 0.003 1.015 6.863 -8.718 -3.916
0.1672904580000036 0.067 0.006 1.002 5.13 -6.069 -1.878
0.1743386250000043 0.063 0.015 1.012 2.74 -3.176 -0.229
0.1863868750000037 0.058 0.015 1.019 0.107 1.71 -0.298
0.1936103749999986 0.029 -0.01 0.987 -1.267 5.313 0.038
0.2059047079999985 -0.008 -0.013 0.954 -0.031 2.252 -0.412
0.2179763330000028 0.0 -0.019 0.945 2.84 -2.817 -1.26
0.2252305000000021 0.025 -0.012 0.965 4.359 -3.626 -1.122
0.237527208000003 0.026 -0.0 0.986 4.656 -1.504 -1.031
0.2445480410000016 0.031 0.002 0.995 5.412 0.702 -1.153
0.2565959579999983 0.011 0.004 1.004 5.176 3.374 -2.061
0.2636778330000027 0.0 0.01 1.003 4.282 3.885 -2.206
0.2757980000000017 -0.009 -0.002 1.005 3.305 4.015 -3.023
0.2877367080000041 -0.014 0.012 1.011 2.008 3.374 -3.443
0.295046916000004 -0.028 0.004 1.02 1.176 3.519 -4.496
0.3071477499999986 -0.037 -0.002 1.001 0.802 1.443 -5.847
0.3146096660000026 -0.007 -0.003 1.002 2.679 -1.305 -6.672
0.3266350410000029 0.005 0.003 1.016 3.359 -2.786 -6.832
0.3336732080000004 0.027 0.021 1.015 2.916 -3.557 -6.748
0.3456515829999986 0.046 0.017 1.021 1.336 -2.481 -6.038
0.3577494160000043 0.06 0.015 1.022 -0.656 0.252 -5.695
0.3650053750000026 0.055 -0.001 1.002 -1.924 2.664 -4.809
0.3773019580000039 0.039 -0.012 0.965 -1.786 3.237 -4.511
0.3845590829999992 0.021 -0.017 0.964 -0.351 2.053 -4.397
0.3965755000000044 0.015 -0.011 0.978 0.794 1.008 -4.237
0.4036417499999984 0.03 0.012 1.002 1.038 1.099 -4.618
0.4156798329999986 0.058 0.007 1.03 -0.275 4.779 -3.908
0.4277640829999996 0.059 0.008 1.032 -2.878 9.916 -2.496
0.4348086660000021 0.025 0.013 1.011 -5.435 13.336 -2.389
0.4471015410000021 -0.008 -0.01 0.969 -5.435 13.092 -3.473
0.4543042499999998 -0.031 -0.036 0.953 -2.664 9.481 -4.679
0.4663904579999993 -0.046 -0.028 0.955 0.565 5.573 -6.214
0.4736929160000045 -0.039 -0.029 0.969 2.198 3.244 -7.809
0.485984375000001 -0.029 -0.01 0.987 2.328 1.931 -9.16
0.4977498750000038 -0.004 0.008 1.005 1.504 3.252 -11.13
0.5048489160000003 -0.004 0.007 1.009 0.588 7.069 -12.733
0.517223915999999 -0.02 -0.01 0.957 1.198 5.977 -14.0
0.524195375000005 -0.018 -0.013 0.938 3.824 -1.496 -14.137
0.536002916000001 0.02 0.012 0.978 5.198 -4.282 -13.534
0.548313333000003 0.036 0.035 1.01 4.305 -1.16 -14.794
0.5553985000000026 0.047 0.015 0.987 2.962 0.366 -14.153
0.5671629160000009 0.043 0.011 0.974 2.092 1.504 -13.916
0.5742494580000042 0.047 -0.008 0.943 2.771 2.405 -14.473
0.5862020830000034 0.046 -0.033 0.935 4.771 3.893 -14.137
0.5982866250000001 0.02 -0.01 0.945 6.901 3.725 -15.664
0.605355000000003 0.027 -0.012 0.96 9.344 0.969 -13.374
0.6173946660000027 0.017 0.017 0.98 9.947 -2.74 -14.351
0.6244583750000032 0.05 0.047 1.04 8.427 -1.206 -13.489
0.6364849160000006 0.078 0.058 1.039 4.656 5.374 -12.084
0.6483070000000026 0.057 0.036 1.027 0.969 12.939 -11.901
0.6554385410000023 -0.0 0.019 0.973 0.412 12.664 -13.038
0.6674103329999994 -0.005 -0.005 0.957 2.695 6.107 -13.481
