Time AX AY AZ GX GY GZ
0.0146482079999827 -0.106 -0.086 0.971 -4.16 6.29 -4.076
0.0270922910000024 -0.115 -0.088 0.91 -0.076 -4.221 -2.611
0.0391811249999989 -0.092 -0.073 0.906 4.389 -17.267 -1.725
0.0462791659999766 -0.031 -0.067 0.962 5.916 -20.71 -1.16
0.058666957999975 0.014 -0.042 1.025 4.168 -10.847 0.221
0.0659150409999824 -0.007 -0.008 1.052 0.191 4.221 0.29
0.0780682909999939 -0.045 0.004 1.015 -2.786 12.504 -2.405
0.0850533750000011 -0.064 -0.036 0.982 -2.924 11.122 -2.534
0.0974144159999923 -0.096 -0.047 0.94 -1.489 3.206 -2.298
0.1049427909999849 -0.092 -0.056 0.909 1.573 -7.557 -1.969
0.116939082999977 -0.035 -0.061 0.921 5.901 -18.489 0.076
0.129353291000001 0.016 -0.047 0.993 8.511 -18.092 0.71
0.1365640409999855 0.02 -0.043 1.05 5.58 -5.931 3.649
0.1488044999999829 -0.055 -0.022 1.059 0.198 5.641 3.481
0.1561579999999764 -0.114 -0.04 0.991 -2.153 7.641 1.618
0.1683719999999766 -0.167 -0.045 0.965 -1.542 -0.656 -1.221
0.1759099999999875 -0.169 -0.052 0.943 -0.137 -12.595 -4.229
0.1880229579999763 -0.131 -0.05 0.954 0.359 -24.969 -5.092
0.1952915829999995 -0.04 -0.044 0.991 0.023 -31.267 -3.954
0.2074428329999875 -0.014 -0.031 1.036 -2.092 -26.893 -2.626
0.214718457999993 -0.035 -0.042 1.065 -4.237 -15.565 -2.122
0.2270522909999783 -0.082 -0.04 1.011 -5.878 -10.427 -2.466
0.2390347500000018 -0.141 -0.062 0.943 -4.992 -14.336 -4.176
0.2465281659999902 -0.182 -0.074 0.919 -0.664 -23.84 -8.786
0.2586352499999975 -0.157 -0.061 0.911 3.649 -36.534 -12.817
0.2656165829999963 -0.079 -0.017 0.969 4.763 -47.794 -15.863
0.2776518749999752 -0.03 0.015 1.037 1.305 -49.26 -17.847
0.2849880830000018 0.01 -0.009 1.048 -4.473 -42.389 -17.756
0.2970196249999901 0.014 -0.047 0.991 -6.191 -37.977 -16.107
0.3090192079999951 -0.014 -0.076 0.945 -3.992 -39.321 -15.229
0.3162798749999922 -0.013 -0.091 0.914 1.458 -45.916 -14.603
0.3280795409999939 0.022 -0.071 0.941 5.656 -55.176 -13.031
0.3355384159999914 0.102 -0.007 1.011 5.321 -60.489 -10.947
0.3471961249999822 0.135 0.03 1.138 -1.863 -46.084 -12.481
0.3592685409999774 0.165 -0.013 1.166 -12.565 -21.344 -8.618
0.3665969999999845 0.068 -0.019 1.096 -19.611 -0.237 -8.664
0.3785711249999792 -0.04 -0.045 0.968 -19.29 3.893 -12.214
0.3858690409999781 -0.09 -0.098 0.883 -12.901 -9.687 -15.145
0.3981646249999926 -0.144 -0.106 0.882 -4.702 -32.992 -18.412
0.4051537080000003 -0.162 -0.084 0.9 2.58 -57.779 -24.687
0.4172104999999817 -0.143 -0.089 0.885 9.13 -82.443 -31.763
0.4293025409999984 -0.085 -0.098 0.865 17.374 -105.824 -37.611
0.4360662079999997 0.03 -0.089 0.867 25.313 -131.275 -39.824
0.4478975829999854 0.156 -0.04 0.94 27.679 -144.099 -38.634
0.4549689579999949 0.284 -0.005 1.022 23.832 -138.305 -34.038
0.4667838329999938 0.34 -0.011 1.069 17.344 -119.916 -22.969
0.4785647079999933 0.356 0.019 1.073 10.397 -99.809 -17.321
0.4856546249999951 0.326 0.035 1.067 5.641 -81.366 -17.725
0.497437624999975 0.279 0.022 1.038 0.214 -64.038 -22.618
0.5047728329999757 0.23 -0.032 0.958 -2.305 -58.092 -20.924
0.5167513749999841 0.177 -0.047 0.859 0.771 -69.145 -21.84
0.5285620829999971 0.184 -0.051 0.829 5.847 -86.969 -23.893
0.5357148329999859 0.183 -0.047 0.863 10.763 -99.221 -27.046
0.5474940409999931 0.253 -0.066 0.839 16.374 -107.71 -26.481
0.5592504579999797 0.313 -0.046 0.837 20.863 -117.809 -24.603
0.566298125000003 0.41 0.008 0.918 21.443 -121.359 -23.13
0.5778846659999886 0.497 0.023 1.014 17.13 -105.107 -19.26
0.5849199999999826 0.514 0.017 1.045 9.489 -77.855 -13.542
0.5970555409999747 0.443 0.042 0.984 2.275 -59.519 -13.534
0.6087865829999828 0.385 0.007 0.898 1.206 -55.573 -17.023
0.6157394159999967 0.351 -0.05 0.826 5.214 -61.847 -17.046
0.6279904999999815 0.281 -0.051 0.782 12.084 -74.435 -20.153
0.6347714579999888 0.276 -0.011 0.704 22.611 -102.305 -21.534
0.6465348749999862 0.406 0.002 0.742 32.756 -131.939 -24.893
0.6583819579999783 0.572 0.036 0.899 34.534 -135.008 -23.389
0.6652339999999981 0.689 0.064 1.015 27.557 -109.58 -17.206
0.676979665999994 0.675 0.077 1.013 16.489 -77.382 -12.42
0.6890431659999763 0.622 0.053 0.943 8.038 -56.634 -8.42
0.696036165999999 0.552 0.025 0.858 4.557 -52.55 -5.29
0.708201540999994 0.382 0.046 0.812 4.344 -58.092 -9.885
0.7152408329999957 0.312 -0.001 0.69 9.008 -75.779 -19.061
0.7269797909999909 0.353 -0.032 0.583 20.252 -108.832 -24.214
0.738888290999995 0.458 0.002 0.597 33.672 -145.122 -25.588
0.7456836249999981 0.615 0.059 0.723 38.55 -160.458 -25.954
0.7574486659999877 0.737 0.091 0.883 32.298 -146.656 -22.985
0.7690149159999748 0.787 0.121 0.931 19.885 -117.015 -18.641
0.7760416659999976 0.826 0.115 0.883 8.878 -90.191 -14.191
0.7880991250000022 0.798 0.106 0.843 0.092 -70.382 -9.802
0.795486249999982 0.755 0.082 0.789 -4.718 -53.702 -7.076
