Time AX AY AZ GX GY GZ
0.013854916999989086 0.034 0.217 0.842 6.435 -5.023 5.023
0.02677337499999055 0.07 0.23 0.838 6.603 2.176 8.29
0.03371870799999499 0.097 0.234 0.846 7.84 6.969 8.695
0.04628404199999636 0.104 0.24 0.838 7.725 10.397 7.45
0.05316616700000054 0.097 0.266 0.827 5.687 11.641 7.061
0.06572699999999543 0.085 0.237 0.827 2.725 13.504 4.786
0.07291729199999963 0.038 0.212 0.836 0.015 14.977 0.435
0.08517704199999798 -0.009 0.227 0.871 -1.55 10.519 -1.71
0.09228279199999179 -0.041 0.224 0.885 -1.069 1.26 -0.313
0.1044532920000023 -0.052 0.236 0.905 -0.664 -9.626 0.718
0.11183545800000161 0.005 0.265 0.898 1.458 -19.458 3.42
0.12392545800000221 0.075 0.257 0.875 2.099 -21.336 2.924
0.1361849580000012 0.094 0.23 0.829 -0.168 -10.939 -0.221
0.14357595799999956 0.062 0.223 0.827 -4.664 2.992 -1.55
0.15573683299999175 0.0 0.221 0.889 -7.939 9.802 -1.183
0.1630515829999979 -0.069 0.208 0.944 -9.237 5.878 -0.977
0.1753270829999991 -0.104 0.202 1.004 -7.29 -7.382 0.382
0.18239391699999885 -0.046 0.226 1.029 -1.198 -24.191 3.626
0.19475120799999956 0.056 0.23 0.981 4.824 -32.389 5.076
0.20194316699999604 0.147 0.247 0.915 6.733 -24.618 4.389
0.2141772079999953 0.168 0.251 0.862 4.336 -3.397 2.183
0.22651816699999472 0.113 0.247 0.857 -0.878 21.573 0.221
0.2337396669999947 0.017 0.244 0.917 -5.595 34.962 -0.427
0.2458292079999893 -0.084 0.242 1.01 -6.542 27.45 0.924
0.2532069579999927 -0.12 0.212 1.043 -3.779 5.489 1.954
0.2652879580000018 -0.081 0.204 1.026 0.962 -17.26 2.122
0.2726522079999967 0.014 0.205 0.999 5.603 -34.0 3.053
0.28472429199999283 0.113 0.228 0.92 7.214 -34.092 3.015
0.2922532500000017 0.142 0.24 0.854 5.176 -16.809 3.405
0.3046609579999995 0.164 0.237 0.832 1.046 9.084 4.725
0.31199691700000187 0.124 0.228 0.864 -2.527 32.924 0.244
0.32400229199998876 0.01 0.233 0.914 -3.725 43.344 -4.924
0.3360726249999999 -0.088 0.246 0.995 -1.13 35.42 -4.359
0.3435707919999942 -0.113 0.221 1.019 2.275 14.046 0.229
0.3555863329999909 -0.088 0.212 1.0 5.115 -5.71 5.29
0.3628774169999929 -0.038 0.203 0.96 6.863 -15.679 8.786
0.3751181250000002 0.027 0.227 0.934 7.611 -16.466 11.053
0.38235104199999626 0.085 0.221 0.868 7.13 -8.557 11.794
0.39464074999999355 0.071 0.21 0.836 2.954 6.405 8.725
0.402171041999992 0.024 0.22 0.848 -2.084 20.527 4.29
0.41416379199999653 -0.016 0.226 0.886 -5.458 23.481 1.366
