Time AX AY AZ GX GY GZ
0.014508833000007826 -0.238 -0.508 0.793 2.527 3.221 -0.725
0.026689791999999102 -0.236 -0.517 0.799 1.565 2.427 -0.55
0.03402870800000812 -0.233 -0.525 0.805 0.374 2.832 0.061
0.04651000000001204 -0.228 -0.536 0.798 -1.45 4.412 0.321
0.053626958000009495 -0.22 -0.551 0.804 -2.771 6.115 -0.351
0.06599291700000265 -0.231 -0.548 0.807 -3.115 8.786 -0.977
0.07797737500000324 -0.238 -0.552 0.822 -2.099 10.382 -0.672
0.08522175000000232 -0.237 -0.546 0.819 -0.634 9.237 -1.221
0.09758083300000919 -0.25 -0.525 0.816 0.191 7.023 -1.328
0.10471520800000178 -0.25 -0.519 0.797 0.71 5.794 -1.099
0.11715150000000563 -0.256 -0.514 0.795 0.626 6.481 -1.42
0.12391454200000851 -0.254 -0.512 0.783 -0.229 6.26 -0.992
0.13638775000001147 -0.253 -0.531 0.78 -0.962 6.168 0.313
0.1438781670000111 -0.255 -0.529 0.795 -1.115 5.489 0.84
0.1556971250000032 -0.253 -0.53 0.806 -0.84 3.718 0.71
0.16819216700000084 -0.246 -0.529 0.812 0.29 0.763 -0.412
0.17549487499999827 -0.254 -0.522 0.799 0.313 -0.405 -1.061
0.18745729200000483 -0.261 -0.519 0.786 -0.023 -0.382 -0.244
0.19470108300001243 -0.254 -0.518 0.794 -0.244 0.237 0.672
0.20715829200000258 -0.247 -0.529 0.801 -0.336 1.206 0.16
0.21437175000001218 -0.251 -0.532 0.797 -0.374 1.779 -0.168
0.2262531249999995 -0.254 -0.527 0.813 -0.328 1.87 -0.206
0.23340454200000238 -0.256 -0.521 0.811 -0.298 0.557 -0.107
0.24578912500000172 -0.249 -0.521 0.817 -0.634 -1.0 -0.137
0.2576939580000044 -0.239 -0.525 0.8 -0.748 -1.244 -0.206
0.2650007499999987 -0.237 -0.525 0.8 -1.198 0.458 -0.115
0.27726404199999877 -0.243 -0.523 0.794 -1.794 2.901 0.267
0.2845895000000098 -0.241 -0.521 0.796 -2.046 4.405 0.427
0.29700650000000905 -0.243 -0.525 0.802 -2.099 5.206 0.366
0.30411062500000696 -0.242 -0.525 0.811 -1.473 5.008 0.023
0.31670212500000616 -0.257 -0.523 0.805 -0.626 3.405 -0.611
0.32352229200000693 -0.271 -0.523 0.807 0.183 0.412 -0.481
0.33583470800000725 -0.26 -0.531 0.798 0.122 -1.977 -0.328
0.34779862500001 -0.246 -0.531 0.796 -0.313 -2.344 -0.244
0.3549940000000049 -0.236 -0.539 0.784 -1.137 -0.015 -0.313
0.36713641700001176 -0.24 -0.538 0.799 -1.756 3.13 -0.573
0.3745730420000086 -0.244 -0.528 0.799 -2.298 5.13 0.282
0.3865368330000081 -0.258 -0.526 0.806 -2.198 4.366 0.763
0.39416937500000415 -0.26 -0.527 0.81 -2.237 2.374 0.504
0.40627304200000935 -0.246 -0.532 0.802 -1.198 0.885 -0.099
0.4181258750000012 -0.244 -0.532 0.794 0.031 -0.214 -0.527
0.42550920800000824 -0.244 -0.521 0.784 0.718 -0.198 -0.389
0.437811042000007 -0.248 -0.521 0.797 0.511 -0.031 0.076
0.4450551250000103 -0.245 -0.513 0.806 0.405 -0.435 -0.267
0.4570237500000047 -0.24 -0.517 0.809 -0.527 0.641 -0.473
0.4643562080000123 -0.241 -0.518 0.795 -0.603 3.26 -0.313
0.4766678330000076 -0.249 -0.532 0.805 -1.336 5.099 0.099
0.4838792920000117 -0.255 -0.541 0.802 -1.718 5.649 -0.229
0.495905625000006 -0.26 -0.552 0.805 -1.756 4.702 -0.672
0.5081654580000077 -0.271 -0.538 0.808 -1.71 3.71 -0.672
0.5154355829999986 -0.272 -0.535 0.808 -0.992 2.191 -0.176
0.5276333330000114 -0.262 -0.532 0.786 -0.351 0.939 -0.71
0.5349063330000092 -0.256 -0.518 0.791 -0.168 0.618 -0.519
0.5468620000000044 -0.259 -0.514 0.782 -0.176 0.634 -0.557
0.5538952920000071 -0.244 -0.512 0.799 -0.405 0.084 -0.405
0.5665188330000035 -0.249 -0.51 0.801 -0.542 -0.321 -0.664
0.5726558750000095 -0.255 -0.519 0.796 -1.015 0.092 -0.511
0.585671583000007 -0.257 -0.524 0.81 -0.817 0.412 -0.298
0.597759833000012 -0.254 -0.537 0.804 -1.137 -0.198 0.015
0.6051844580000107 -0.26 -0.532 0.794 -1.473 -0.649 -0.206
0.6172862080000101 -0.262 -0.524 0.804 -1.939 -0.595 0.214
0.6244941249999982 -0.254 -0.529 0.823 -1.244 -0.611 0.26
0.6363200830000011 -0.238 -0.532 0.817 -0.16 -0.565 -0.603
0.6433611249999984 -0.246 -0.52 0.793 0.099 0.42 -1.198
0.6561710420000111 -0.242 -0.513 0.791 -0.221 1.328 -0.435
0.6684183750000017 -0.239 -0.523 0.793 -0.55 2.313 -0.153
0.6753974580000062 -0.241 -0.528 0.802 -0.847 2.885 -0.565
0.6872587500000122 -0.254 -0.534 0.794 -0.725 3.885 -0.71
0.6943554170000112 -0.26 -0.529 0.807 -1.282 3.695 -0.626
