Time AX AY AZ GX GY GZ
0.014440167000003612 -0.211 -0.108 0.975 -0.992 7.084 -3.198
0.026456292000005988 -0.212 -0.104 0.995 -1.183 3.458 -3.427
0.033257542000001195 -0.186 -0.095 1.002 0.031 -0.519 -4.618
0.045365000000003874 -0.195 -0.084 0.97 -0.221 0.099 -4.573
0.057568874999986974 -0.209 -0.093 0.978 -0.092 0.092 -4.405
0.06478308399999833 -0.196 -0.102 0.987 0.145 -2.221 -5.496
0.0770685839999885 -0.193 -0.101 0.974 0.305 -1.244 -6.351
0.08403529200001003 -0.188 -0.107 0.964 0.26 1.992 -6.244
0.09629654200000459 -0.182 -0.108 0.967 0.382 4.763 -6.557
0.10348654200001306 -0.193 -0.093 0.959 -0.496 6.214 -4.992
0.11556350000000748 -0.21 -0.085 0.948 -2.023 5.641 -4.985
0.12762383399999067 -0.225 -0.089 0.976 -3.481 3.023 -5.061
0.13484633400000234 -0.228 -0.104 0.972 -3.229 1.137 -4.298
0.1468438340000091 -0.245 -0.117 0.985 -1.519 1.374 -2.893
0.15433250000000953 -0.259 -0.128 0.991 0.351 0.137 -1.603
0.16629741700000977 -0.247 -0.116 0.981 1.55 -3.031 -0.802
0.17358012500000086 -0.214 -0.104 0.946 1.511 -3.855 0.076
0.1855913340000086 -0.198 -0.105 0.925 0.832 -0.221 -0.863
0.19764229200001182 -0.197 -0.083 0.95 -1.229 0.687 -0.565
0.20467658399999777 -0.214 -0.072 0.95 -3.137 -0.489 -0.55
0.21678470899999525 -0.218 -0.083 0.959 -4.397 -3.061 0.42
0.22403087500001106 -0.207 -0.093 0.974 -3.611 -4.511 0.84
0.23605558400001314 -0.21 -0.101 0.983 -1.817 -4.076 1.931
0.2420105840000133 -0.203 -0.106 0.967 -0.45 -3.748 2.481
0.25538316699999086 -0.2 -0.103 0.977 0.0 -4.794 1.855
0.2674346670000034 -0.186 -0.1 0.961 -0.427 -4.191 0.809
0.27445870900001523 -0.174 -0.122 0.951 -0.573 -1.527 -0.42
0.2864716670000007 -0.184 -0.088 0.953 -3.389 0.557 -1.305
0.29378650000001016 -0.177 -0.091 0.934 -5.824 4.435 -0.725
0.3058377499999949 -0.214 -0.121 0.966 -6.908 8.42 -0.885
0.31781824999998776 -0.285 -0.113 0.986 -6.748 8.809 0.832
0.32508562500001403 -0.316 -0.124 1.018 -3.16 2.893 5.55
0.3371507500000064 -0.292 -0.137 0.988 -0.122 -0.237 7.679
0.34443470900001216 -0.27 -0.103 0.987 2.313 -1.527 9.183
0.35642141700000707 -0.232 -0.106 0.981 5.321 -4.214 8.84
0.36375691699998924 -0.225 -0.109 0.976 6.802 -8.168 7.084
0.37579058400001486 -0.233 -0.071 0.951 4.053 -12.344 7.366
0.3878458339999895 -0.204 -0.078 0.926 -1.198 -13.527 6.84
