Time AX AY AZ GX GY GZ
0.01420933400000024 -0.067 0.004 1.056 -4.588 -2.275 1.939
0.02637895899999876 -0.047 -0.002 1.052 0.466 -4.405 1.71
0.033590916999997944 -0.008 0.026 1.026 2.649 -2.763 0.198
0.04582212499998661 -0.002 0.05 1.009 2.061 1.313 -3.511
0.05278079199999297 -0.016 0.052 0.973 -0.198 6.26 -6.153
0.06521466699999223 -0.066 0.038 0.955 -3.221 9.954 -5.603
0.07242887499999995 -0.133 0.008 0.981 -5.481 8.824 -3.55
0.08458549999998866 -0.152 -0.011 1.011 -5.611 4.603 -1.298
0.09681166699999721 -0.125 -0.022 1.028 -3.534 0.557 0.573
0.10395954199999835 -0.1 -0.025 1.038 0.13 -0.763 1.878
0.11615283399999043 -0.063 -0.028 1.042 2.557 -1.504 2.099
0.12318812499999865 -0.033 -0.013 1.024 3.527 -0.26 0.466
0.13564524999999605 -0.046 -0.008 0.99 2.206 2.45 -1.382
0.14242937499999186 -0.072 -0.008 0.978 -0.351 4.29 -2.084
0.15455362499999126 -0.104 -0.028 0.981 -3.397 4.55 -0.214
0.1671032499999967 -0.131 -0.041 0.997 -5.061 2.504 1.527
0.17403116699999543 -0.14 -0.049 1.027 -7.031 0.603 2.511
0.18624395899999513 -0.112 -0.063 1.061 -5.076 0.321 2.656
0.19332462499998826 -0.094 -0.091 1.077 0.183 0.458 2.756
0.205817833999987 -0.1 -0.087 1.062 4.656 -1.26 2.534
0.21297533399999224 -0.099 -0.044 1.028 5.687 -3.13 4.282
0.2251489999999876 -0.077 -0.022 0.972 3.641 -1.985 6.359
0.2322383339999874 -0.086 -0.038 0.938 -0.366 1.198 6.351
0.24443662499999164 -0.107 -0.042 0.956 -4.176 4.107 6.519
0.2577599589999977 -0.134 -0.072 1.005 -5.061 1.099 6.672
0.2638090839999876 -0.157 -0.089 1.018 -4.137 -5.191 6.183
0.27599891699999546 -0.153 -0.083 1.008 -2.824 -10.504 8.641
0.28326508399999284 -0.129 -0.093 0.989 -2.107 -10.435 12.252
0.29505166699999563 -0.088 -0.093 0.96 -2.099 -4.527 14.748
0.30712529199999494 -0.09 -0.069 0.95 -2.122 1.389 16.84
0.31417829199999403 -0.113 -0.055 0.985 -1.45 2.443 19.168
0.3260260419999952 -0.095 -0.084 1.028 -0.092 -5.802 15.656
0.33310941699998864 -0.071 -0.072 1.007 0.031 -14.893 9.237
0.34524037499998883 -0.041 -0.052 0.983 -0.389 -18.023 5.015
0.35257945899999754 -0.02 -0.047 0.963 -3.695 -18.84 3.229
0.3645992919999941 0.004 -0.054 0.959 -6.313 -13.771 2.931
0.3766130839999988 0.037 -0.07 1.001 -3.153 -5.931 4.061
0.3839934169999992 0.076 -0.071 1.02 2.328 3.863 4.023
0.3961913749999866 0.06 -0.038 1.025 5.802 12.42 2.626
0.403719291999991 0.028 0.0 1.03 7.45 17.191 0.802
0.4159674169999903 -0.023 0.018 1.044 8.977 14.206 2.374
0.42282433399999775 -0.022 0.002 1.036 10.771 6.229 4.275
0.4353819589999972 0.001 -0.009 0.99 11.802 0.13 2.817
0.4423899589999962 0.042 0.007 0.953 8.908 -4.153 0.618
0.4550256669999868 0.063 0.013 0.915 3.366 -1.069 -2.221
0.4609265419999957 0.053 0.017 0.901 -2.985 5.397 -4.534
0.47464020899998616 0.046 0.017 0.933 -5.687 12.969 -6.267
0.4862885839999933 -0.046 0.01 0.963 -4.947 14.885 -10.84
0.49385645899999986 -0.097 0.018 1.028 -2.237 5.481 -7.16
0.5059576249999935 -0.081 0.039 1.014 0.634 -4.275 -0.809
0.5132653749999889 -0.038 -0.001 0.976 2.42 -6.985 1.58
0.5252924589999992 -0.044 -0.013 0.963 1.763 -6.634 -0.718
0.5370637499999873 -0.075 0.008 0.973 -0.29 -10.107 -0.099
0.5443727919999901 -0.083 0.023 0.973 -2.863 -14.519 2.74
0.5563954589999867 -0.045 0.016 0.977 -5.397 -15.168 3.344
0.5637290419999914 -0.018 0.016 0.995 -7.069 -12.176 1.656
0.5755095419999918 -0.009 -0.001 1.031 -6.519 -7.588 -0.221
0.582840958999995 -0.015 0.01 1.025 -5.412 -4.038 -2.084
0.5948105839999869 -0.043 0.027 1.011 -5.466 -1.649 -2.321
0.6068080839999936 -0.078 0.019 1.026 -4.351 -2.313 -1.0
0.6139402499999989 -0.075 -0.026 1.025 -1.649 -8.328 -0.649
0.625926041999989 -0.045 -0.005 0.993 0.321 -12.031 -0.649
0.6334071669999872 -0.011 0.0 0.982 1.16 -7.855 0.099
0.6454289169999896 0.012 -0.009 0.974 0.641 -2.832 -1.992
0.6528048339999941 0.011 0.014 0.969 -0.824 2.58 -3.985
0.6648166669999966 -0.019 0.041 0.959 -1.771 7.458 -3.443
0.6771084169999995 -0.059 0.036 0.979 -1.847 8.649 -2.176
0.6843612499999949 -0.125 0.037 0.993 -2.0 2.466 -1.519
0.6964185839999999 -0.143 0.051 0.992 -2.053 -8.611 0.473
0.7037291669999917 -0.098 0.017 0.973 -1.405 -17.061 1.351
0.7154208339999997 -0.041 -0.015 0.957 -1.809 -17.351 -0.878
0.7226389999999867 -0.009 -0.003 0.946 -3.702 -11.763 -3.328
0.7346727919999978 -0.016 0.015 0.973 -4.565 -4.275 -4.069
0.7466423339999864 -0.056 0.024 1.003 -4.244 -0.313 -3.282
0.7537828339999919 -0.081 0.054 1.028 -3.824 -0.519 -1.954
0.7659811249999962 -0.102 0.064 1.031 -2.305 -4.198 -5.092
0.7730704999999887 -0.057 0.041 1.049 -1.29 -12.748 -3.588
0.7848159999999922 0.006 0.025 0.999 0.069 -12.542 -3.916
0.7925617499999902 0.035 0.001 0.981 0.733 -7.534 -8.847
0.8044299169999931 0.016 0.023 0.997 0.725 -3.45 -11.351
0.816614291999997 0.011 0.035 1.0 0.427 -2.977 -10.473
0.8242620839999972 0.02 0.035 0.969 -0.183 1.824 -8.87
0.8365186249999965 0.021 0.025 0.977 0.58 8.916 -8.794
0.8434565419999984 -0.011 0.048 0.962 -0.237 12.405 -8.084
0.8557357499999938 -0.021 0.035 0.986 0.87 13.748 -8.618
0.862764624999997 -0.072 0.015 0.97 3.076 11.42 -17.802
0.8748007499999915 -0.09 0.045 1.009 3.611 -0.366 -17.344
0.8869283749999965 -0.076 0.089 0.972 1.87 -7.336 -13.176
0.8942649169999868 -0.035 0.05 0.967 -0.351 -7.519 -12.71
0.906157874999991 0.005 0.027 0.971 -1.511 -4.412 -15.74
0.9134739999999937 0.005 0.035 0.979 -0.977 1.099 -11.779
0.925535958999987 0.013 0.01 0.991 2.046 7.634 -10.74
0.932796458999988 0.026 -0.007 1.008 3.321 11.122 -16.031
0.9448275839999951 -0.04 0.029 1.008 3.115 8.748 -17.802
0.9571875839999961 -0.07 0.035 0.99 2.443 3.221 -18.069
0.9644076249999927 -0.053 0.018 0.944 0.229 1.611 -17.382
0.976545999999999 0.005 -0.004 0.979 -0.702 6.443 -23.328
0.9836044169999951 -0.053 0.022 0.997 -0.847 5.748 -22.672
0.9957920419999908 -0.026 0.019 0.972 0.832 5.588 -18.84
1.0027267089999867 -0.006 0.015 0.959 1.092 9.962 -18.924
1.0150286669999957 -0.039 0.029 0.971 0.038 13.733 -19.588
1.0271586249999984 -0.065 0.019 1.002 1.0 10.427 -19.901
1.0340447919999889 -0.092 0.003 1.012 1.817 2.817 -20.252
1.0462944169999986 -0.082 0.011 0.982 1.901 -2.817 -19.534
1.0530261249999882 -0.058 0.018 0.973 1.405 -3.282 -17.824
1.0652798339999947 -0.058 0.015 0.981 0.748 -1.687 -16.374
1.0722749169999872 -0.053 0.023 0.978 0.038 -0.985 -14.687
