Time AX AY AZ GX GY GZ
0.014599750000002132 0.148 -0.144 0.961 1.573 -2.115 -1.74
0.026772917000002394 0.159 -0.133 0.951 1.176 -2.695 -1.733
0.03922466699999916 0.161 -0.132 0.955 1.153 -2.366 -2.16
0.046216959000005886 0.161 -0.129 0.952 0.435 -1.756 -1.244
0.05871333400000367 0.155 -0.133 0.953 0.809 -1.305 -1.412
0.06599783400000092 0.156 -0.136 0.957 1.183 -0.695 -1.481
0.0783522500000089 0.169 -0.133 0.949 -0.252 0.42 -0.679
0.08551633400000469 0.159 -0.137 0.945 0.145 0.55 -0.725
0.09775583399999732 0.167 -0.139 0.948 1.756 -0.053 -1.557
0.10508479199999954 0.17 -0.132 0.954 1.237 -0.641 -1.847
0.11725629200000753 0.176 -0.128 0.956 0.198 -0.092 -2.511
0.12449691700000187 0.169 -0.129 0.957 -1.664 1.115 -2.084
0.13681691700000442 0.168 -0.133 0.949 -2.58 2.298 -1.374
0.14922775000000854 0.158 -0.14 0.952 -2.802 2.061 -0.931
0.15651308399999664 0.159 -0.155 0.955 -2.489 1.527 -1.305
0.16886454200000856 0.163 -0.15 0.962 -1.45 1.191 -1.634
0.17605029199999933 0.162 -0.137 0.962 -1.397 1.748 -2.519
0.18833762500000262 0.145 -0.115 0.957 -2.183 1.71 -3.092
0.19566020900001035 0.141 -0.1 0.957 -1.489 0.916 -4.344
0.20788366700000438 0.149 -0.102 0.97 -1.42 0.992 -5.618
0.21514237499999922 0.15 -0.109 0.969 -1.359 0.702 -6.748
0.22752016700000866 0.157 -0.107 0.956 -1.496 0.13 -8.336
0.23945208400000695 0.143 -0.103 0.991 -1.542 -1.092 -10.695
0.24678258400000175 0.137 -0.026 0.961 -7.718 -0.824 -14.611
0.25886800000000676 0.077 -0.059 0.992 -8.947 -2.023 -17.534
0.26624412500000005 0.054 -0.048 1.001 -8.863 0.015 -21.672
0.27812945899999875 0.04 -0.037 0.998 -11.397 2.84 -22.924
0.2851804590000029 -0.052 -0.113 1.0 -10.855 1.939 -23.809
0.29724158400000533 -0.111 -0.113 0.985 -6.832 -1.328 -24.176
0.3089874169999973 -0.194 -0.145 1.055 -2.626 -5.191 -21.084
0.3163103750000005 -0.228 -0.132 1.096 -1.221 -6.351 -20.313
0.32808941700000105 -0.258 -0.112 1.111 -2.069 -2.733 -13.076
0.3354122089999976 -0.324 -0.135 1.092 -1.87 1.031 -7.267
0.3476803340000032 -0.39 -0.118 1.031 -1.107 0.863 -1.351
0.35501779199999817 -0.445 -0.098 1.013 -1.618 -5.237 0.618
0.36700670900000887 -0.508 -0.113 1.027 -0.015 -12.771 3.107
0.3790357499999999 -0.525 -0.119 1.039 -1.0 -16.221 5.496
0.3860949999999974 -0.537 -0.13 1.079 -0.687 -19.473 8.053
0.398093541999998 -0.503 -0.133 1.062 -5.496 -13.015 13.099
0.4054343749999987 -0.493 -0.173 1.046 1.771 -8.664 24.802
0.4174476670000047 -0.437 -0.167 0.972 5.328 -1.183 35.405
0.4249513339999993 -0.416 -0.123 0.867 1.809 3.527 43.061
0.43707820900000627 -0.41 -0.089 0.828 -1.924 4.878 48.443
0.44901466700000014 -0.385 -0.059 0.765 -0.13 4.031 54.26
0.456601083999999 -0.317 -0.113 0.766 2.237 3.618 58.573
0.4685693750000013 -0.223 -0.168 0.787 6.145 5.115 60.588
0.47608145899999954 -0.137 -0.257 0.835 9.863 7.664 61.809
0.48812916699999676 -0.061 -0.323 0.91 17.802 9.282 63.435
0.49545575000000497 -0.026 -0.338 1.034 14.802 4.191 58.534
0.5077133340000017 0.02 -0.292 1.043 3.366 -5.336 50.443
0.5136412500000063 0.036 -0.241 1.005 -11.947 -8.015 45.344
0.5267679589999972 0.032 -0.198 0.884 -20.885 -5.26 44.168
0.5390356670000074 0.027 -0.194 0.772 -26.779 1.802 39.786
0.5463733750000017 0.028 -0.222 0.7 -26.916 4.481 36.511
0.558391125 0.03 -0.15 0.594 -26.427 7.45 32.687
0.565659917000005 -0.009 -0.053 0.459 -19.756 4.733 34.565
0.5776623750000027 -0.064 -0.084 0.335 -9.221 -7.191 36.244
0.5836373750000092 -0.083 -0.22 0.258 7.366 -30.427 30.061
0.5967507920000088 0.094 -0.308 0.323 29.038 -51.679 24.336
0.6088094589999997 0.39 -0.338 0.47 42.198 -51.42 29.115
0.6160585420000046 0.551 -0.378 0.602 29.435 -47.435 39.611
0.6281347090000082 0.643 -0.276 0.519 33.718 -56.183 33.038
0.6354287090000099 0.677 -0.135 0.377 31.901 -76.702 30.985
0.6472337920000086 0.681 -0.165 0.266 37.122 -102.908 23.74
0.6592202089999972 0.826 -0.095 0.115 21.878 -106.198 1.435
0.6665504590000069 0.902 -0.12 0.184 8.756 -106.046 -1.405
0.6786338750000027 0.989 -0.216 0.313 -11.237 -93.992 13.13
0.6856598340000062 1.052 -0.351 0.464 -21.374 -82.58 17.534
0.6976801670000015 1.082 -0.465 0.624 -25.649 -76.321 18.725
0.709461208999997 1.112 -0.513 0.693 -21.924 -71.122 20.794
0.7167962090000088 1.197 -0.5 0.837 -22.122 -58.435 25.916
0.7285612920000091 1.174 -0.604 1.005 -36.038 -32.702 30.115
0.7358945419999969 1.275 -0.395 0.993 -37.679 -15.191 29.084
0.7479063340000067 1.217 -0.349 0.871 -22.687 -6.496 35.221
0.7551615840000068 0.999 -0.375 0.864 1.13 -20.542 54.626
0.7672500420000006 1.045 -0.278 0.703 -6.252 -11.527 30.069
0.7790027500000036 1.029 -0.183 0.685 -26.275 -10.351 20.992
0.7863337920000077 0.969 -0.192 0.709 -49.496 -11.427 20.595
0.7981257920000076 0.917 -0.221 0.762 -63.649 -13.565 19.489
0.8055291670000031 0.899 -0.262 0.808 -71.947 -10.496 16.237
0.8174934999999977 0.914 -0.307 0.896 -84.336 -3.55 12.191
0.8294697919999976 0.851 -0.34 0.939 -89.542 3.725 6.359
0.8367773340000042 0.798 -0.354 0.974 -83.443 5.985 -0.611
0.8491268340000033 0.734 -0.375 0.986 -73.588 6.061 -5.305
0.8565324590000074 0.724 -0.352 1.012 -64.542 9.527 -4.115
0.868457583999998 0.722 -0.366 1.053 -61.046 15.145 -2.519
0.8755300420000083 0.716 -0.369 1.12 -59.237 20.145 -4.328
0.887528666999998 0.651 -0.346 1.124 -58.061 24.031 -5.725
0.8994662090000105 0.586 -0.324 1.07 -57.679 25.71 -9.702
0.9068892089999991 0.539 -0.308 1.025 -57.069 24.0 -12.718
0.9186580420000041 0.509 -0.324 1.046 -58.817 21.58 -16.305
