Time AX AY AZ GX GY GZ
0.014447459000001217 0.248 -0.124 0.93 2.405 -0.466 -1.786
0.02702016700000165 0.248 -0.117 0.933 1.076 -0.809 -0.901
0.03398558400000162 0.24 -0.121 0.93 0.336 -1.145 -0.122
0.04696179200000117 0.251 -0.122 0.937 -1.298 -1.076 0.649
0.058888750000001266 0.247 -0.132 0.929 -2.71 -0.336 1.153
0.06596825000000095 0.245 -0.159 0.946 -1.275 -0.069 1.427
0.07823654200000085 0.242 -0.143 0.939 -0.473 0.107 -0.168
0.08567720899999998 0.247 -0.125 0.938 -0.893 -0.519 0.573
0.09783362500000159 0.24 -0.126 0.917 -0.458 -0.489 1.168
0.10527820900000151 0.237 -0.128 0.921 1.74 -1.618 1.504
0.11751070900000116 0.235 -0.12 0.926 2.115 -1.725 -0.779
0.12493287500000072 0.25 -0.113 0.936 1.641 -1.481 -1.458
0.13704925000000046 0.259 -0.117 0.949 1.58 -0.756 -2.229
0.14425141700000133 0.262 -0.118 0.967 2.29 0.282 -0.939
0.15663791700000118 0.269 -0.119 0.972 -0.664 1.298 0.679
0.16889066700000122 0.281 -0.128 0.974 -2.198 2.832 1.45
0.1763397090000005 0.285 -0.125 0.978 -3.244 4.122 2.198
0.18863275000000002 0.286 -0.125 0.993 -3.969 4.527 2.885
0.19612566700000045 0.307 -0.141 0.991 -2.87 5.053 1.977
0.20838387500000088 0.313 -0.139 1.006 -2.542 5.641 1.748
0.21564804200000154 0.319 -0.135 0.996 -1.298 6.214 1.198
0.22791416700000156 0.323 -0.126 1.006 -1.092 6.115 1.092
0.23543829200000133 0.336 -0.122 1.0 -2.115 5.053 1.763
0.24821000000000026 0.349 -0.135 1.01 -2.137 5.198 1.038
0.25541004200000117 0.357 -0.105 1.002 -1.557 6.74 2.519
0.267498625 0.36 -0.12 1.019 -0.634 5.794 0.733
0.27500641700000017 0.377 -0.132 1.046 0.626 5.374 1.237
0.2872577920000001 0.381 -0.139 1.045 2.099 6.779 1.55
0.29472154200000134 0.384 -0.126 1.047 1.962 7.374 2.87
0.3070291670000014 0.376 -0.132 1.017 4.557 7.74 2.092
0.31452879200000083 0.347 -0.116 1.007 5.191 5.611 1.191
0.3268330420000005 0.357 -0.133 1.006 7.046 5.046 -2.977
0.33432737500000087 0.37 -0.129 1.018 5.542 4.046 -2.893
0.34672187500000007 0.378 -0.136 1.008 6.397 3.893 -2.107
0.3591422090000016 0.372 -0.101 1.004 4.046 1.71 2.427
0.36651587500000105 0.39 -0.123 0.991 6.237 4.534 1.924
0.3788547090000005 0.385 -0.105 0.957 7.038 5.298 2.817
0.386095375 0.374 -0.096 0.942 10.099 7.206 0.626
0.398633417000001 0.379 -0.074 0.949 9.763 6.87 0.672
0.40612616700000004 0.374 -0.084 0.941 9.252 7.824 1.458
0.4184865000000002 0.397 -0.081 0.963 5.305 8.756 -0.427
0.42564466700000025 0.366 -0.103 0.931 5.008 9.443 -2.031
0.43789937500000065 0.371 -0.084 0.919 5.74 11.168 -2.893
0.44530062500000156 0.353 -0.086 0.908 6.718 11.58 -6.267
0.4574810420000013 0.325 -0.089 0.908 8.863 10.603 -9.893
0.4647499590000006 0.324 -0.065 0.909 7.718 9.198 -11.542
0.47731975000000126 0.317 -0.064 0.914 4.87 7.519 -10.954
0.4843605000000011 0.323 -0.08 0.914 5.595 9.344 -11.71
0.4966122500000001 0.334 -0.094 0.909 6.336 10.397 -9.626
0.5088600840000002 0.313 -0.084 0.885 8.687 9.802 -11.084
0.516133292000001 0.297 -0.086 0.874 8.527 7.733 -14.595
0.5281808340000005 0.299 -0.08 0.874 10.847 5.756 -18.962
0.5356265000000011 0.292 -0.052 0.86 11.679 3.794 -20.183
0.5477387090000008 0.3 -0.031 0.859 8.84 2.809 -20.786
0.5549785840000006 0.296 -0.053 0.853 8.267 1.298 -21.015
0.5673251670000017 0.303 -0.054 0.873 7.168 0.962 -22.664
0.5747605420000017 0.312 -0.059 0.879 6.084 1.458 -22.061
0.586865834000001 0.308 -0.084 0.883 7.534 0.557 -22.969
0.5988184590000003 0.312 -0.112 0.884 10.031 0.824 -26.053
0.6063727090000004 0.306 -0.088 0.888 9.687 2.313 -25.29
0.6183755000000009 0.309 -0.073 0.875 5.061 4.534 -23.427
0.6258930840000012 0.287 -0.063 0.888 0.702 6.634 -22.947
0.6379189170000004 0.268 -0.075 0.905 -2.443 7.008 -21.351
0.6451932920000001 0.269 -0.079 0.898 -4.427 8.015 -21.176
