Time AX AY AZ GX GY GZ
0.012694292000006158 -0.678 -0.242 0.68 1.015 -0.725 -2.344
0.01967054200000007 -0.692 -0.21 0.67 1.939 -1.115 -3.046
0.03203754199999764 -0.691 -0.197 0.676 3.061 0.42 -3.023
0.038989749999998935 -0.688 -0.215 0.675 3.71 0.321 -3.855
0.051169624999999996 -0.692 -0.219 0.678 5.031 -1.389 -4.298
0.06352820900001177 -0.699 -0.21 0.65 6.695 -2.702 -3.069
0.07032162500000538 -0.693 -0.197 0.636 6.275 -1.389 -2.153
0.08259245900001133 -0.709 -0.201 0.622 4.374 2.481 -2.168
0.08967208400000004 -0.72 -0.211 0.637 1.29 4.58 -3.069
0.10190545900000814 -0.708 -0.234 0.659 0.931 4.412 -4.237
0.10891341700001078 -0.714 -0.256 0.647 1.29 4.008 -5.618
0.12142004200001111 -0.734 -0.254 0.642 0.931 4.863 -4.473
0.13370037500000365 -0.738 -0.235 0.65 0.573 4.626 -1.489
0.14058516700001178 -0.721 -0.22 0.652 1.252 2.504 0.481
0.15306029200000637 -0.701 -0.215 0.639 1.237 1.305 0.305
0.1600435840000074 -0.681 -0.211 0.635 2.275 0.855 0.046
0.17261458400000151 -0.695 -0.2 0.63 2.725 1.687 0.916
0.1795491250000083 -0.723 -0.229 0.618 2.786 3.824 1.611
0.19212766700000827 -0.739 -0.249 0.645 1.672 2.038 0.473
0.19914091700000824 -0.743 -0.237 0.68 1.16 -5.931 -0.046
0.21137762500001145 -0.7 -0.223 0.677 2.038 -14.542 0.183
0.22360570900001164 -0.653 -0.207 0.629 1.137 -16.29 2.832
0.2303873750000065 -0.633 -0.181 0.601 -0.282 -10.084 -1.641
0.2427344170000083 -0.666 -0.178 0.595 -2.916 0.313 -1.893
0.24942020900000728 -0.723 -0.2 0.642 -4.397 5.534 -3.13
0.261699458999999 -0.777 -0.223 0.704 -3.061 1.16 -1.985
0.27401437500000725 -0.78 -0.236 0.74 -0.305 -11.893 -0.206
0.28085458400001073 -0.79 -0.242 0.736 3.992 -23.069 2.84
0.29293825000000595 -0.773 -0.254 0.697 7.26 -27.046 5.916
0.3000449170000081 -0.733 -0.243 0.686 8.664 -29.771 7.115
0.31233158400000605 -0.651 -0.204 0.691 10.084 -32.947 5.695
0.31909058400000845 -0.609 -0.158 0.643 8.824 -29.519 3.244
0.33126854200000366 -0.627 -0.156 0.595 3.817 -14.847 0.725
0.34340841700000624 -0.666 -0.178 0.612 -1.305 -0.908 -0.153
0.3506107919999977 -0.728 -0.21 0.667 -4.321 3.099 0.313
0.3627610000000061 -0.784 -0.236 0.732 -3.321 -4.695 2.977
0.36979670899999917 -0.807 -0.236 0.774 0.206 -21.267 6.855
0.38214008399999955 -0.796 -0.223 0.779 5.229 -39.702 9.611
0.3939057090000091 -0.788 -0.223 0.788 11.298 -55.595 12.374
0.4007047919999991 -0.795 -0.234 0.782 16.672 -69.893 14.656
0.41267120900000975 -0.802 -0.231 0.792 22.878 -87.221 18.45
0.41943658400001027 -0.79 -0.212 0.79 29.29 -106.328 24.092
0.43136504200001013 -0.758 -0.193 0.765 33.679 -123.313 29.321
0.4433421250000009 -0.717 -0.182 0.738 35.45 -132.321 32.588
0.45014045900001065 -0.668 -0.184 0.726 34.947 -135.679 33.74
0.46217312500000673 -0.616 -0.175 0.736 33.366 -137.557 33.336
0.4679397090000066 -0.592 -0.171 0.739 31.679 -137.557 33.366
0.4806087919999982 -0.538 -0.153 0.757 30.0 -134.748 33.435
0.492703750000004 -0.472 -0.151 0.773 28.282 -129.969 33.061
0.4993646670000089 -0.41 -0.127 0.771 26.359 -122.389 30.206
0.5113927920000094 -0.377 -0.106 0.766 22.542 -109.511 26.305
0.5233919590000085 -0.365 -0.092 0.768 18.313 -94.038 22.237
0.5301280420000012 -0.369 -0.098 0.788 14.679 -79.878 18.756
0.5424252920000043 -0.403 -0.107 0.828 11.519 -69.466 15.321
0.549138499999998 -0.426 -0.107 0.868 9.405 -65.656 13.069
0.5613961669999981 -0.452 -0.104 0.904 9.351 -66.885 13.221
0.5733760420000067 -0.445 -0.106 0.919 9.473 -69.565 14.908
0.5803752090000103 -0.407 -0.104 0.915 9.832 -70.901 15.71
0.5924717919999978 -0.438 -0.082 0.891 8.802 -69.542 17.382
0.5994230840000085 -0.498 -0.087 0.927 9.802 -67.336 20.038
0.6113774169999999 -0.471 -0.129 0.998 14.389 -80.901 19.931
0.6234219170000017 -0.441 -0.118 1.011 21.176 -103.412 19.458
0.6301805000000087 -0.382 -0.088 0.941 24.573 -119.58 19.534
0.6421882090000111 -0.292 -0.049 0.866 22.695 -120.939 18.771
0.648021374999999 -0.22 -0.02 0.814 17.58 -108.359 17.282
0.661076958999999 -0.18 -0.011 0.789 10.931 -89.229 15.87
