Time AX AY AZ GX GY GZ
0.012840957999998182 0.259 -0.046 0.918 -0.359 3.237 -3.863
0.018625500000013062 0.241 -0.035 0.94 -1.664 5.351 -5.046
0.032257375000000366 0.184 -0.029 0.981 -0.214 3.718 -3.519
0.04447712499998602 0.184 -0.05 1.019 4.832 -1.634 -3.069
0.05155662499998925 0.185 -0.037 0.994 6.191 -3.863 -4.328
0.0637993750000021 0.179 -0.02 0.956 4.603 -1.069 -4.756
0.07115479199998731 0.188 -0.018 0.952 1.58 2.328 -2.702
0.08327695799999901 0.213 -0.013 0.908 -2.145 6.328 -1.656
0.09040329199999064 0.185 -0.021 0.906 -5.023 14.443 -0.244
0.10278487499999756 0.153 -0.051 0.993 -3.603 13.168 0.977
0.11495058299999528 0.142 -0.073 1.046 2.038 4.305 1.221
0.1222573329999932 0.156 -0.068 1.067 7.382 -3.893 -0.031
0.13429229199999781 0.201 -0.035 1.024 10.122 -7.237 -0.802
0.14159208300000614 0.252 -0.007 0.957 8.473 0.954 -2.107
0.15395537500000955 0.233 -0.018 0.946 5.473 15.237 -1.672
0.16122087499999793 0.204 -0.032 1.011 3.481 20.015 1.947
0.17345324999999434 0.179 -0.003 0.999 1.786 16.55 3.053
0.1807288329999892 0.227 0.008 0.982 -1.878 16.565 3.351
0.19295591700000614 0.223 0.002 0.967 -5.901 23.496 2.786
0.2049900419999915 0.193 -0.014 1.057 -5.305 26.389 2.863
0.21220504199999368 0.202 -0.033 1.104 0.13 20.191 2.252
0.22459679199999982 0.263 -0.018 1.029 5.427 19.099 0.221
0.23179275000001098 0.308 0.017 0.946 7.794 27.664 -0.26
0.24407008299999688 0.36 0.045 0.88 4.397 41.84 -1.611
0.2513772499999902 0.369 0.051 0.852 -3.237 58.985 -7.557
0.26343691700000704 0.303 0.024 0.887 -11.015 74.954 -10.221
0.2705306670000027 0.248 0.003 0.945 -16.55 83.534 -14.962
0.28224679199999514 0.102 -0.036 1.019 -18.328 84.244 -14.756
0.29440450000001306 0.077 -0.068 1.092 -14.496 75.069 -14.206
0.30130024999999705 0.143 -0.062 1.03 -8.725 70.466 -14.282
0.31341937499999517 0.225 -0.04 0.887 -6.115 88.031 -13.824
0.3194197079999981 0.278 -0.012 0.789 -10.183 122.679 -12.969
0.3323111249999897 0.222 0.01 0.783 -20.756 155.191 -16.634
0.3440648749999866 0.129 0.014 0.824 -31.847 175.237 -20.412
0.3508997079999858 -0.015 -0.027 0.868 -40.397 189.374 -20.794
0.36272995799998853 -0.164 -0.101 1.008 -40.863 190.84 -19.458
0.37457224999999994 -0.424 -0.139 1.165 -32.779 175.405 -10.534
0.3813971669999887 -0.458 -0.167 1.341 -16.206 134.076 -3.481
0.3934002919999955 -0.366 -0.163 1.314 5.13 79.702 -2.137
0.40072162499998853 -0.204 -0.092 1.091 19.351 46.458 -0.824
0.41247300000000564 -0.044 -0.02 0.839 17.702 55.969 -3.237
0.4247496669999862 0.035 0.014 0.739 5.687 85.305 -8.29
0.43185458299998913 -0.012 0.023 0.732 -11.176 117.985 -12.496
0.44343637500000455 -0.135 -0.004 0.81 -25.412 140.878 -15.435
0.4504774170000019 -0.278 -0.052 0.917 -32.435 151.626 -14.061
0.4622994579999897 -0.409 -0.084 1.004 -32.496 150.137 -8.985
0.474090082999993 -0.466 -0.121 1.074 -25.939 139.58 -1.916
0.48114758299999494 -0.458 -0.163 1.125 -14.023 122.649 0.832
0.4928925000000106 -0.466 -0.12 1.102 -2.863 100.687 2.427
0.49875866700000415 -0.401 -0.096 1.046 5.092 83.74 3.916
0.5120368750000068 -0.232 -0.085 0.962 9.115 69.779 -3.206
0.5243187080000098 -0.111 0.019 0.741 0.595 77.878 -14.504
0.5313836670000001 -0.05 0.055 0.531 -19.893 120.748 -20.725
0.5431588330000068 -0.196 0.018 0.458 -42.435 187.191 -19.0
0.5549982919999934 -0.472 -0.092 0.667 -55.008 237.275 -14.023
0.5618624999999895 -0.75 -0.176 1.004 -49.443 232.198 -7.779
0.5736164999999858 -0.806 -0.218 1.202 -30.634 182.473 -4.13
0.5806641249999984 -0.748 -0.171 1.213 -5.939 117.878 -3.206
0.5927519999999902 -0.584 -0.129 0.982 9.557 77.023 -1.618
0.604759874999985 -0.465 -0.085 0.758 11.931 71.046 -5.084
0.6117707500000051 -0.366 -0.054 0.617 4.359 86.237 -11.427
0.6235912919999862 -0.38 -0.032 0.527 -7.58 113.023 -15.382
0.630814958000002 -0.526 -0.059 0.502 -21.557 148.145 -14.878
0.6422297500000127 -0.725 -0.121 0.611 -30.176 172.809 -10.534
0.6540525419999881 -0.897 -0.18 0.805 -27.015 167.321 -3.878
0.6611415419999958 -0.96 -0.222 0.942 -15.29 132.718 3.397
0.6732795000000067 -0.896 -0.183 0.955 -2.733 88.718 9.115
0.6804589580000027 -0.74 -0.156 0.84 5.115 58.443 8.374
0.6927029169999912 -0.567 -0.114 0.679 6.168 54.321 4.672
0.7048259169999938 -0.496 -0.077 0.537 1.076 74.206 0.458
0.7118569170000058 -0.466 -0.065 0.507 -7.45 98.618 -8.626
0.7236350420000122 -0.556 -0.021 0.469 -17.031 122.237 -10.588
0.7304291250000006 -0.689 -0.097 0.495 -25.939 142.954 -11.511
0.74226462499999 -0.837 -0.138 0.597 -29.802 147.481 -10.466
0.7540501670000026 -0.928 -0.155 0.737 -25.618 127.519 -5.664
0.761117167000009 -0.932 -0.185 0.774 -15.847 98.588 -1.504
0.7731472499999938 -0.873 -0.2 0.722 -6.718 74.794 1.412
0.7805329580000091 -0.75 -0.147 0.637 -0.298 65.237 4.305
0.7924769169999877 -0.609 -0.151 0.504 1.618 79.107 3.557
0.8043231670000068 -0.55 -0.117 0.404 -2.466 107.985 -2.863
0.8114002920000019 -0.597 -0.051 0.324 -13.817 143.641 -9.084
0.8232769999999903 -0.71 -0.077 0.353 -25.863 170.336 -14.29
0.8347473750000063 -0.8 -0.11 0.448 -32.366 177.176 -17.756
0.841855833000011 -0.889 -0.125 0.494 -32.802 170.061 -16.985
0.853387749999996 -0.938 -0.161 0.512 -29.618 161.145 -14.26
0.8605001249999873 -0.984 -0.202 0.496 -23.489 153.863 -8.305
0.8722963330000084 -0.968 -0.211 0.5 -13.473 142.687 -7.252
0.8840646669999899 -0.912 -0.159 0.41 -7.542 129.214 -5.099
0.8911366250000015 -0.799 -0.137 0.26 -8.863 128.733 -7.313
0.9030184169999984 -0.777 -0.139 0.121 -17.061 144.756 -19.153
0.9148069169999928 -0.825 -0.117 0.131 -26.191 164.802 -21.511
0.9215764580000041 -0.933 -0.164 0.205 -29.389 175.198 -19.237
0.9334300829999904 -1.022 -0.215 0.293 -25.771 164.679 -18.656
0.9449562920000005 -1.0 -0.197 0.32 -18.771 135.58 -17.29
0.9520180419999917 -0.906 -0.188 0.182 -14.847 114.237 -17.695
0.9636125419999928 -0.856 -0.182 0.018 -18.145 121.626 -18.29
0.9705294169999945 -0.849 -0.185 -0.01 -25.473 144.985 -18.397
0.9824542499999893 -0.907 -0.236 0.041 -28.26 165.817 -19.107
0.9940845829999887 -0.984 -0.249 0.113 -25.496 166.74 -19.786
1.0009359169999925 -1.018 -0.182 0.133 -20.687 150.939 -17.664
1.0127539169999977 -1.059 -0.189 0.081 -16.405 135.122 -13.855
1.0243172499999957 -1.048 -0.226 0.06 -13.061 120.298 -11.672
1.0313663750000046 -1.025 -0.191 0.031 -11.855 105.695 -9.237
1.043204916999997 -0.942 -0.19 -0.028 -12.87 95.916 -9.87
1.0547469169999886 -0.883 -0.225 -0.11 -15.229 102.397 -11.908
1.0615927080000063 -0.9 -0.265 -0.172 -17.71 119.695 -15.069
1.0734479580000027 -0.957 -0.219 -0.15 -20.137 130.618 -16.725
1.084978250000006 -0.94 -0.149 -0.126 -20.145 127.359 -16.756
1.0918145420000087 -0.975 -0.189 -0.16 -19.733 127.244 -16.885
1.1034329579999849 -1.017 -0.187 -0.108 -18.748 122.901 -14.847
1.1091945830000043 -1.055 -0.192 -0.065 -14.206 109.573 -11.221
1.122110499999991 -1.044 -0.206 -0.09 -9.023 92.076 -6.718
1.1339344579999988 -0.938 -0.214 -0.166 -7.847 82.87 -6.427
1.1406633750000026 -0.786 -0.23 -0.281 -9.672 91.351 -10.71
1.152384000000012 -0.804 -0.278 -0.413 -13.504 121.496 -17.382
1.1642622500000073 -0.945 -0.273 -0.439 -21.137 155.931 -18.427
1.1707647499999894 -1.055 -0.217 -0.298 -25.115 162.74 -12.656
1.1827593749999892 -1.05 -0.24 -0.206 -20.267 144.702 -10.267
1.194446499999998 -1.031 -0.251 -0.248 -14.145 125.382 -8.336
1.2012052080000046 -0.959 -0.241 -0.31 -10.031 117.336 -6.359
1.2131921669999883 -0.936 -0.221 -0.36 -8.939 117.588 -3.321
1.2249433750000094 -0.889 -0.221 -0.418 -10.779 116.58 -1.45
1.2316982920000044 -0.851 -0.2 -0.458 -13.542 119.824 0.107
1.2438125829999933 -0.833 -0.302 -0.504 -13.817 130.649 -4.13
1.2502691249999884 -0.85 -0.275 -0.472 -13.695 129.664 -8.779
1.2622477079999896 -0.857 -0.19 -0.483 -13.137 118.046 -7.176
1.2740890419999857 -0.819 -0.254 -0.524 -13.87 112.313 -8.847
1.2806244170000127 -0.773 -0.275 -0.534 -15.359 112.611 -12.061
1.292558624999998 -0.742 -0.278 -0.556 -14.924 118.069 -11.893
1.3042556670000067 -0.744 -0.261 -0.582 -14.901 124.794 -8.954
1.3113857079999889 -0.757 -0.229 -0.636 -17.687 131.595 -3.931
1.3231225829999858 -0.743 -0.194 -0.653 -24.634 135.206 -0.458
1.334711083000002 -0.725 -0.19 -0.657 -30.74 136.046 0.183
1.3418247500000007 -0.732 -0.309 -0.621 -30.489 139.267 -4.084
1.3534080420000123 -0.753 -0.332 -0.484 -24.832 127.733 -12.244
1.359291667000008 -0.749 -0.224 -0.445 -12.641 98.534 -11.771
1.3723580420000019 -0.675 -0.226 -0.539 -1.046 78.42 -9.947
1.384082707999994 -0.658 -0.237 -0.676 1.473 80.511 -11.351
1.3911174579999965 -0.665 -0.181 -0.698 -0.023 93.107 -11.092
1.4030525420000117 -0.673 -0.179 -0.726 -1.985 102.756 -6.878
1.414778708 -0.699 -0.185 -0.748 -4.046 106.58 -3.824
1.4215866669999855 -0.73 -0.162 -0.786 -8.359 106.992 -0.13
1.4333572500000002 -0.721 -0.126 -0.814 -14.504 101.229 5.802
