Time,AX,AY,AZ,GX,GY,GZ,T
0.0000,0.1600,-0.0440,1.1880,-14.3820,23.7100,-41.4050,34.2200
0.0004,0.1680,-0.0300,1.2460,-15.6340,25.6180,-40.0760,34.2700
0.0009,0.1710,-0.0420,1.2760,-20.0150,29.9540,-38.5650,34.1300
0.0013,0.1230,-0.0410,1.2030,-21.8470,31.1300,-39.4500,34.3700
0.0017,0.1020,-0.0780,1.1910,-21.7710,39.1300,-42.4890,34.1800
0.0021,0.1030,-0.0890,1.1820,-24.2140,42.6560,-44.7630,34.2200
0.0026,0.1460,-0.1340,1.1700,-25.2370,57.3440,-43.2210,34.1800
0.0033,0.0410,-0.0870,1.1550,-27.6640,44.0310,-44.1530,34.2200
0.0037,0.0950,-0.1200,1.0900,-25.2670,43.9850,-43.8320,34.3200
0.0043,0.1210,-0.0960,1.1260,-26.7330,50.5040,-40.7480,34.2200
0.0047,0.0640,-0.1420,1.1400,-20.7020,36.5040,-39.6950,34.2200
0.0052,0.1590,-0.1450,1.0960,-20.5800,43.2370,-37.7400,34.1800
0.0056,0.0440,-0.1240,1.1670,-14.9160,33.4660,-36.7940,34.2700
0.0060,0.1230,-0.1210,1.1290,-13.1150,34.2750,-33.2520,34.2200
0.0064,0.0520,-0.1220,1.2170,-13.3890,33.7560,-32.8550,34.2700
0.0069,0.0520,-0.1120,1.1710,-14.9920,39.2520,-32.8700,34.3200
0.0073,0.0160,-0.1120,1.1630,-15.2670,33.8020,-35.6640,34.2700
0.0077,0.0190,-0.1270,1.1950,-20.0000,42.5800,-37.2980,34.2700
0.0080,0.0620,-0.1480,1.1920,-21.0080,41.0530,-38.6720,34.2200
0.0084,0.0220,-0.1340,1.1420,-23.4050,33.6340,-38.8850,34.1800
0.0088,0.1010,-0.1460,1.0990,-24.8090,45.1910,-39.0690,34.3200
0.0092,-0.0010,-0.1630,1.1070,-21.8020,35.0380,-40.6560,34.2200
0.0096,0.0520,-0.1560,1.1120,-21.9080,35.8930,-41.3890,34.3200
0.0100,0.0860,-0.1420,1.1810,-23.6340,42.8700,-41.1760,34.2200
0.0104,0.0130,-0.1420,1.1200,-24.5040,31.3130,-39.6950,34.2700
0.0107,0.0340,-0.1510,1.1720,-22.3050,37.0530,-38.5340,34.1800
0.0111,0.0610,-0.1360,1.2110,-24.1530,29.9390,-34.9770,34.2200
0.0120,0.0800,-0.1140,1.2230,-28.2140,37.0840,-31.4050,34.2700
0.0123,0.0060,-0.1210,1.1510,-23.8320,31.6640,-33.0380,34.3200
0.0127,0.0640,-0.1410,1.1480,-20.8400,30.0000,-33.9690,34.1800
0.0131,0.0690,-0.1460,1.2230,-21.4200,33.7100,-33.6790,34.1800
0.0135,0.0640,-0.1460,1.2310,-23.9080,33.8020,-34.1370,34.2200
0.0143,0.1030,-0.1700,1.2220,-27.9240,40.6110,-31.6640,34.1800
0.0147,0.1090,-0.2030,1.0750,-28.8400,37.6640,-27.8170,34.2200
0.0151,0.0960,-0.2240,1.0490,-28.1830,36.9470,-21.8320,34.1300
0.0155,0.0130,-0.2310,0.9980,-23.1600,27.8470,-20.3210,34.2200
0.0159,-0.0540,-0.2370,1.0310,-18.3820,23.8320,-23.4350,34.2200
0.0163,-0.1430,-0.2020,1.1080,-15.6640,21.4810,-29.0230,34.1800
0.0167,-0.0920,-0.2490,1.0570,-9.7860,21.4350,-36.5040,34.2700
0.0170,-0.0650,-0.2320,1.0720,-7.9690,20.1530,-41.8470,34.3200
0.0173,0.0050,-0.2280,1.0820,-2.0150,17.4660,-43.6490,34.1800
0.0177,0.0920,-0.2050,1.1580,-2.0610,16.8850,-39.9850,34.2200
0.0180,0.1070,-0.1830,1.1610,-4.8850,15.6030,-32.9920,34.2700
0.0183,0.0360,-0.1920,1.1320,-4.7790,11.6180,-28.2750,34.2700
0.0186,-0.0420,-0.2020,1.1140,-4.7630,9.9080,-29.6030,34.2200
0.0192,-0.0780,-0.2230,1.0980,-2.6560,7.1910,-33.4350,34.1800
0.0195,-0.0610,-0.2250,1.1150,-2.1830,6.6560,-38.1370,34.2200
0.0198,-0.0310,-0.2200,1.1250,-3.2670,9.2210,-41.9540,34.2200
0.0202,0.0190,-0.1970,1.1810,-5.4810,12.0610,-42.6560,34.1800
0.0207,0.0410,-0.1850,1.2140,-9.6030,12.9770,-39.8470,34.2200
0.0211,0.0150,-0.1750,1.1450,-10.2900,10.7940,-37.4200,34.1800
0.0214,-0.0290,-0.1990,1.1180,-9.2980,9.3740,-37.4810,34.2700
0.0217,-0.0150,-0.2130,1.0700,-7.7710,10.0920,-38.9160,34.2200
0.0220,-0.0420,-0.2110,1.0740,-5.8630,11.4050,-41.7860,34.1800
0.0224,-0.0990,-0.1930,1.1050,-4.7940,12.4120,-47.3890,34.1300
0.0227,-0.0710,-0.1890,1.1180,-4.3970,15.2520,-54.1980,34.2200
0.0230,0.0210,-0.2180,1.0920,-2.6410,17.7560,-56.4890,34.2700
0.0233,0.1250,-0.2080,1.1070,-4.0000,26.0920,-52.0000,34.2200
0.0236,0.1100,-0.2100,1.0770,-4.4120,26.9920,-46.1680,34.2700
0.0238,0.0360,-0.2080,1.0810,-0.9310,19.2370,-43.8630,34.2700
0.0241,0.0120,-0.1980,1.1240,1.2210,17.7710,-44.4270,34.2200
0.0244,-0.0220,-0.2020,1.1460,-0.5650,14.0610,-46.4430,34.2700
0.0247,-0.0190,-0.1920,1.1480,-2.1530,14.0310,-48.1070,34.1300
0.0250,0.0120,-0.1900,1.1270,-1.2210,14.7480,-49.0380,34.2200
0.0252,0.0160,-0.2060,1.1830,-0.7790,22.5340,-49.0690,34.1800
0.0255,0.0560,-0.1910,1.1570,-6.6560,23.4500,-46.3360,34.2200
0.0258,-0.0090,-0.1850,1.1280,-5.1600,25.0840,-47.1150,34.2700
0.0261,-0.1810,-0.1450,1.1580,-2.1830,15.6790,-55.8170,34.2200
0.0263,-0.0460,-0.1720,1.1590,-2.9770,15.0530,-64.3820,34.2200
0.0266,0.0770,-0.1770,1.1960,0.0610,4.6560,-68.5500,34.1800
0.0269,0.2000,-0.1650,1.2310,-3.6950,20.9620,-59.8320,34.3200
0.0272,0.2030,-0.1820,1.2140,-9.8930,30.6260,-51.7400,34.1800
0.0274,0.0750,-0.1980,1.2510,-13.5730,29.6640,-50.6720,34.2700
0.0277,0.1050,-0.2020,1.1620,-13.9390,30.6260,-51.6180,34.2200
0.0280,0.1180,-0.2050,1.1810,-11.8470,30.5950,-50.8550,34.1800
0.0283,0.1690,-0.1720,1.2120,-18.1830,46.7790,-46.3210,34.2200
0.0287,0.0310,-0.1650,1.2620,-23.1450,51.6640,-44.6110,34.3200
0.0290,-0.0240,-0.1460,1.2160,-26.4270,58.5650,-49.3280,34.1800
0.0292,-0.0430,-0.1740,1.2010,-27.2370,62.5800,-55.5420,34.2200
0.0295,-0.0470,-0.2280,1.1570,-21.8780,67.3890,-62.6260,34.2700
0.0297,0.0120,-0.1990,1.1120,-19.2820,66.4120,-66.9620,34.2200
0.0300,0.0010,-0.2530,1.0940,-17.4350,59.7560,-68.3970,34.2200
0.0302,0.1160,-0.2060,1.1070,-7.4810,49.8630,-67.3280,34.1800
0.0305,0.0150,-0.2930,1.1340,-11.4810,56.3050,-65.6180,34.2200
0.0307,-0.0170,-0.2800,1.0430,-4.8700,50.3970,-66.4730,34.3200
0.0310,0.0640,-0.2630,1.1070,-5.2980,64.8090,-63.8020,34.2700
0.0312,-0.0130,-0.2850,1.1360,-6.3820,69.4960,-61.0230,34.3200
0.0314,-0.0600,-0.2580,1.1120,-5.2820,77.0080,-64.7180,34.2700
0.0316,-0.1500,-0.2830,1.0750,-2.8550,72.0310,-70.3660,34.1800
0.0317,-0.1130,-0.2750,1.0490,0.5500,66.9310,-75.9850,34.2200
0.0319,-0.0390,-0.2760,1.0200,6.8240,65.3740,-78.8550,34.1800
0.0320,-0.1190,-0.2720,1.0630,6.8700,62.4580,-82.2140,34.3200
0.0322,-0.0720,-0.2530,1.1330,8.6560,67.4500,-83.1910,34.2200
0.0323,0.0180,-0.2270,1.1570,-3.7100,74.5190,-83.8780,34.3200
0.0325,-0.0400,-0.2190,1.1340,-4.3360,73.7860,-83.2060,34.2200
0.0326,0.0300,-0.2080,1.1120,-5.9690,59.8630,-81.3280,34.1800
0.0328,0.0210,-0.2090,1.1020,-0.3660,63.5270,-76.0760,34.1300
0.0330,0.0470,-0.1490,1.1510,6.7940,55.4200,-72.7790,34.3200
0.0333,0.0630,-0.1890,1.0350,6.1530,52.7480,-57.1150,34.2700
0.0335,-0.1510,-0.2960,1.0390,5.5110,49.6180,-63.3440,34.2200
0.0338,-0.2820,-0.3070,1.0780,5.1600,44.1980,-70.3510,34.2700
0.0340,-0.3010,-0.3450,0.9880,1.4050,35.4050,-77.8470,34.2700
0.0342,-0.2980,-0.3730,0.9560,10.0460,52.1530,-92.7480,34.3200
0.0345,-0.2810,-0.3640,1.0280,18.3970,60.3210,-110.4120,34.2700
0.0347,-0.1330,-0.2840,1.0410,20.7630,55.5570,-118.1830,34.3200
0.0350,0.0180,-0.2440,1.1120,22.1530,73.5110,-111.4350,34.3200
0.0352,-0.1020,-0.1950,1.2130,23.7100,60.2750,-103.9540,34.2200
0.0354,-0.0790,-0.1860,1.2040,26.2600,40.3970,-93.6030,34.2200
0.0356,-0.0590,-0.1760,1.1770,21.9240,37.9080,-81.3590,34.2700
0.0359,-0.1750,-0.1530,1.2410,26.0920,29.3280,-76.3050,34.2200
0.0361,-0.0810,-0.1790,1.1060,33.3890,37.6180,-94.2140,34.2200
0.0363,-0.2280,-0.2800,1.0900,26.9620,58.7940,-107.2210,34.1800
0.0365,-0.3350,-0.3210,1.0410,42.3050,68.3210,-132.5500,34.2200
0.0369,-0.2370,-0.2010,1.0860,43.3280,61.2670,-145.3440,34.1800
0.0371,-0.3240,-0.2780,1.0430,40.5650,62.4580,-142.0000,34.1800
0.0374,-0.4590,-0.3480,1.1010,45.6340,51.7710,-159.7560,34.3200
0.0376,-0.4700,-0.3580,1.0600,56.9920,17.0530,-169.6030,34.1800
0.0378,-0.3570,-0.3510,1.0110,69.8630,-4.6260,-172.9310,34.1300
0.0380,-0.2350,-0.2730,1.1050,85.0080,-38.6410,-170.1680,34.2200
0.0383,0.1600,-0.1080,0.9190,59.0080,-8.3510,-159.6950,34.2200
0.0385,0.2110,-0.0620,1.1310,44.9620,8.3820,-135.4810,34.2200
0.0387,-0.0870,-0.1780,1.2360,51.1600,-38.7940,-129.6490,34.2700
0.0390,0.0730,-0.0940,1.0440,44.5950,-1.8630,-133.7100,34.2200
0.0392,0.1400,-0.0910,1.0290,46.5650,7.6490,-153.3590,34.2200
0.0394,0.0260,-0.1510,1.0310,41.6640,10.7940,-151.8170,34.2700
0.0396,-0.0990,-0.2490,0.9360,36.4890,9.6790,-153.7250,34.2200
0.0399,-0.1960,-0.1510,0.9330,24.5650,12.2440,-146.5190,34.1800
0.0401,-0.0620,-0.2350,1.0030,36.2750,22.8550,-147.0230,34.1800
0.0403,-0.1170,-0.2010,1.0770,39.1300,28.1070,-153.1150,34.2200
0.0406,-0.1190,-0.2460,1.0470,47.2980,22.2750,-153.5270,34.1800
0.0408,-0.1170,-0.2840,0.9580,45.7860,24.0760,-151.2370,34.2700
0.0410,-0.0160,-0.2320,0.9080,43.7100,22.9160,-143.1600,34.2200
0.0412,-0.0200,-0.2260,0.9410,34.4270,28.8550,-137.8170,34.2700
0.0414,0.6660,-0.0610,0.0440,-36.1980,173.3590,-171.5420,34.2200
0.0416,-0.6380,-0.3490,1.8120,63.0690,5.4660,-201.3130,34.2700
0.0418,-1.0240,-0.4680,1.1900,59.6490,-336.6560,-216.2440,34.2700
0.0420,0.5220,0.2060,1.1760,7.8930,-73.3740,-98.2140,34.2200
0.0422,0.4780,-0.1810,1.0690,-21.9540,68.5040,-74.8850,34.1800
0.0424,0.0180,-0.0980,1.1720,5.4810,71.9850,-96.6110,34.2200
0.0426,-0.4350,-0.1540,1.2670,19.2980,0.1530,-101.3890,34.2200
0.0428,0.0330,-0.1020,1.0110,15.0530,-48.9770,-107.4810,34.2700
0.0431,0.2620,-0.0940,1.0270,1.9240,35.0530,-97.0530,34.2200
0.0433,-0.0170,-0.0820,1.1860,-8.0150,89.8470,-101.9390,34.2700
0.0435,-0.2040,-0.1410,1.1860,-13.8470,97.6180,-102.8240,34.2200
0.0437,-0.2630,-0.2180,1.1560,-5.5880,67.7400,-118.6110,34.2200
0.0439,0.0080,-0.2640,1.0480,3.6640,65.8930,-135.9540,34.3200
0.0441,-0.0390,-0.3560,1.0100,18.4580,87.8930,-151.9390,34.3200
0.0443,-0.1170,-0.2980,1.0730,32.9160,99.9850,-178.6110,34.2700
0.0445,-0.0620,-0.1840,1.1300,40.6110,107.8930,-194.7480,34.1800
0.0447,-0.1630,-0.1700,1.2040,56.8090,110.8850,-195.9240,34.2200
0.0449,-0.2700,-0.1230,1.2300,59.9240,72.1530,-178.3360,34.1800
0.0452,-0.2010,-0.1130,1.2050,70.9620,33.8930,-155.1150,34.2200
0.0455,-0.2020,-0.0310,1.2080,72.1370,4.2440,-133.0080,34.1800
0.0457,0.1480,0.0110,1.1520,0.5040,22.2900,-41.6640,34.6500
0.0460,0.1600,0.0140,1.1730,-0.2600,22.9770,-41.7560,34.6500
0.0462,0.1700,0.0160,1.1770,0.7020,24.3660,-42.5040,34.6000
0.0464,0.1460,0.0130,1.1710,1.0840,25.2820,-42.7180,34.6500
0.0466,0.1240,0.0070,1.1680,0.9010,21.0380,-43.1910,34.6000
0.0492,0.1130,-0.0020,1.1760,2.9310,16.7020,-43.7250,34.6000
0.0614,0.1320,-0.0020,1.1660,2.7790,17.4500,-42.7790,34.6500
0.0683,0.1640,-0.0100,1.1740,2.4890,21.5570,-42.5340,34.5100
0.0806,0.1600,-0.0180,1.1540,3.3890,24.6560,-43.6640,34.5500
0.0929,0.1300,0.0000,1.1540,3.3130,24.8700,-43.8320,34.5100
0.0998,0.1130,-0.0030,1.1530,3.3130,23.3740,-43.9390,34.6000
0.1121,0.1200,0.0010,1.1280,2.8400,21.0990,-44.4730,34.6500
0.1191,0.1180,-0.0020,1.1260,1.3280,15.1600,-44.9310,34.5500
0.1313,0.1530,-0.0070,1.1460,-1.0990,14.4430,-44.8090,34.6000
0.1380,0.1450,-0.0030,1.1840,-1.3130,16.0460,-44.5190,34.5500
0.1503,0.1330,-0.0010,1.2060,-0.1980,17.7560,-43.5420,34.6900
0.1626,0.1190,-0.0090,1.1770,-0.2140,23.6640,-41.3440,34.6000
0.1694,0.1260,-0.0240,1.1850,0.8550,25.4660,-40.0920,34.6500
0.1818,0.1320,-0.0230,1.1660,1.1300,24.5190,-38.8240,34.6000
0.1887,0.1540,-0.0210,1.1910,1.0690,23.7710,-38.5340,34.6500
0.2009,0.1560,-0.0170,1.1860,0.9310,24.5650,-38.1980,34.5500
0.2132,0.1360,-0.0120,1.1790,1.9540,23.4810,-38.5040,34.6900
0.2199,0.1600,-0.0100,1.1770,2.2140,21.6180,-38.4890,34.4600
0.2322,0.1840,-0.0020,1.1740,2.5190,23.3890,-39.1910,34.6000
0.2393,0.1600,0.0050,1.1580,2.3820,26.9310,-39.4200,34.6000
0.2516,0.1560,0.0120,1.1460,1.2210,26.5650,-38.8090,34.6500
0.2587,0.1540,0.0230,1.1480,0.4730,27.5880,-38.3360,34.6000
0.2717,0.1300,0.0270,1.1450,0.3210,28.5500,-37.9390,34.6000
0.2831,0.1170,0.0340,1.1660,0.6260,24.9620,-37.8930,34.6000
0.2903,0.1410,0.0320,1.1450,0.9310,28.7630,-37.5880,34.5100
0.3024,0.1030,0.0340,1.1350,0.8550,31.7860,-36.6720,34.5500
0.3096,0.1030,0.0360,1.1490,-0.0610,26.0460,-37.5420,34.5500
0.3219,0.1080,0.0240,1.1500,0.6410,25.8170,-37.3280,34.6900
0.3290,0.1150,0.0210,1.1460,-0.7330,26.1530,-36.4730,34.5500
0.3411,0.1380,0.0260,1.1680,-2.3360,25.4200,-36.7480,34.5100
0.3533,0.1340,0.0110,1.1620,-0.3820,26.6870,-37.3280,34.6000
0.3604,0.1490,0.0100,1.1710,-1.2980,26.9470,-37.6030,34.6500
0.3725,0.1530,0.0050,1.1900,-0.3510,27.8020,-38.8240,34.6000
0.3795,0.1560,-0.0100,1.1730,2.0150,28.3820,-40.9620,34.6000
0.3920,0.1370,-0.0060,1.1700,2.6110,28.1980,-42.3970,34.5500
0.3985,0.1210,-0.0190,1.1630,3.4050,26.4270,-44.5500,34.5100
0.4108,0.0860,-0.0160,1.1410,4.2290,24.7630,-45.6030,34.5500
0.4230,0.0550,-0.0140,1.1250,4.1680,19.4810,-45.6790,34.5500
0.4303,0.0530,-0.0170,1.1230,5.0380,14.8240,-45.3890,34.6000
0.4424,0.0730,-0.0110,1.1250,5.7710,16.5800,-43.9080,34.5500
0.4493,0.0680,-0.0140,1.1190,6.3210,19.1600,-41.9540,34.5100
0.4615,0.0550,-0.0040,1.0950,5.5880,22.9920,-38.3050,34.6900
0.4685,0.0430,-0.0040,1.0960,4.7940,22.4580,-35.8470,34.6500
0.4806,0.0610,0.0180,1.0950,3.1300,22.2600,-32.9160,34.5100
0.4930,0.1040,0.0320,1.1080,2.7630,22.7330,-32.3360,34.6900
0.5002,0.1310,0.0430,1.1270,1.7100,21.8170,-32.5340,34.6500
0.5124,0.1620,0.0440,1.1330,1.6790,20.7790,-34.7630,34.6000
0.5193,0.1670,0.0470,1.1330,2.6410,23.1150,-36.4430,34.6500
0.5314,0.1350,0.0560,1.1260,1.2210,22.1220,-37.1600,34.6000
0.5384,0.1370,0.0620,1.1160,-1.5570,20.5650,-36.7020,34.6000
0.5507,0.1430,0.0680,1.1220,-1.9690,20.3970,-36.6560,34.6500
0.5630,0.1370,0.0670,1.1020,-2.3660,21.1600,-36.9310,34.6900
0.5702,0.1400,0.0560,1.1200,-3.9080,21.9390,-36.9160,34.6900
0.5823,0.1350,0.0550,1.1240,-4.3970,27.8930,-34.7630,34.5500
0.5893,0.1080,0.0530,1.1160,-3.5110,27.0990,-32.3970,34.6000
0.6016,0.1150,0.0560,1.0780,-7.2670,29.7560,-31.0530,34.6000
0.6085,0.1150,0.0690,1.0590,-8.2290,29.0690,-30.0610,34.5500
0.6215,0.1330,0.1890,1.1660,-17.8470,36.5950,-28.2600,34.6000
0.6328,0.1040,0.1000,1.0340,-15.2820,28.3510,-31.0080,34.5500
0.6394,0.1170,0.1030,1.0700,-16.7330,25.3130,-33.9690,34.5500
