Time AX AY AZ GX GY GZ
0.013861207999980252 0.046 0.031 0.972 -3.26 0.618 0.313
0.026083332999974118 0.048 0.034 0.98 -3.489 1.74 -0.13
0.033104999999977736 0.061 0.043 0.984 -2.611 1.489 -0.794
0.04558337499997833 0.057 0.038 0.996 -2.756 1.725 -0.282
0.05312599999996337 0.047 0.039 0.973 -2.519 0.634 -0.275
0.06534254199999623 0.042 0.021 0.986 -2.015 -0.405 -0.702
0.07262737499996774 0.043 0.021 0.983 -1.71 0.046 -0.031
0.08508070799996403 0.045 0.031 0.966 -1.725 0.389 0.405
0.09235324999997374 0.043 0.035 0.967 -2.359 -0.359 0.763
0.10461595799995393 0.051 0.035 0.97 -3.038 -0.58 1.145
0.11217483299998321 0.066 0.047 0.971 -3.855 -0.71 0.817
0.12440799999995988 0.081 0.043 1.006 -3.672 0.534 0.527
0.1319047499999897 0.064 0.04 0.984 -1.649 1.939 -1.534
0.144179041999962 0.056 0.031 0.984 -0.664 1.305 -2.634
0.15173920799998086 0.042 0.024 0.984 0.206 0.473 -2.282
0.1641182919999551 0.037 0.016 0.97 -0.023 0.527 -0.427
0.17144170799997482 0.034 0.007 0.958 1.733 0.153 -0.481
0.18365320799995288 0.024 0.017 0.948 1.725 -0.237 -0.359
0.1959762079999905 0.039 0.028 0.969 0.511 -1.565 -0.405
0.20325716700000385 0.039 0.041 0.967 -0.42 -0.771 -0.702
0.21555895799997415 0.041 0.04 0.986 -0.183 -0.611 -1.153
0.223014457999966 0.049 0.031 0.989 0.168 0.069 -0.672
0.23527674999996862 0.031 0.02 0.999 -1.168 0.718 1.618
0.2427983329999961 0.039 0.027 0.985 -1.374 0.366 2.351
0.25511062499998616 0.034 0.024 0.978 -1.466 -0.015 3.328
0.26258058299998766 0.048 0.031 0.978 -1.611 0.565 1.527
0.27484266699997306 0.052 0.022 0.979 -1.443 -0.924 0.282
0.2823605829999565 0.062 0.018 1.006 -1.496 0.275 -0.748
0.2946148749999793 0.057 0.015 1.003 -1.42 -0.229 -1.42
0.30195974999998043 0.051 0.006 1.009 -0.153 -0.305 -1.595
0.31408308299995724 0.031 -0.009 1.01 0.206 -0.466 -0.313
0.3210778330000039 0.035 -0.004 1.009 -0.252 -0.359 2.244
0.33374904199996536 0.048 0.012 1.002 -1.267 -0.221 4.427
0.34598270799995134 0.057 0.028 0.971 -1.725 -0.878 4.0
0.3535219999999981 0.079 0.04 0.981 -2.351 -0.863 2.458
0.36575654199998553 0.082 0.053 0.979 -2.214 0.275 0.71
0.37336129199997004 0.087 0.051 0.992 -1.519 1.351 -1.626
0.3856133329999807 0.077 0.051 0.99 -1.725 1.504 -2.145
0.3928148749999991 0.068 0.038 0.983 -2.954 1.397 -1.099
0.40504970799997864 0.063 0.031 0.984 -2.618 2.076 -1.145
0.4125711669999532 0.059 0.031 0.972 -0.733 2.0 -0.916
0.42481374999999844 0.062 0.04 0.98 -1.366 2.885 0.649
0.4323739170000067 0.058 0.022 0.975 -0.672 2.695 0.87
0.44486716699998397 0.055 0.018 0.976 0.924 3.282 0.855
0.45234054200000173 0.055 0.03 0.951 0.557 2.26 0.473
0.4648909169999911 0.041 0.033 0.938 -0.794 1.275 0.023
0.4721005419999642 0.032 0.014 0.936 -0.504 0.847 -1.275
