Time,AX,AY,AZ,GX,GY,GZ,T
0.0000,0.1530,-0.0570,1.1620,3.4200,20.4890,-43.7400,35.1700
0.0004,0.1540,-0.0720,1.1600,5.3890,19.6180,-46.8850,35.0700
0.0007,0.1550,-0.0630,1.1560,1.4810,19.3130,-45.3740,35.1200
0.0010,0.1480,-0.0720,1.1630,-2.0460,18.5340,-42.7480,35.0700
0.0014,0.1430,-0.0490,1.1470,0.1980,18.6720,-43.9690,35.0700
0.0017,0.1730,-0.0530,1.1600,2.4270,19.6790,-44.5190,35.1200
0.0020,0.1900,-0.0680,1.1790,-0.2750,20.7630,-43.4810,35.1700
0.0023,0.2060,-0.0720,1.1710,-2.9470,20.9920,-41.9080,35.1700
0.0026,0.2010,-0.0820,1.1950,-0.0150,23.6340,-42.2140,35.1200
0.0030,0.1970,-0.0730,1.1850,-5.1450,22.0920,-41.9540,35.1700
0.0033,0.1990,-0.0780,1.1860,-5.7560,23.4660,-41.5420,35.0700
0.0037,0.2040,-0.0800,1.1800,-0.0150,23.0990,-44.9470,35.1200
0.0042,0.2160,-0.1000,1.1960,0.4430,22.6870,-46.1370,35.1700
0.0047,0.2310,-0.0970,1.2000,-1.4350,22.7330,-44.5040,35.0700
0.0051,0.2360,-0.0840,1.1960,-1.3280,24.7330,-44.7480,35.1200
0.0055,0.2360,-0.0730,1.1850,-0.5950,24.6260,-43.8470,35.1700
0.0060,0.2270,-0.0660,1.1940,-3.5420,25.8930,-44.8090,35.1700
0.0064,0.2190,-0.0350,1.1770,-5.1600,26.5340,-45.7100,35.2100
0.0068,0.2070,-0.0260,1.1830,-2.4430,27.4200,-47.8170,35.0700
0.0086,0.2030,-0.0280,1.1660,-3.1450,28.3970,-48.6870,35.2100
0.0090,0.2010,-0.0380,1.1690,-5.7400,29.2210,-48.3510,35.2100
0.0094,0.1960,-0.0490,1.1560,-5.9390,29.0990,-47.8320,35.1700
0.0097,0.1830,-0.0770,1.1500,-8.7790,30.0760,-47.1600,35.1200
0.0100,0.1750,-0.0960,1.1430,-11.1150,27.4050,-46.5500,35.0200
0.0103,0.1640,-0.1010,1.1540,-7.9390,29.3130,-48.6720,35.2600
0.0107,0.1450,-0.0890,1.1480,-8.4430,27.1150,-49.3440,35.1200
0.0110,0.1460,-0.1020,1.1370,-6.6410,24.7630,-50.4430,35.2100
0.0114,0.1390,-0.1180,1.1350,-5.8320,22.3360,-49.6950,35.0700
0.0118,0.1640,-0.1310,1.1530,-8.0760,21.5730,-48.0150,35.1200
0.0121,0.1610,-0.1270,1.1580,-9.4350,21.1300,-46.9470,35.2100
0.0124,0.1660,-0.1040,1.1620,-10.1070,20.1830,-46.0000,35.1700
0.0128,0.1600,-0.0610,1.1550,-9.2210,19.8020,-46.0310,35.1200
0.0131,0.1580,-0.0430,1.1320,-9.2820,18.8090,-48.1220,35.2100
