Time AX AY AZ GX GY GZ
0.014493915999992169 0.032 -0.026 1.018 -1.664 1.985 1.084
0.02679945799991401 0.04 -0.003 1.014 -3.008 2.466 2.588
0.03425737499992465 0.041 -0.004 1.014 -1.992 2.115 1.252
0.046492999999941276 0.051 -0.008 1.006 0.969 2.092 -0.908
0.054151665999938814 0.062 0.021 0.988 -0.328 2.153 -1.695
0.06633962499995505 0.05 0.025 0.976 -2.359 1.672 -2.328
0.07382654099990305 0.043 0.008 0.972 0.489 1.351 -4.756
0.08606854099991779 0.041 0.016 0.984 -1.328 2.221 -4.458
0.09334820799995214 0.031 0.002 0.978 -2.366 3.626 -3.366
0.10559941599990452 0.014 -0.007 0.963 -4.229 3.962 -1.252
0.11288945799992689 -0.01 0.004 0.935 -5.229 2.237 -0.183
0.1252034999999978 -0.017 0.009 0.925 -3.939 -0.13 -0.397
0.13241433299992877 0.006 0.015 0.938 -4.366 -2.099 -0.893
0.14445420799995645 0.029 0.022 0.964 -5.466 -2.542 -1.832
0.15672999999992498 0.027 0.006 0.982 -4.382 -1.603 -2.198
0.1642709579999746 0.011 -0.012 0.983 -5.733 -0.954 0.16
0.1761804159999656 -0.003 -0.018 0.961 -4.435 -1.405 1.679
0.18334299999992254 -0.007 -0.011 0.95 -1.366 -2.45 1.695
0.19558291599992117 -0.002 -0.006 0.951 -1.786 -3.565 2.092
0.20312079099994662 0.018 -0.018 0.982 -4.435 -3.565 2.397
0.2153980829999682 0.023 0.022 0.954 -5.756 -3.794 2.542
0.22263441600000533 0.027 0.021 0.961 -4.176 -4.565 1.664
0.23496058299997458 0.029 -0.002 0.982 -6.153 -5.122 0.695
0.24693408299992825 0.033 -0.052 1.008 -3.687 -8.878 -6.015
0.2542249579998952 0.072 0.069 1.02 -10.977 -6.992 -0.855
0.2664940409999872 0.074 0.003 1.015 -5.885 -4.435 -4.511
0.27383399999996527 0.073 0.001 1.02 -6.87 -1.191 -3.015
0.28605320799999845 0.056 -0.017 0.999 -7.718 0.802 -1.176
0.2933128749999696 0.031 -0.03 1.004 -7.58 0.511 -3.542
0.30558841599997777 0.031 0.008 0.991 -7.893 1.244 -2.618
0.31311120799989567 0.028 -0.019 0.987 -3.55 1.168 -4.763
0.32511012499992376 0.032 -0.015 0.993 -3.229 1.214 -4.267
0.3326964579999867 0.028 -0.021 0.987 -2.641 0.87 -3.527
0.34464745799994034 0.021 -0.029 0.981 -0.443 1.58 -2.183
0.3569311659999812 0.013 -0.019 0.97 -0.969 0.573 -0.931
0.36421658299991577 0.013 -0.012 0.953 0.855 -1.099 -0.489
0.3767275829999335 0.032 0.006 0.977 1.168 -1.489 0.359
0.3840648749999218 0.053 -0.003 0.983 -0.466 -1.229 0.344
0.3962989159999779 0.049 0.002 0.996 -0.252 -0.557 0.183
0.40379891599991424 0.05 0.01 0.969 -0.786 0.198 -0.664
0.4160471249999773 0.043 0.002 0.989 -1.71 0.58 -0.786
0.4233022500000061 0.039 0.013 0.976 -4.405 0.794 -0.176
0.43557258299995283 0.032 -0.0 0.983 -2.168 1.092 -2.473
0.4428862909999225 0.026 -0.009 0.979 -1.855 0.916 -2.557
0.4551291249999849 0.01 -0.029 0.994 -1.695 -0.153 -3.244
0.46247983299997486 0.009 -0.039 1.0 -2.695 -0.595 -1.458
0.4744544579999683 -0.009 -0.047 0.992 -1.214 -1.985 -0.557
0.4865714579999576 -0.012 -0.061 1.003 -0.504 -2.565 2.237
0.49379849999991166 0.009 -0.043 1.016 -4.206 -3.26 5.252
0.5060560829999758 0.033 -0.025 1.007 -3.435 -2.954 5.977
0.5133068330000015 0.037 -0.022 0.994 -2.305 -2.985 3.878
0.5256485409998959 0.037 -0.014 1.006 -2.183 -3.137 2.458
0.5331145409999181 0.048 0.001 0.993 -0.664 -2.069 0.511
0.5451382909999438 0.061 0.013 1.001 -1.443 -0.351 -0.855
0.5526329580000038 0.046 0.018 0.985 -3.092 1.519 -2.435
0.564834082999937 0.022 -0.011 0.985 -2.053 2.221 -3.252
0.5770061249999117 0.006 -0.044 0.983 -4.771 2.336 -1.244
0.5844902079999201 -0.005 -0.054 0.989 -3.802 2.214 0.763
0.5967551249999588 0.003 -0.054 1.008 -5.817 4.084 5.076
0.6041100829999095 -0.002 -0.033 0.997 -5.328 4.74 7.763
0.6162400409999691 0.014 0.017 0.982 -2.252 4.42 5.427
0.6237606659999528 0.009 0.016 0.968 -3.275 3.168 3.397
0.6362986249999949 0.02 0.011 0.983 -2.153 1.802 1.336
0.6436704579999741 0.041 0.034 0.995 -4.924 2.351 -1.695
0.6559022079999295 0.044 0.021 1.011 -4.16 3.985 -4.74
0.6633413329999485 0.031 -0.019 1.029 -7.985 6.565 -4.481
0.6754618329999857 -0.002 -0.044 1.001 -9.412 8.855 -1.901
0.6826817909999363 -0.053 -0.063 0.971 -7.153 8.695 1.244
0.6949327079998966 -0.062 -0.069 0.969 -7.153 6.656 4.702
0.7007954999999129 -0.039 -0.052 0.981 -8.214 4.802 6.824
0.7144920409999713 -0.014 -0.026 0.98 -7.252 4.382 6.069
0.7264851249999538 -0.057 -0.147 1.002 -2.573 -0.733 -3.794
0.7338034160000007 -0.006 -0.019 0.994 -6.672 4.588 4.58
0.7460390409999036 0.003 -0.02 1.009 -4.672 3.893 1.786
0.7536054579999245 0.003 -0.015 0.988 -5.702 4.748 -0.427
0.765593499999909 -0.007 -0.025 0.995 -3.74 4.412 -1.908
0.7729081249999581 -0.021 -0.052 0.975 -3.542 4.267 0.557
0.7851841659999081 -0.036 -0.06 0.968 -1.397 4.695 4.092
0.7924402079999027 -0.046 -0.05 0.97 -3.687 4.053 8.099
0.8046976659999245 -0.028 -0.06 0.983 -3.313 3.672 9.74
0.8167131659999995 -0.01 -0.039 0.991 -5.573 3.557 10.985
0.8242455829999926 -0.009 -0.047 1.01 -3.55 3.282 9.481
0.836335624999947 -0.014 -0.055 1.012 -3.344 4.13 10.427
0.8436123329998964 -0.028 -0.044 0.995 -6.084 4.328 11.702
0.8556059579999555 -0.03 -0.044 0.983 -7.244 4.031 11.305
0.8628967500000044 -0.043 -0.046 0.975 -8.214 2.893 10.672
0.8751617079999505 -0.057 -0.053 0.957 -3.992 1.809 11.87
0.8824887079999826 -0.053 -0.066 0.961 -2.733 1.267 13.069
0.8944570829999066 -0.036 -0.073 0.977 -1.489 0.107 14.405
0.9065027909999799 0.001 -0.032 1.0 -2.344 -0.282 14.969
0.914120582999999 0.012 -0.036 1.018 0.458 0.214 13.137
0.9262600409999777 0.011 -0.03 1.005 0.84 0.214 11.359
0.9335597079999616 0.009 -0.007 1.0 -0.763 0.252 10.634
0.9458228329999656 -0.002 -0.001 0.97 -1.115 -0.084 9.328
0.9531050829999685 -0.007 -0.018 0.967 -2.458 -1.115 8.076
0.9650937499999372 -0.019 -0.045 0.964 0.534 -1.344 7.489
0.9724295409999968 -0.016 -0.047 0.977 -1.855 -0.42 9.695
0.9845507079999152 -0.024 -0.046 0.978 -1.626 0.267 14.802
0.99674904099993 -0.03 -0.028 0.964 -4.832 0.183 18.435
1.004184124999938 -0.037 -0.032 0.964 -6.786 0.221 18.885
1.0161707080000042 -0.026 -0.025 0.955 -7.878 -1.069 19.496
1.023420582999961 -0.019 -0.036 0.969 -7.0 -2.511 17.603
1.0353163329999688 -0.013 -0.054 0.969 -5.397 -2.893 16.046
1.0423417909998989 0.009 -0.059 0.981 -2.122 -4.153 14.107
1.0544774579999512 0.008 -0.067 1.004 -1.084 -4.771 12.321
1.0668733750000001 0.004 -0.039 0.961 0.183 -5.137 11.794
1.0739627909999854 0.006 -0.047 0.966 -0.061 -5.557 12.573
1.0861551659999122 0.009 -0.065 0.957 1.733 -6.084 13.42
1.0936562079999703 0.027 -0.047 0.99 2.412 -5.794 13.924
1.1058493749999343 0.03 -0.039 0.993 2.275 -4.061 13.802
1.1131646249999676 0.051 -0.013 0.98 -1.977 -2.481 13.412
1.12537616599991 0.044 -0.026 0.985 -1.603 -0.412 12.397
1.1326987079999071 0.017 -0.045 0.98 -3.534 0.412 12.519
1.1448157909999281 0.005 -0.036 0.951 -4.321 1.168 14.397
1.156960832999971 -0.014 -0.052 0.951 -1.748 -0.13 15.771
1.1640759579998985 -0.01 -0.055 0.948 -0.046 -2.168 17.084
1.1763852079999424 0.005 -0.053 0.951 3.183 -4.55 16.977
1.1836844160000055 0.017 -0.037 0.951 4.603 -7.29 15.603
1.195825124999942 0.054 -0.027 0.982 3.863 -8.061 14.84
1.2031992499998978 0.076 -0.003 0.991 2.145 -7.191 13.176
1.215367207999975 0.078 -0.007 0.992 -0.084 -5.794 11.534
1.2226692499999672 0.074 -0.018 0.99 -3.206 -3.031 11.122
1.2347104159999844 0.049 -0.03 0.983 -5.489 -1.58 11.824
1.246734665999952 0.025 -0.067 0.976 -3.069 -0.695 13.092
1.2542329999999993 0.014 -0.1 0.973 1.046 -1.481 15.969
1.266248207999979 0.003 -0.1 0.967 2.527 -4.389 18.794
1.2738170409999157 0.043 -0.061 0.993 7.74 -7.107 17.618
1.2858374579999463 0.067 -0.042 1.007 9.786 -7.832 15.565
1.2933465410000053 0.074 -0.016 0.995 7.672 -7.511 13.115
1.3056175829999574 0.085 0.006 0.981 6.473 -6.015 11.794
1.31289179099997 0.098 -0.018 1.01 4.58 -3.397 11.763
1.3251588329999322 0.076 -0.029 1.0 2.168 0.359 12.687
1.332388165999987 0.068 -0.03 1.008 -2.214 4.038 16.748
1.3447072079999316 0.036 -0.032 0.974 -2.893 5.206 19.092
1.3569413749999057 0.012 -0.043 0.959 -1.489 3.74 20.191
1.3642024579999088 0.019 -0.045 0.949 0.053 0.863 18.427
1.3764876660000027 0.025 -0.025 0.948 0.435 -2.412 16.321
1.3837399579999783 0.054 -0.031 0.987 0.687 -3.885 14.534
1.3960228749999715 0.091 -0.006 0.997 -1.061 -3.511 13.168
1.4033297080000011 0.086 -0.009 0.989 -0.191 -3.069 10.954
1.4153547079999953 0.088 -0.028 0.988 -1.198 -2.122 10.71
1.4226522079999313 0.078 -0.065 1.004 0.176 -2.176 10.931
1.4349674159999495 0.08 -0.062 1.008 -2.656 -0.603 14.802
1.4469527909999442 0.071 -0.038 0.983 -5.153 0.893 18.427
1.454461290999916 0.048 -0.034 0.961 -8.023 0.496 20.427
1.4664913749999187 0.026 -0.027 0.944 -7.649 -1.733 19.824
1.4738044999999147 0.034 -0.041 0.948 -4.557 -3.87 16.817
1.4859281659998942 0.053 -0.025 0.944 -3.756 -4.618 13.824
1.4930949999999257 0.068 -0.035 0.979 -4.031 -4.053 13.45
1.505209415999957 0.07 -0.046 0.981 -6.405 -3.076 14.26
1.5126219579999542 0.051 -0.047 0.971 -6.359 -2.366 15.344
1.5247724159999052 0.048 -0.035 0.947 -7.84 -2.351 16.878
1.5366994159999194 0.041 -0.047 0.967 -7.351 -2.985 17.053
1.5440366249999897 0.041 -0.061 0.987 -5.87 -2.87 17.298
1.5562540409999883 0.037 -0.056 0.966 -5.344 -3.313 17.473
1.5633869159998994 0.032 -0.074 0.972 -4.107 -4.603 16.817
1.575643707999916 0.033 -0.062 0.979 -2.71 -5.511 15.733
1.5825952499999403 0.054 -0.059 0.977 -3.084 -5.603 15.588
1.5949589999999034 0.074 -0.035 0.967 -5.076 -5.382 15.023
1.6010412499999802 0.094 -0.036 0.988 -6.634 -4.351 13.939
1.614456582999992 0.094 -0.028 0.979 -8.13 -2.328 13.267
1.6264932499999532 0.074 -0.056 0.981 -5.489 -1.229 12.282
1.6338156249998974 0.066 -0.051 0.976 -6.649 -0.695 14.115
1.6461509579999074 0.071 -0.049 0.98 -5.061 -0.298 14.313
