Time,AX,AY,AZ,GX,GY,GZ,T
0.0000,-0.0400,-0.1050,1.1880,4.9160,3.4350,-40.3660,33.9400
0.0004,-0.0430,-0.1210,1.2110,7.9850,2.5500,-36.4730,33.9400
0.0007,-0.0310,-0.1300,1.2080,7.6030,5.6490,-35.6950,33.8900
0.0010,-0.0080,-0.0940,1.2010,2.6410,9.6030,-35.5270,33.9400
0.0014,0.0060,-0.0690,1.1930,1.6640,12.7020,-36.1220,33.9400
0.0017,0.0070,-0.0400,1.1580,3.3130,13.0080,-36.6110,33.9400
0.0020,0.0200,-0.0310,1.1210,2.5340,10.6560,-39.6490,33.9400
0.0023,-0.0010,-0.0150,1.1230,-0.9010,8.1830,-43.4500,33.9900
0.0027,0.0020,-0.0010,1.1210,-0.8240,7.9850,-46.5650,33.9900
0.0030,-0.0030,-0.0110,1.1460,-0.8240,9.0380,-47.9690,33.9400
0.0034,0.0040,-0.0420,1.1520,-1.4810,8.5950,-48.6720,33.9900
0.0038,0.0040,-0.0560,1.1400,-0.8090,8.4270,-46.3660,33.8500
0.0042,0.0050,-0.0480,1.1160,-2.1980,9.2820,-44.9160,33.9400
0.0047,-0.0010,-0.0780,1.1190,-5.7710,10.2290,-43.9540,33.9900
0.0052,-0.0070,-0.0810,1.1440,-7.4810,9.2670,-45.1150,33.9400
0.0056,-0.0120,-0.0730,1.1960,-8.5340,8.2290,-40.8850,33.8900
0.0062,-0.0100,-0.0660,1.2100,-7.2520,11.4200,-38.3050,33.9900
0.0067,-0.0030,-0.0320,1.1940,-8.8700,16.2750,-35.2670,33.9400
0.0071,-0.0130,-0.0060,1.1350,-7.8930,19.8630,-35.6340,33.8900
0.0075,-0.0100,-0.0040,1.1310,-13.6640,21.4200,-40.3820,33.9400
0.0080,-0.0100,-0.0080,1.0970,-20.1370,17.4050,-45.3440,34.0400
0.0083,-0.0030,0.0120,1.0840,-25.4660,14.3820,-50.6720,33.8900
0.0087,0.0230,0.0320,1.0940,-23.8470,11.3280,-54.0460,33.9400
0.0091,0.0230,0.0080,1.1150,-11.3590,5.7400,-55.7560,33.8900
0.0094,0.0000,-0.0690,1.1570,5.3890,2.9770,-55.8630,33.9400
0.0099,0.0020,-0.1360,1.1770,2.6260,-0.7790,-55.7100,33.9400
0.0103,-0.0150,-0.1630,1.2260,4.7940,4.1220,-52.0920,33.9900
0.0106,0.0140,-0.1570,1.2100,9.6640,1.2980,-50.6560,34.0400
0.0110,-0.0110,-0.1650,1.2550,4.7630,4.6410,-48.6260,34.0400
0.0113,-0.0160,-0.1510,1.2720,0.1070,7.3890,-41.4050,33.8900
0.0117,0.0010,-0.1430,1.2530,-8.0920,13.3890,-36.8400,34.0400
0.0120,0.0270,-0.0860,1.2510,-15.5420,16.9010,-33.0380,33.8900
0.0123,0.0640,-0.0460,1.2000,-17.2820,18.4430,-31.4200,33.8900
0.0126,0.0760,-0.0300,1.1630,-12.6720,21.5270,-37.7250,33.9400
0.0130,0.0860,-0.0210,1.1850,-15.5730,19.8320,-45.8170,33.8900
0.0133,0.0630,-0.0470,1.1760,-21.9690,17.8930,-49.4200,33.9400
0.0136,0.0400,-0.0830,1.2090,-12.9010,16.8550,-51.4350,33.8500
0.0146,0.0410,-0.1310,1.2190,-11.2520,19.1450,-52.1220,33.9400
0.0152,0.0180,-0.1550,1.1950,-10.7790,19.6790,-49.1910,33.9400
0.0156,0.0030,-0.1530,1.2150,-2.8700,14.1680,-41.9540,33.8900
0.0162,0.0140,-0.1460,1.1900,0.6260,18.9160,-41.9690,33.9900
0.0166,0.0200,-0.1340,1.1840,-6.8850,17.0080,-44.9310,33.8500
0.0170,-0.0100,-0.1190,1.1840,-6.1830,19.1450,-44.6870,33.8900
0.0174,0.0120,-0.1230,1.1630,-8.6720,23.1300,-47.4660,33.8500
0.0178,0.0020,-0.1230,1.1670,-12.2900,16.3660,-47.5570,33.9400
0.0181,0.0070,-0.1190,1.1710,-14.5650,17.0230,-50.0760,33.8900
0.0184,0.0040,-0.1300,1.1680,-10.0310,15.2210,-51.3280,33.9400
0.0187,-0.0040,-0.1360,1.1990,-2.8240,15.1150,-52.1680,33.8000
0.0191,-0.0050,-0.1350,1.2110,-4.4270,15.9850,-49.9080,33.9400
0.0197,-0.0190,-0.1520,1.2790,-4.5650,12.3820,-48.7330,33.9400
0.0201,-0.0110,-0.1770,1.2390,-12.1680,17.7860,-46.0760,33.8900
0.0204,-0.0050,-0.1860,1.2190,-14.7940,20.7940,-46.1530,33.9400
