Time AX AY AZ GX GY GZ
0.020052292000059424 -0.012 0.007 0.955 0.649 2.763 5.076
0.026042041999971843 -0.014 0.01 0.949 2.435 1.45 7.252
0.040040125000018634 -0.005 0.012 0.957 -0.435 1.382 8.405
0.05244683399996575 -0.008 0.021 0.96 -0.168 0.87 7.466
0.05963650000001053 -0.002 0.036 0.975 -1.473 0.977 5.443
0.07205129199996918 0.032 0.062 0.939 -4.328 2.885 7.473
0.07957695900006456 -0.003 0.029 0.984 -4.145 0.58 -1.061
0.09162145900006635 -0.005 0.017 0.982 -5.183 0.817 -0.061
0.09910379200005082 -0.0 0.015 0.974 -3.771 0.443 -0.656
0.11144179200005055 -0.005 0.013 0.997 -1.168 1.504 0.267
0.11888362499996674 -0.005 0.011 0.994 2.084 1.863 0.84
0.13113783400001466 -0.008 0.021 0.989 0.435 2.221 -0.206
0.13842991700005314 -0.007 0.03 0.981 -0.977 3.122 1.771
0.15068941699996685 -0.015 0.015 0.968 -0.183 2.947 2.466
0.15818337500002144 -0.018 0.009 0.969 -0.313 2.473 1.756
0.17052604200000587 -0.02 0.017 0.975 -0.328 1.901 0.924
0.17795424999997067 -0.009 0.02 0.973 -0.55 0.977 1.519
0.19023824999999306 -0.005 0.012 0.97 0.603 0.0 0.924
0.20247387500000968 0.009 0.051 0.985 -1.679 -0.328 1.076
0.21003266700006407 0.002 0.011 0.996 0.824 -0.267 0.542
0.22224612499996965 0.008 0.021 0.994 -1.038 0.099 -0.16
0.2297624169999608 -0.001 0.027 1.007 -0.527 1.412 1.534
0.24184587499996724 -0.006 -0.015 0.994 2.374 2.061 -0.466
0.24931850000007216 -0.006 0.012 1.001 0.397 2.824 1.863
0.26180733399996825 0.004 -0.005 0.967 1.924 3.107 1.992
0.2693045419999862 0.003 0.002 0.977 4.214 1.313 2.473
0.28157133399997747 0.016 -0.006 0.964 5.55 0.305 3.656
0.28906241699996826 0.03 0.011 1.007 3.298 -0.672 0.076
0.30135900000004767 0.043 0.037 1.03 -0.183 0.489 -1.595
0.30886920900002224 0.057 0.056 1.022 -3.611 2.557 -3.45
0.3211700420000625 0.036 0.034 0.998 -4.618 3.847 -4.557
