Time,AX,AY,AZ,GX,GY,GZ,T
0.0000,0.1790,0.1100,1.1040,3.0230,24.1680,-37.2520,31.9700
0.0004,0.2320,0.1050,1.0890,-0.6260,27.1450,-38.5190,32.1100
0.0008,0.2290,0.1060,1.1080,-2.1980,26.1980,-41.7710,31.9700
0.0012,0.2120,0.1060,1.1220,-2.7480,26.1070,-45.7100,32.0100
0.0016,0.1810,0.1080,1.1530,-2.0000,21.3590,-48.6870,31.9700
0.0021,0.1820,0.0880,1.1570,-1.3280,24.5650,-51.2060,31.9200
0.0025,0.1250,0.0780,1.1360,-1.1300,22.1980,-51.4660,31.9700
0.0029,0.1000,0.0750,1.1340,-1.7560,19.8020,-49.6030,32.0600
0.0034,0.1260,0.0670,1.1420,-1.1760,18.6110,-46.9620,32.0100
0.0039,0.1210,0.0780,1.1250,-3.2060,18.7630,-44.1370,32.0600
0.0045,0.1420,0.0620,1.1420,-3.6790,16.6870,-42.7480,32.0600
0.0049,0.1860,0.0660,1.1570,-3.7560,20.8400,-42.6260,32.0600
0.0053,0.2000,0.0760,1.1610,-2.9310,22.2290,-44.9010,32.0100
0.0057,0.2020,0.0830,1.1150,-3.9540,24.8850,-47.8930,32.0600
0.0061,0.1790,0.0940,1.1130,-5.9240,23.2210,-49.4200,32.0100
0.0066,0.1900,0.0920,1.1230,-6.0610,17.3890,-50.7790,32.0600
0.0070,0.1920,0.0740,1.1090,-5.3440,19.2820,-51.9080,32.0100
0.0074,0.1310,0.0600,1.1260,-6.2900,15.3130,-51.6950,31.9700
0.0077,0.1230,0.0670,1.1350,-6.0150,20.8850,-50.1220,31.9700
0.0081,0.1150,0.0620,1.1330,-5.3130,23.8630,-48.1220,32.0100
0.0085,0.1350,0.0500,1.1560,-3.7250,22.7790,-46.6720,31.9700
0.0088,0.1660,0.0350,1.1860,-0.9310,26.1370,-46.0310,31.9200
0.0092,0.1280,0.0450,1.1560,0.8700,26.1530,-45.5110,32.0600
0.0096,0.1110,0.0660,1.1050,-0.9310,23.1760,-45.0230,32.1100
0.0099,0.1220,0.0800,1.1070,-2.6720,16.6870,-45.3280,31.9700
0.0103,0.1530,0.0810,1.0940,-4.0920,14.7630,-46.0610,32.0100
0.0107,0.1560,0.0690,1.1500,-3.8780,13.1910,-46.5500,31.9200
0.0114,0.1720,0.0500,1.1680,-1.1910,17.0080,-47.2210,32.0600
0.0119,0.1270,0.0440,1.1560,-2.0610,22.7330,-46.2600,32.0100
0.0122,0.1360,0.0430,1.1360,-3.5270,22.1070,-44.3360,32.0600
0.0127,0.1820,0.0490,1.1370,-4.6110,22.7330,-44.5340,32.1100
0.0130,0.1890,0.0510,1.1400,-2.9310,20.9620,-46.6870,32.0600
0.0135,0.1710,0.0400,1.1350,-3.4810,19.8470,-48.1980,32.0100
0.0139,0.1540,0.0350,1.1830,-4.0000,18.2750,-48.8550,32.0600
0.0143,0.1650,0.0280,1.2310,0.4120,17.7860,-48.0760,32.0100
0.0146,0.1430,0.0370,1.1870,1.7710,20.8240,-45.9080,31.9700
0.0150,0.1190,0.0630,1.1760,-0.3360,21.5270,-43.0380,31.9700
0.0154,0.1360,0.0700,1.1750,0.4430,23.6640,-40.9160,32.0100
0.0158,0.1300,0.0800,1.1480,2.1070,24.4270,-39.5110,32.0600
0.0163,0.1350,0.0920,1.1060,0.7180,23.6030,-37.8780,31.9700
0.0169,0.1700,0.0870,1.1250,-1.4660,24.2900,-37.8470,32.0600
0.0173,0.1680,0.0910,1.1650,-0.7480,24.7020,-38.9620,32.0100
0.0177,0.1860,0.0960,1.1430,1.1450,25.1910,-41.4810,32.0600
0.0180,0.1770,0.0970,1.1320,0.7180,26.6720,-43.3440,32.0100
0.0184,0.1620,0.0900,1.1340,-0.7020,27.4050,-45.4500,31.9700
0.0187,0.1320,0.0850,1.1360,-1.4350,24.4730,-46.0310,32.0100
0.0190,0.1320,0.0830,1.1510,-2.8400,22.3660,-45.7250,32.0600
0.0193,0.1310,0.0760,1.1890,-1.8470,22.9160,-44.7330,32.0600
0.0196,0.1110,0.0700,1.1450,-2.7330,24.0460,-43.1450,32.0100
0.0199,0.1180,0.0850,1.1380,-5.2370,24.3510,-41.1300,32.0600
0.0204,0.1150,0.0870,1.1490,-5.5880,22.1830,-39.7560,32.1100
0.0210,0.1680,0.0800,1.1880,-4.4270,20.4730,-39.0840,32.0600
0.0213,0.1980,0.0750,1.2090,-0.0150,23.7250,-40.5040,32.0100
0.0216,0.1780,0.0810,1.1680,0.0760,25.3740,-42.3360,32.1500
