Time AX AY AZ GX GY GZ
0.013935500000002321 0.109 -0.173 0.964 -0.168 -0.443 0.145
0.026271874999999056 0.12 -0.179 0.964 -2.405 -0.473 0.336
0.0333011660000011 0.109 -0.179 0.942 -1.099 -1.359 -2.901
0.04545916600000055 0.117 -0.191 0.971 1.664 -0.725 -4.702
0.05271433299999728 0.11 -0.175 0.957 -0.534 -0.702 -3.115
0.06500962500000185 0.119 -0.185 0.971 0.74 -0.084 -2.55
0.07231354099999976 0.12 -0.183 0.976 0.687 0.954 -1.244
0.08478033299999765 0.108 -0.176 0.969 -0.679 1.366 0.733
0.09201162499999782 0.109 -0.173 0.951 0.611 1.733 0.466
0.104489375 0.092 -0.179 0.95 0.252 1.359 1.954
0.11180941599999983 0.085 -0.185 0.948 0.534 0.252 2.458
0.12418850000000248 0.077 -0.173 0.945 0.656 -1.573 2.13
0.13167362499999768 0.097 -0.171 0.948 0.0 -2.611 1.55
0.1439347909999995 0.108 -0.167 0.949 1.313 -2.55 -1.435
0.1562072910000012 0.124 -0.146 0.966 0.328 -1.504 -1.863
0.16349037500000208 0.135 -0.176 0.968 -0.107 0.542 -2.756
0.1757006249999975 0.12 -0.171 0.963 0.244 1.87 -3.626
0.18322491600000035 0.114 -0.169 0.958 0.496 2.802 -1.107
0.19547745799999916 0.109 -0.178 0.974 1.198 3.634 -0.687
0.20299958300000043 0.102 -0.182 0.967 1.16 3.603 -0.863
0.21531312500000155 0.1 -0.182 0.959 2.649 2.939 -2.092
0.22261308299999882 0.11 -0.192 0.967 3.573 2.038 -4.046
0.23488204099999876 0.11 -0.177 0.968 2.908 1.107 -3.672
0.24232008300000274 0.138 -0.189 0.987 3.573 1.84 -1.962
0.2546228329999991 0.13 -0.157 0.974 -0.282 2.542 0.237
0.2621235829999975 0.15 -0.163 0.977 1.939 3.687 1.45
0.2744452499999994 0.144 -0.155 1.0 0.679 5.832 1.824
0.2818959159999963 0.112 -0.143 0.953 -2.382 4.641 0.008
0.29416687500000194 0.117 -0.158 0.981 4.481 4.519 -1.802
0.30641266599999994 0.128 -0.17 0.993 0.13 4.412 -2.931
0.3139592909999962 0.124 -0.159 0.993 -1.534 4.412 1.137
0.325960000000002 0.128 -0.161 0.995 -1.229 5.969 -0.611
