AX,AY,AZ,GX,GY,GZ
0.204,-0.361,1.202,22.916,23.443,-44.069
0.186,-0.365,1.220,25.023,19.679,-44.809
0.193,-0.358,1.195,25.198,18.260,-45.435
0.202,-0.344,1.192,24.351,18.748,-44.947
0.220,-0.327,1.180,23.198,20.290,-44.389
0.239,-0.324,1.182,23.481,23.496,-44.160
0.242,-0.327,1.197,24.351,24.916,-44.321
0.230,-0.324,1.221,26.740,25.802,-45.061
0.208,-0.318,1.207,27.847,23.145,-45.305
0.179,-0.313,1.197,27.977,21.183,-45.969
0.182,-0.307,1.194,28.389,18.962,-46.145
0.201,-0.294,1.184,28.015,16.840,-45.366
0.209,-0.293,1.184,27.870,18.252,-44.718
0.208,-0.295,1.167,26.931,19.427,-44.618
0.197,-0.282,1.171,26.221,19.137,-44.282
0.192,-0.280,1.174,26.298,19.374,-44.069
0.170,-0.277,1.186,26.947,16.244,-43.450
0.177,-0.273,1.174,28.885,13.382,-42.710
0.187,-0.265,1.143,29.580,12.092,-41.855
0.198,-0.249,1.149,28.481,12.122,-41.336
0.229,-0.254,1.155,28.817,13.015,-42.069
0.247,-0.246,1.146,30.473,14.092,-44.092
0.244,-0.241,1.142,30.672,14.374,-46.870
0.216,-0.236,1.153,32.534,16.153,-49.321
0.217,-0.224,1.131,33.748,16.916,-48.931
0.201,-0.204,1.124,34.076,17.947,-46.534
0.204,-0.190,1.110,33.053,18.664,-43.214
0.184,-0.189,1.115,30.740,17.542,-42.977
0.161,-0.174,1.113,27.214,12.664,-42.740
0.152,-0.183,1.118,25.198,8.672,-41.718
0.201,-0.202,1.127,24.382,4.107,-44.359
0.214,-0.195,1.094,25.298,3.489,-47.603
0.235,-0.182,1.076,26.794,8.802,-46.969
0.264,-0.168,1.054,29.557,15.992,-45.183
0.266,-0.160,1.035,31.962,23.618,-44.168
0.235,-0.137,1.026,31.527,26.206,-45.305
0.185,-0.122,1.025,30.511,25.221,-47.344
0.147,-0.113,1.018,27.153,21.702,-46.061
0.155,-0.112,1.032,23.427,17.366,-43.336
0.165,-0.104,1.033,19.718,13.282,-41.275
0.187,-0.123,1.024,17.137,9.183,-42.466
0.190,-0.114,1.034,16.618,7.878,-44.405
0.217,-0.114,1.055,16.695,7.473,-44.115
0.229,-0.110,1.061,17.046,8.809,-43.221
0.224,-0.111,1.073,18.038,9.000,-42.275
0.208,-0.113,1.079,17.664,9.359,-42.237
0.217,-0.112,1.083,16.473,9.641,-41.855
0.228,-0.102,1.083,13.679,10.412,-42.328
0.240,-0.083,1.081,10.863,10.748,-41.817
0.258,-0.094,1.094,9.008,14.427,-41.618
0.273,-0.093,1.130,7.916,16.450,-41.649
0.280,-0.092,1.131,6.260,19.015,-40.656
0.297,-0.088,1.149,4.916,21.389,-40.687
0.282,-0.090,1.177,5.519,20.496,-42.183
0.266,-0.110,1.202,8.298,17.603,-44.321
0.259,-0.115,1.209,11.863,14.229,-46.489
0.248,-0.117,1.202,15.916,11.992,-47.176
