AX,AY,AZ,GX,GY,GZ
-0.085,0.157,1.209,-11.809,19.023,-49.740
-0.149,0.141,1.239,-12.473,16.763,-49.366
-0.207,0.130,1.265,-12.473,13.954,-48.985
-0.264,0.117,1.303,-11.000,10.305,-49.160
-0.337,0.099,1.312,-8.702,6.893,-48.237
-0.438,0.070,1.332,-2.504,5.786,-49.252
-0.597,0.057,1.350,8.176,0.786,-48.725
-0.820,0.038,1.401,24.336,-7.748,-44.000
-1.025,0.014,1.325,41.298,-12.641,-31.611
-1.166,-0.004,1.233,52.718,-13.366,-9.534
-1.221,-0.031,1.158,57.382,-13.282,22.855
-1.175,-0.078,1.043,54.802,-5.916,62.840
-1.047,-0.090,0.884,41.351,18.420,101.985
-0.962,-0.099,0.945,28.267,31.412,136.527
-0.872,-0.071,0.867,12.672,47.260,169.840
-0.771,-0.065,0.913,-2.641,65.611,204.015
-0.617,-0.127,1.081,-10.557,70.122,228.137
-0.458,-0.198,1.119,-13.763,65.160,238.802
-0.305,-0.239,1.100,-17.397,59.992,240.046
-0.195,-0.279,1.116,-20.298,45.809,236.008
-0.069,-0.323,1.188,-20.107,31.153,227.473
0.049,-0.362,1.189,-16.603,17.878,217.779
0.161,-0.395,1.154,-12.908,13.824,210.191
0.262,-0.416,1.165,-9.527,17.122,206.962
0.356,-0.417,1.151,-7.885,22.366,205.679
0.453,-0.390,1.090,-9.740,30.779,203.718
0.529,-0.350,1.081,-13.328,41.145,199.840
0.598,-0.305,1.057,-20.603,49.924,191.092
0.672,-0.300,1.086,-29.939,54.450,177.740
0.772,-0.309,1.134,-37.756,58.740,160.725
0.888,-0.313,1.173,-42.641,62.977,141.618
0.955,-0.317,1.196,-45.817,66.672,120.771
0.952,-0.292,1.287,-42.198,64.435,99.794
0.884,-0.272,1.349,-32.260,48.206,78.634
0.822,-0.269,1.362,-21.634,26.924,56.466
0.801,-0.278,1.363,-12.038,5.305,33.450
0.840,-0.277,1.350,-2.519,-10.542,10.771
0.887,-0.250,1.285,5.053,-17.878,-10.237
0.884,-0.185,1.217,9.756,-15.244,-27.115
0.850,-0.129,1.169,11.229,-8.099,-37.649
0.779,-0.087,1.125,9.977,0.511,-43.489
0.701,-0.078,1.111,7.321,9.107,-47.435
0.635,-0.094,1.116,4.855,13.626,-52.359
0.591,-0.118,1.142,2.756,15.756,-58.687
0.553,-0.125,1.149,1.840,15.870,-66.053
0.510,-0.122,1.169,2.267,13.702,-73.542
0.467,-0.115,1.171,3.290,11.992,-80.870
0.415,-0.095,1.200,5.122,9.733,-86.130
0.364,-0.105,1.192,6.863,6.076,-88.977
0.349,-0.103,1.192,7.809,4.466,-91.580
0.344,-0.078,1.190,8.794,5.718,-94.206
0.360,-0.039,1.157,7.427,9.176,-96.000
0.363,0.017,1.116,3.885,17.473,-98.511
0.333,0.044,1.147,-0.328,23.542,-101.679
0.285,0.053,1.167,-4.885,25.557,-105.290
0.243,0.050,1.170,-9.031,23.511,-107.947
0.221,0.018,1.227,-11.527,18.656,-111.092
0.227,-0.015,1.219,-12.260,14.412,-115.374
0.246,-0.025,1.226,-11.328,11.443,-120.092
0.226,0.008,1.237,-9.664,7.725,-122.397
0.224,0.034,1.234,-6.802,5.557,-120.008
0.228,0.016,1.213,-4.595,5.756,-121.137
0.223,-0.003,1.208,-3.427,6.649,-125.191
0.220,-0.004,1.214,-1.695,6.534,-128.305
0.218,-0.001,1.191,-0.511,6.649,-129.221
0.229,0.011,1.170,-0.641,10.130,-128.214
0.251,0.035,1.154,-2.359,14.725,-126.931
0.232,0.049,1.158,-3.450,19.267,-126.076
0.192,0.036,1.205,-1.344,20.206,-126.023
0.163,0.016,1.223,3.443,19.466,-126.107
0.172,0.007,1.200,8.511,20.489,-125.939
0.170,-0.001,1.218,12.427,20.053,-126.405
0.156,-0.000,1.186,14.763,17.550,-127.443
0.159,0.018,1.162,14.137,17.061,-128.214
0.179,0.047,1.169,11.855,15.588,-129.389
0.204,0.081,1.131,8.954,15.099,-131.313
0.221,0.096,1.117,4.855,16.366,-136.008
0.174,0.124,1.135,1.954,15.244,-141.328
0.125,0.123,1.133,0.321,12.847,-144.145
0.086,0.112,1.115,-1.153,11.473,-144.267
0.068,0.105,1.097,-3.160,10.580,-142.366
0.083,0.107,1.101,-5.443,12.237,-139.985
0.075,0.091,1.128,-6.672,13.275,-137.519
0.080,0.082,1.129,-6.969,13.802,-135.794
0.070,0.082,1.150,-6.290,15.061,-134.924
0.032,0.087,1.166,-4.099,15.137,-133.817
0.006,0.082,1.166,-0.901,15.397,-131.351
0.008,0.078,1.170,2.985,16.305,-127.519
0.011,0.068,1.145,6.046,18.092,-124.160
0.015,0.076,1.105,6.809,22.275,-121.504
-0.010,0.079,1.113,5.794,26.397,-120.038
-0.054,0.087,1.114,4.084,25.122,-118.580
-0.074,0.096,1.124,2.573,24.595,-115.985
-0.056,0.084,1.127,2.084,25.885,-111.634
-0.019,0.097,1.106,1.458,28.687,-108.282
-0.006,0.100,1.104,-0.046,30.725,-107.191
-0.036,0.120,1.098,-1.664,29.840,-107.107
-0.061,0.139,1.094,-4.099,26.443,-106.817
-0.072,0.167,1.098,-5.969,20.977,-104.725
-0.050,0.185,1.079,-8.389,18.809,-100.664
-0.013,0.174,1.078,-11.244,19.496,-96.763
0.012,0.155,1.081,-12.359,21.229,-94.771
0.030,0.147,1.086,-12.740,23.519,-94.344
0.008,0.138,1.104,-12.237,22.420,-95.458
-0.030,0.139,1.126,-10.832,19.763,-96.947
-0.048,0.154,1.084,-10.412,18.763,-95.076
-0.044,0.156,1.069,-11.588,21.725,-91.534
-0.043,0.153,1.083,-11.672,22.298,-88.748
-0.045,0.142,1.083,-12.626,19.382,-88.863
-0.082,0.129,1.103,-13.435,15.122,-87.878
-0.095,0.117,1.075,-16.435,12.863,-85.282
-0.101,0.124,1.093,-20.321,9.802,-82.275
-0.087,0.112,1.101,-24.313,7.237,-78.084
-0.073,0.102,1.118,-26.702,7.191,-75.405
-0.068,0.083,1.157,-26.405,8.809,-72.573
-0.047,0.079,1.164,-24.328,14.405,-69.534
