AX,AY,AZ,GX,GY,GZ
0.302,-0.026,1.215,-3.282,18.046,-28.962
0.429,-0.043,1.270,-3.313,21.977,-30.626
0.484,-0.052,1.307,-1.756,22.328,-36.626
0.530,-0.073,1.381,2.267,17.664,-43.183
0.592,-0.073,1.412,7.092,4.550,-48.947
0.722,-0.077,1.420,11.160,-5.695,-55.542
0.878,-0.072,1.412,16.229,-9.977,-63.672
1.009,-0.063,1.380,23.527,-9.756,-73.985
1.074,-0.034,1.323,31.656,-6.260,-86.710
1.073,0.020,1.254,38.557,-0.977,-97.359
1.024,0.069,1.219,45.649,2.481,-106.069
0.961,0.091,1.160,50.916,1.740,-113.702
0.868,0.106,1.062,49.733,-1.641,-121.023
0.765,0.099,1.034,44.366,-5.847,-126.374
0.672,0.087,1.055,38.053,-15.214,-129.153
0.592,0.072,1.066,33.015,-25.649,-129.824
0.575,0.067,1.062,26.809,-27.748,-128.977
0.554,0.044,1.103,18.962,-25.214,-128.061
0.492,-0.002,1.138,12.733,-20.580,-127.809
0.410,-0.054,1.148,7.939,-18.382,-130.802
0.339,-0.062,1.158,6.931,-18.206,-135.641
0.293,-0.020,1.108,5.519,-16.817,-137.924
0.278,0.019,1.088,6.771,-9.947,-138.863
0.235,0.041,1.044,7.084,-4.267,-137.863
0.153,0.040,1.021,3.382,-0.641,-136.687
0.038,0.006,1.019,-4.191,-4.618,-136.855
-0.078,-0.029,0.989,-17.076,-12.122,-141.618
-0.201,-0.075,1.050,-34.206,-21.504,-148.481
-0.281,-0.144,1.129,-49.252,-32.565,-157.794
-0.375,-0.216,1.226,-59.679,-38.939,-164.618
-0.506,-0.282,1.333,-62.679,-37.725,-160.687
-0.577,-0.354,1.375,-58.008,-26.481,-147.229
-0.635,-0.397,1.423,-49.878,-12.992,-134.832
-0.670,-0.393,1.446,-38.000,-3.000,-126.229
-0.665,-0.297,1.386,-26.092,5.389,-115.611
-0.646,-0.211,1.387,-19.305,13.359,-103.115
-0.663,-0.188,1.411,-11.542,11.298,-96.069
-0.677,-0.163,1.364,-5.977,5.885,-89.550
-0.635,-0.139,1.297,-3.053,2.069,-79.511
-0.554,-0.127,1.262,0.397,1.664,-72.176
-0.471,-0.101,1.225,2.336,3.405,-67.328
-0.407,-0.079,1.162,3.275,11.092,-61.702
-0.352,-0.070,1.120,4.412,23.092,-55.725
-0.336,-0.066,1.095,6.412,32.000,-51.817
-0.336,-0.053,1.060,9.824,35.908,-48.916
-0.347,-0.021,1.023,12.947,38.679,-45.382
-0.358,-0.004,0.995,13.603,40.053,-37.023
-0.337,0.002,0.968,10.916,39.649,-28.344
-0.302,0.007,0.963,5.244,37.939,-22.344
-0.287,0.013,0.993,-2.740,32.168,-17.557
-0.272,0.004,1.039,-11.603,22.458,-14.550
-0.210,-0.012,1.055,-20.550,14.168,-13.221
-0.136,-0.023,1.053,-29.389,12.351,-12.626
-0.070,-0.053,1.092,-35.282,14.176,-12.763
-0.013,-0.082,1.156,-37.000,15.573,-13.664
0.030,-0.114,1.201,-34.740,19.710,-15.481
0.053,-0.124,1.217,-31.107,23.542,-17.672
0.053,-0.131,1.208,-26.626,28.435,-19.809
0.049,-0.107,1.200,-23.473,34.336,-19.183
0.032,-0.069,1.235,-21.168,37.840,-14.985
-0.001,-0.056,1.240,-17.832,37.679,-7.427
-0.026,-0.050,1.211,-14.924,36.015,-0.260
-0.066,-0.078,1.180,-14.450,34.397,3.420
-0.100,-0.088,1.210,-13.687,26.130,4.527
