AX,AY,AZ,GX,GY,GZ
0.295,0.389,0.579,-82.550,39.527,-38.603
0.302,0.365,0.610,-85.794,45.618,-38.412
0.298,0.350,0.642,-88.130,50.603,-40.321
0.264,0.338,0.693,-89.427,52.275,-43.786
0.217,0.323,0.709,-91.374,51.313,-46.450
0.171,0.313,0.727,-95.740,47.344,-48.076
0.134,0.302,0.770,-100.153,38.855,-48.603
0.115,0.292,0.805,-104.573,29.855,-46.893
0.144,0.281,0.854,-111.168,22.573,-42.756
0.220,0.260,0.888,-116.534,20.542,-40.053
0.291,0.239,0.920,-120.412,25.779,-37.504
0.355,0.200,0.987,-121.153,33.992,-40.542
0.361,0.204,0.995,-118.275,45.710,-41.076
0.395,0.196,1.004,-116.947,61.656,-41.405
0.351,0.205,1.098,-116.450,65.802,-45.145
0.250,0.221,1.168,-116.763,64.084,-46.046
0.204,0.204,1.237,-117.489,56.183,-46.450
0.174,0.149,1.314,-116.053,42.328,-50.252
0.137,0.110,1.363,-111.832,29.031,-54.702
0.102,0.090,1.424,-106.771,17.511,-55.718
0.102,0.083,1.460,-103.130,6.275,-53.947
0.138,0.092,1.472,-97.885,3.206,-50.015
0.219,0.090,1.480,-92.847,6.969,-45.824
0.305,0.083,1.487,-87.542,16.733,-43.794
0.371,0.068,1.473,-81.962,33.802,-46.275
0.353,0.055,1.479,-76.519,49.695,-49.954
0.292,0.050,1.475,-72.130,59.176,-52.023
0.206,0.034,1.497,-68.435,60.374,-53.405
0.109,0.017,1.518,-65.542,54.473,-53.664
0.022,0.009,1.538,-62.947,40.885,-52.397
0.010,-0.001,1.550,-58.649,24.496,-49.901
0.073,-0.012,1.542,-52.290,13.168,-49.023
0.159,0.001,1.495,-44.939,11.565,-51.084
0.190,0.017,1.459,-38.275,15.137,-50.656
0.184,0.040,1.407,-33.969,23.878,-47.557
0.171,0.052,1.410,-31.672,28.962,-42.733
0.188,0.042,1.387,-30.710,32.855,-40.679
0.217,0.031,1.366,-29.679,36.924,-39.908
0.236,0.040,1.367,-28.542,39.214,-39.626
0.240,0.034,1.350,-27.191,40.443,-42.053
0.208,0.034,1.350,-24.634,38.481,-44.023
0.176,0.021,1.332,-21.443,33.763,-45.611
0.157,0.024,1.318,-19.092,27.412,-45.405
0.172,0.024,1.305,-18.000,24.008,-44.679
0.183,0.021,1.299,-16.962,21.496,-44.603
0.204,0.012,1.281,-15.695,20.321,-45.015
0.214,0.000,1.282,-13.550,23.458,-44.947
0.223,-0.015,1.283,-11.160,26.137,-45.939
0.201,-0.011,1.265,-9.000,28.015,-47.267
0.175,-0.010,1.262,-7.412,28.275,-47.611
0.152,-0.007,1.252,-5.954,28.069,-47.031
0.147,-0.007,1.243,-4.557,27.206,-46.672
0.138,-0.002,1.237,-4.427,25.084,-46.534
0.142,-0.016,1.221,-3.954,23.855,-46.611
0.149,-0.013,1.220,-3.336,23.153,-46.504
0.156,-0.009,1.198,-2.252,23.695,-46.733
0.152,-0.003,1.177,-2.275,23.405,-46.336
0.152,0.003,1.194,-3.489,23.214,-45.519
0.148,-0.009,1.193,-3.198,23.389,-45.130
0.155,-0.026,1.201,-2.046,22.298,-45.565
0.170,-0.029,1.188,-0.740,22.550,-46.565
0.174,-0.014,1.156,-0.863,23.511,-47.305
0.159,-0.011,1.168,-1.244,23.557,-49.153
0.144,0.003,1.164,-0.664,22.756,-48.466
0.136,-0.010,1.164,-0.252,23.794,-45.832
0.141,-0.019,1.150,0.000,23.397,-45.145
0.145,-0.016,1.136,-0.779,23.588,-45.824
0.151,-0.005,1.141,-2.084,23.771,-45.244
0.143,-0.019,1.146,-3.023,22.992,-45.985
0.130,-0.025,1.148,-3.450,20.817,-47.122
0.123,-0.014,1.142,-3.802,18.878,-45.771
0.149,-0.018,1.127,-4.595,19.687,-44.412
0.167,-0.022,1.140,-3.809,20.748,-44.115
0.162,-0.023,1.130,-3.069,22.046,-45.817
0.142,-0.014,1.124,-3.748,22.115,-45.504
0.141,-0.012,1.141,-5.405,22.214,-44.305
0.142,-0.015,1.128,-7.000,21.573,-43.939
0.147,-0.012,1.147,-7.237,21.565,-44.267
