Time AX AY AZ GX GY GZ
2e-06 0.079 -0.061 0.943 -52.84 2.321 5.924
0.012509 0.068 -0.044 0.962 -51.038 -0.183 5.374
0.02497 0.044 -0.064 0.954 -50.931 -2.58 -0.031
0.031375 0.048 -0.059 0.953 -49.496 -4.076 -0.26
0.044047 0.079 -0.06 0.93 -49.42 -4.046 -1.069
0.051739 0.11 -0.083 0.911 -50.443 -5.786 -7.908
0.063211 0.118 -0.083 0.869 -54.58 -1.542 -3.45
0.068812 0.097 -0.11 0.893 -59.954 1.756 0.031
0.082109 0.085 -0.152 0.941 -63.664 1.588 0.519
0.095077 0.077 -0.201 0.969 -65.679 3.924 5.13
0.101731 0.087 -0.228 0.995 -65.908 6.947 9.634
0.114206 0.072 -0.263 1.04 -64.366 10.168 14.641
0.120908 0.045 -0.302 1.078 -58.763 6.84 14.58
0.133452 0.05 -0.312 1.08 -53.527 2.824 10.137
0.140647 0.093 -0.313 1.059 -48.611 -2.305 2.031
0.152729 0.091 -0.329 1.008 -46.809 -4.58 0.504
0.164897 0.128 -0.327 1.004 -46.656 -4.702 -2.931
0.171873 0.164 -0.345 0.99 -46.916 -0.534 -3.588
0.184069 0.111 -0.365 1.03 -46.031 0.672 1.542
0.191624 0.075 -0.339 1.033 -44.992 4.794 6.931
0.203723 0.046 -0.37 1.073 -42.015 1.298 7.359
0.211109 0.08 -0.357 1.056 -39.695 2.168 11.527
0.223162 0.107 -0.355 1.042 -36.183 3.008 9.435
0.23026 0.117 -0.335 1.021 -33.466 1.679 7.221
0.242831 0.136 -0.339 1.008 -31.115 0.153 1.557
0.255008 0.128 -0.323 0.984 -29.496 -4.977 -5.679
0.262197 0.126 -0.331 0.988 -27.725 -10.183 -14.214
0.273995 0.115 -0.329 0.956 -26.947 -12.641 -18.885
0.280715 0.101 -0.324 0.92 -30.443 -11.863 -16.916
0.293133 0.092 -0.339 0.926 -33.847 -8.595 -11.099
0.304912 0.084 -0.349 0.947 -36.427 -2.489 -2.443
0.312371 0.08 -0.369 0.965 -37.542 3.084 6.824
0.324278 0.073 -0.399 0.969 -37.802 7.542 13.954
0.331228 0.085 -0.421 0.987 -37.313 10.092 18.29
0.343513 0.08 -0.434 0.986 -35.664 8.916 17.069
0.350525 0.108 -0.432 0.986 -33.649 6.763 14.076
0.362712 0.099 -0.442 1.001 -30.427 2.336 7.649
0.369791 0.113 -0.424 0.978 -27.282 -1.618 1.206
0.38215 0.1 -0.411 0.943 -26.992 -4.015 -0.947
0.394467 0.11 -0.415 0.948 -26.84 -6.519 -3.496
0.401176 0.095 -0.408 0.941 -26.626 -5.618 -2.718
0.413471 0.106 -0.4 0.927 -26.84 -4.595 1.115
0.420432 0.105 -0.419 0.952 -29.298 3.969 8.198
0.432912 0.081 -0.417 0.948 -29.802 3.985 14.763
0.439907 0.123 -0.433 0.97 -30.55 5.893 15.115
0.45225 0.163 -0.446 0.954 -29.542 10.595 16.855
0.464313 0.142 -0.434 0.94 -27.969 11.145 15.878
0.471394 0.149 -0.454 0.969 -24.565 8.779 5.13
0.483954 0.119 -0.479 0.972 -22.565 4.794 -1.664
0.490915 0.135 -0.466 0.978 -19.008 -1.588 -6.779
0.503068 0.144 -0.462 0.966 -16.137 -2.779 -17.359
0.50984 0.107 -0.497 0.975 -13.389 -8.534 -19.954
0.522283 0.119 -0.45 0.94 -13.038 -6.962 -17.954
0.534129 0.08 -0.472 0.935 -14.244 -5.954 -15.634
0.541147 0.095 -0.47 0.924 -17.008 -3.099 -9.053
0.553416 0.106 -0.484 0.908 -19.588 5.649 -0.763
0.560449 0.083 -0.509 0.912 -21.374 11.206 5.695
0.572574 0.059 -0.522 0.933 -21.359 13.359 10.336
0.57963 0.059 -0.528 0.966 -20.046 9.511 8.076
0.591952 0.047 -0.541 0.96 -15.298 4.748 7.359
0.604523 0.055 -0.499 0.951 -13.74 1.511 5.069
0.611567 0.065 -0.488 0.935 -10.595 -1.924 2.046
0.623991 0.067 -0.463 0.913 -9.695 -2.183 2.366
0.630875 0.08 -0.42 0.881 -9.527 1.115 6.733
0.643469 0.06 -0.388 0.834 -11.099 1.847 7.649
0.650349 0.1 -0.388 0.797 -15.695 3.466 7.969
0.663019 0.125 -0.41 0.771 -21.069 5.328 6.305
0.669884 0.135 -0.469 0.797 -27.771 7.847 9.389
0.682518 0.137 -0.5 0.868 -29.847 8.702 10.489
0.694689 0.108 -0.56 0.908 -27.282 4.504 7.115
0.7019 0.141 -0.577 0.958 -24.565 2.763 5.053
0.714152 0.129 -0.596 0.965 -18.55 -0.382 -3.756
0.721181 0.152 -0.558 0.955 -16.656 0.031 -7.74
0.733543 0.104 -0.568 0.925 -10.595 -4.076 -11.893
0.740541 0.114 -0.535 0.9 -9.16 -3.985 -13.023
0.752854 0.119 -0.51 0.872 -10.55 -2.397 -14.198
0.764733 0.155 -0.479 0.84 -14.366 3.206 -11.145
0.771838 0.084 -0.542 0.866 -14.947 3.664 -7.893
0.783968 0.092 -0.564 0.907 -15.466 7.939 0.672
