Time AX AY AZ GX GY GZ
0.019798833999999488 -0.026 -0.085 0.979 -1.206 -0.076 0.214
0.032216417000000774 -0.021 -0.106 0.977 -2.008 0.099 -0.496
0.0390884999999912 -0.023 -0.103 0.977 -0.74 -0.786 -0.466
0.051367208999991476 -0.012 -0.104 0.971 -0.557 1.023 -0.679
0.058415666999991345 -0.022 -0.101 0.98 -1.084 0.511 -1.786
0.07048512499999049 -0.025 -0.11 0.984 -0.267 -0.71 0.214
0.07785733400000083 -0.026 -0.094 0.995 0.16 -1.183 0.214
0.09029970899999284 -0.043 -0.088 1.001 -0.824 -1.458 0.115
0.10242087499999286 -0.033 -0.096 0.999 -1.443 -1.305 -1.29
0.10967195899999638 -0.035 -0.078 0.98 -1.855 -0.206 -1.183
0.12164229199999 -0.021 -0.096 0.978 -2.031 -0.588 -1.214
0.12887683399999617 -0.031 -0.1 0.995 -1.794 1.878 -0.924
0.14103020899999308 -0.032 -0.098 0.973 -2.359 0.809 -2.015
0.14833129199999462 -0.027 -0.083 0.985 -1.794 -0.405 -1.046
0.16027712499999325 -0.021 -0.105 0.979 -1.466 -2.275 1.847
0.1722743339999937 -0.014 -0.105 0.98 -0.756 -1.534 1.641
0.17958679199999494 -0.023 -0.098 0.985 -0.481 -1.183 1.374
0.19184008399999186 -0.017 -0.097 0.978 -0.985 0.366 1.061
0.1991380420000013 -0.034 -0.108 0.99 -0.962 0.618 -0.29
0.21122274999999036 -0.028 -0.093 0.984 -1.298 3.061 -1.84
0.21840154199999517 -0.042 -0.097 0.991 -2.214 2.313 -2.969
0.23074083400000234 -0.027 -0.102 0.98 -1.939 2.26 -2.687
0.23798712500000363 -0.028 -0.105 0.968 -1.672 2.221 -2.595
0.25003820899999596 -0.032 -0.097 0.978 -2.023 1.847 -4.26
0.26203654199998994 -0.013 -0.099 0.968 -2.053 1.634 -2.84
0.26936683399999595 -0.026 -0.104 0.99 -1.511 1.443 -1.817
0.2815550419999937 -0.021 -0.103 0.976 -1.443 2.053 -1.786
0.28856745899999225 -0.024 -0.101 0.978 -1.29 1.458 -2.122
0.30076712499999303 -0.017 -0.104 0.989 -0.817 1.473 -0.962
0.30781641699999795 -0.015 -0.102 0.984 -0.885 0.763 -1.008
0.32027699999999015 -0.018 -0.095 0.987 -0.847 0.718 0.015
0.3324953749999935 -0.025 -0.117 0.988 -0.725 0.237 0.641
0.3397767089999917 -0.021 -0.109 0.984 -0.771 0.908 -0.282
0.35205224999999984 -0.043 -0.094 0.993 -1.267 0.977 -1.069
0.35907370900000046 -0.037 -0.099 1.002 -1.824 -0.603 -0.763
0.371409749999998 -0.032 -0.105 0.978 -1.42 -1.084 0.328
0.378651167000001 -0.015 -0.1 0.979 -0.832 -0.45 0.748
0.3906552499999947 -0.011 -0.093 0.975 -1.244 0.321 0.901
0.39792087499999695 -0.021 -0.099 0.97 -0.748 -1.718 3.443
0.4102213749999919 -0.018 -0.092 0.977 -0.45 -1.954 4.031
0.4222533749999968 -0.029 -0.099 0.977 -0.611 -2.389 3.153
0.42953299999999217 -0.031 -0.106 0.991 -0.511 -2.443 4.183
0.44163508399999785 -0.027 -0.094 0.997 -0.397 -2.847 2.969
0.4488969589999954 -0.029 -0.098 0.986 -0.672 -3.305 3.382
0.4611889170000012 -0.03 -0.094 1.005 -0.947 -4.374 3.252
0.4684677089999951 -0.015 -0.078 0.989 -1.618 -3.595 3.252
0.4804612499999905 -0.018 -0.102 0.984 -1.588 -3.214 3.122
0.4924650419999921 -0.017 -0.108 0.976 -1.664 -1.061 1.359
0.49979395900000156 -0.017 -0.11 0.981 -1.519 -1.099 0.443
0.5120311670000035 -0.011 -0.099 0.974 -1.58 0.061 1.16
0.519356333999994 -0.021 -0.109 0.985 -1.649 -0.489 -0.344
0.5313864590000037 -0.03 -0.101 0.978 -2.031 -1.183 -0.863
0.5386543340000003 0.0 -0.115 0.968 -1.076 -0.557 -0.817
0.5507002499999913 -0.022 -0.09 0.977 -1.718 -0.557 -0.344
