Time AX AY AZ GX GY GZ
1e-06 0.115 -0.219 0.997 15.435 6.504 5.954
0.012216 0.119 -0.206 0.99 15.191 6.244 4.992
0.019908 0.112 -0.203 0.98 15.634 6.779 5.695
0.032095 0.112 -0.208 0.972 17.344 7.405 6.0
0.039959 0.104 -0.201 0.987 15.008 7.802 5.023
0.051643 0.106 -0.195 0.988 14.809 7.435 5.374
0.058813 0.106 -0.211 0.999 16.397 7.71 5.771
0.070975 0.095 -0.183 0.989 16.519 8.076 4.321
0.078607 0.112 -0.184 1.003 15.313 7.176 4.626
0.090921 0.11 -0.172 1.016 13.573 5.496 4.214
0.098459 0.121 -0.177 1.029 12.687 4.595 6.092
0.110638 0.101 -0.186 1.03 12.931 3.252 5.649
0.123014 0.109 -0.208 1.033 13.74 3.221 5.191
0.130464 0.107 -0.2 1.04 12.214 1.847 4.565
0.142428 0.114 -0.202 1.041 11.863 0.702 2.824
0.149847 0.113 -0.21 1.051 12.443 0.015 2.565
0.163002 0.106 -0.23 1.054 13.893 0.443 2.55
0.169577 0.107 -0.23 1.062 15.191 0.809 1.863
0.182046 0.113 -0.223 1.088 15.191 -0.092 0.321
0.189377 0.114 -0.21 1.104 13.756 -2.275 -2.519
0.201251 0.114 -0.203 1.104 13.053 -3.282 -3.985
0.20932 0.127 -0.178 1.109 12.855 -3.191 -4.168
0.221093 0.127 -0.166 1.115 13.969 -3.191 -3.908
0.232982 0.141 -0.156 1.14 16.214 -3.115 -1.74
0.24001 0.127 -0.15 1.158 18.763 -3.053 0.489
0.252681 0.119 -0.15 1.171 21.939 -5.13 0.779
0.259561 0.122 -0.14 1.186 23.603 -7.42 1.053
0.27219 0.124 -0.147 1.176 24.794 -9.74 2.595
0.279097 0.118 -0.14 1.151 24.489 -12.015 -0.015
0.291336 0.119 -0.148 1.123 27.847 -12.168 0.015
0.298664 0.122 -0.141 1.115 27.618 -11.786 -0.916
0.310586 0.13 -0.124 1.101 29.008 -12.168 -1.359
0.322672 0.131 -0.113 1.097 29.664 -10.687 0.779
0.331987 0.136 -0.103 1.09 30.55 -11.176 1.099
0.342291 0.139 -0.131 1.087 32.0 -13.328 2.153
0.349445 0.119 -0.121 1.064 34.763 -13.084 2.397
0.361766 0.135 -0.119 1.073 35.908 -12.458 3.069
0.368657 0.148 -0.098 1.086 35.023 -12.855 3.069
0.380772 0.159 -0.065 1.087 33.573 -13.298 3.511
0.393037 0.17 -0.04 1.093 30.458 -14.168 4.901
0.400029 0.178 -0.037 1.089 30.427 -15.191 7.145
0.412957 0.177 -0.048 1.071 32.397 -15.954 10.366
0.419491 0.175 -0.044 1.055 34.229 -15.802 13.679
0.43145 0.173 -0.072 1.049 37.176 -15.13 14.84
0.439036 0.161 -0.1 1.042 39.176 -14.534 15.542
0.450884 0.156 -0.101 1.046 40.321 -14.595 15.863
0.463341 0.157 -0.1 1.057 41.908 -15.649 13.237
0.470136 0.152 -0.075 1.038 40.336 -16.565 12.473
0.48228 0.156 -0.08 1.038 37.099 -17.313 11.237
0.489393 0.165 -0.075 1.025 33.969 -18.885 10.076
0.501292 0.189 -0.063 1.004 31.298 -18.901 13.099
0.508427 0.187 -0.075 1.009 29.282 -20.977 10.519
0.520678 0.181 -0.068 0.974 29.664 -19.969 11.16
0.532693 0.195 -0.068 0.971 31.725 -19.511 11.237
0.539812 0.191 -0.07 0.965 33.252 -19.527 10.794
0.551916 0.201 -0.059 0.944 33.481 -18.763 10.076
