Time AX AY AZ GX GY GZ
0.020151375000000193 0.997 0.109 -0.214 -0.466 0.275 1.16
0.027274084000000087 0.996 0.13 -0.227 -0.588 0.427 -0.29
0.03969145900000015 0.979 0.131 -0.217 -0.656 -1.13 -0.458
0.052003709000000065 0.993 0.133 -0.22 -0.649 -1.695 1.992
0.05905716700000063 0.995 0.123 -0.224 -0.802 -0.656 -1.405
0.07126120900000021 1.004 0.127 -0.218 -0.824 -0.344 -0.794
0.0783240420000002 1.005 0.123 -0.209 -1.206 1.023 -1.878
0.09086800000000039 0.986 0.13 -0.208 -1.336 0.229 -1.45
0.09789041700000034 0.998 0.125 -0.216 -1.183 0.588 -1.405
0.11028841700000047 0.986 0.129 -0.204 -1.298 -0.924 -1.13
0.11751504199999996 0.992 0.131 -0.215 -1.16 -1.282 -0.511
0.12979387499999984 1.001 0.127 -0.214 -1.137 -0.321 -1.939
0.14168241700000017 0.995 0.127 -0.211 -1.107 -0.87 -0.252
0.14897908400000048 0.998 0.127 -0.223 -0.863 -0.847 -1.038
0.16126962500000008 0.993 0.129 -0.23 -0.924 0.45 -1.786
0.16849404199999984 0.993 0.136 -0.224 -0.847 -0.344 0.58
0.18086025000000028 1.0 0.129 -0.221 -0.71 -0.336 0.519
0.18803637500000026 0.996 0.125 -0.223 -0.74 0.076 -2.382
0.2003418340000005 0.985 0.126 -0.22 -0.473 -0.603 0.305
0.20765833400000044 0.998 0.13 -0.218 -0.405 -0.328 0.679
0.2199239999999998 0.995 0.135 -0.22 -0.443 0.412 -0.359
0.2257514590000005 0.997 0.128 -0.223 -0.588 -0.458 0.763
0.23946520900000046 0.998 0.121 -0.226 -0.588 0.695 0.26
0.25165645900000033 0.999 0.127 -0.218 -0.702 0.947 -0.473
0.2589484999999998 0.991 0.131 -0.221 -0.618 0.588 -0.168
0.27122545900000006 0.993 0.128 -0.224 -0.641 0.496 -0.389
0.278733334 0.995 0.122 -0.224 -0.542 0.267 0.305
0.2907667500000004 0.998 0.124 -0.229 -0.58 0.626 -0.115
0.2983651250000001 1.0 0.124 -0.226 -0.878 0.779 -1.534
0.31032595900000004 0.986 0.125 -0.217 -0.977 0.634 -1.084
0.3178463340000004 0.988 0.127 -0.215 -0.565 0.366 -0.359
0.33004312500000044 0.995 0.123 -0.216 -0.756 0.237 -0.885
0.33743020899999987 0.987 0.128 -0.22 -0.802 0.229 -0.771
0.3494314169999999 1.0 0.133 -0.219 -0.802 0.519 -0.153
0.36165079199999983 1.0 0.132 -0.224 -0.931 1.252 0.435
0.3693208339999998 0.999 0.13 -0.209 -1.008 1.756 -0.756
0.38120841699999986 0.993 0.128 -0.212 -1.038 1.656 -1.473
0.38873475000000024 0.987 0.128 -0.218 -0.718 1.359 0.298
0.4009773750000001 0.989 0.12 -0.215 -0.809 1.0 0.863
0.40860983399999995 0.99 0.128 -0.228 -0.664 0.794 0.031
0.4207965420000006 0.99 0.137 -0.228 -0.809 0.855 0.321
0.4280754170000005 0.998 0.133 -0.219 -0.466 0.435 0.802
0.44056104200000057 0.998 0.129 -0.222 -0.45 0.634 0.191
0.44790112500000046 0.996 0.125 -0.222 -0.656 0.664 -0.672
0.4598648340000002 0.997 0.129 -0.196 -0.458 0.565 -0.489
0.4674387090000005 0.993 0.123 -0.207 -0.473 0.443 -0.351
0.4794574169999999 0.986 0.125 -0.227 -0.916 -0.321 -0.061
0.4918397090000006 0.994 0.131 -0.205 -0.366 -0.863 0.626
0.4989726670000003 1.001 0.132 -0.209 -0.519 -0.42 0.55
0.5109951669999999 0.993 0.131 -0.219 -0.763 -0.397 -0.389
0.5186257090000002 0.994 0.126 -0.219 -0.74 -0.656 0.076
0.5305787500000001 0.998 0.13 -0.227 -0.603 -0.489 1.656
0.5382281249999998 0.989 0.131 -0.221 -0.656 -0.26 1.74
0.5501063340000005 0.998 0.13 -0.208 -0.779 0.13 -0.611
0.5574030419999998 0.992 0.131 -0.209 -0.824 -0.221 -0.412
0.5696051249999998 0.993 0.134 -0.222 -0.58 0.046 1.076
0.5818916249999999 0.992 0.122 -0.226 -0.58 -0.13 0.275
0.589233042 0.995 0.127 -0.221 -0.687 -0.305 -0.176
0.6014558750000001 0.99 0.12 -0.224 -0.672 -0.344 0.649
0.6087902090000004 0.995 0.12 -0.221 -0.809 -0.305 -0.176
0.6208740000000006 0.997 0.129 -0.218 -0.588 -0.344 0.656
0.6284462500000005 0.999 0.123 -0.22 -0.847 -0.366 0.107
0.6408172919999995 1.002 0.118 -0.216 -0.672 -0.16 -0.511
0.6480893749999996 0.995 0.124 -0.216 -0.542 0.084 0.176
0.6598792499999995 0.996 0.124 -0.218 -0.893 -0.031 0.145
0.6673777090000002 0.995 0.122 -0.22 -0.832 0.008 -0.389
0.6794125419999997 0.999 0.122 -0.219 -0.611 0.221 -1.069
0.6917032919999997 0.996 0.127 -0.221 -0.855 0.237 -0.55
0.6990000839999997 0.993 0.118 -0.22 -0.718 0.305 -0.832
0.7112753749999996 1.0 0.117 -0.225 -0.855 0.573 -0.771
0.7185098750000005 1.0 0.122 -0.23 -0.931 0.847 -0.916
0.730786375000001 0.986 0.129 -0.217 -0.809 0.679 -0.29
0.7380537500000006 0.998 0.116 -0.206 -0.885 1.137 -1.786
0.7505045839999998 0.994 0.122 -0.22 -1.031 1.244 -2.405
0.7576446250000011 0.989 0.131 -0.217 -0.748 1.366 -0.969
0.7698906250000004 0.999 0.132 -0.222 -1.023 1.573 -1.214
0.7757176250000004 0.995 0.133 -0.222 -0.863 1.74 -1.473
0.789457917 0.994 0.124 -0.217 -0.954 1.794 -1.344
0.801677917000001 0.992 0.132 -0.219 -0.878 1.695 -0.221
0.8091282500000005 0.999 0.129 -0.219 -0.672 1.588 0.74
0.8212203339999995 1.0 0.128 -0.228 -0.794 2.046 0.038
0.8288653749999995 0.997 0.13 -0.23 -0.962 1.985 -0.198
0.8410301249999996 0.989 0.127 -0.222 -0.504 1.573 0.664
0.8483328750000005 0.986 0.125 -0.216 -0.55 1.595 -0.389
0.8608194170000001 0.99 0.133 -0.214 -0.565 1.198 -0.13
0.8679493750000002 0.99 0.134 -0.219 -0.55 1.153 0.481
0.8800805839999999 1.001 0.132 -0.214 -0.656 1.046 0.076
0.8876568749999993 1.0 0.125 -0.223 -0.489 1.137 -0.756
0.8998842919999994 0.981 0.129 -0.216 -0.519 0.191 0.664
0.9118918750000002 0.988 0.131 -0.22 -0.496 -0.061 1.725
0.9194348750000003 1.005 0.12 -0.208 -0.42 -0.031 0.466
0.931437334 0.991 0.122 -0.225 -0.794 0.176 -1.321
0.9389893750000002 0.987 0.133 -0.227 -0.58 -0.71 1.229
0.9511367499999999 1.002 0.123 -0.222 -0.725 -0.893 1.115
0.9586474999999997 0.995 0.117 -0.219 -0.748 -0.771 -0.595
0.9706223749999996 0.991 0.127 -0.223 -0.641 -0.832 -0.115
0.9778706249999995 0.998 0.131 -0.213 -0.473 -1.046 0.176
0.9898786249999993 0.999 0.131 -0.218 -0.702 -0.656 -0.702
0.9973670420000005 0.993 0.127 -0.226 -0.748 -0.458 0.038
1.0094100420000007 0.997 0.123 -0.219 -0.618 -0.435 0.55
1.0216880840000009 1.008 0.124 -0.206 -0.58 -0.198 -0.626
1.0289816250000001 0.99 0.131 -0.216 -0.733 -0.107 0.031
1.0413222920000003 1.0 0.127 -0.217 -0.847 0.076 -0.382
1.048540667000001 0.994 0.12 -0.216 -0.878 0.267 -1.84
1.0609580419999993 0.997 0.128 -0.213 -0.649 0.229 -0.519
1.0681839170000007 0.997 0.133 -0.22 -0.573 0.183 0.908
1.080336334 1.002 0.125 -0.224 -1.061 0.336 -0.42
1.0875598340000003 0.996 0.122 -0.209 -1.0 0.794 -1.275
1.0998680000000007 0.99 0.128 -0.216 -0.802 0.779 -0.099
1.107414167 1.001 0.128 -0.222 -0.832 0.74 0.656
1.1195372090000006 1.001 0.114 -0.225 -0.977 1.183 -1.176
1.1317735839999994 0.991 0.128 -0.215 -0.817 0.901 -1.366
1.139288875 0.984 0.128 -0.214 -0.763 0.901 0.824
1.1515195840000008 0.988 0.12 -0.228 -0.832 0.87 0.595
1.1588589999999996 0.991 0.129 -0.214 -0.794 1.13 -1.542
1.1711751669999995 0.992 0.133 -0.221 -0.794 0.916 0.031
1.1784481670000009 0.999 0.123 -0.213 -0.824 0.718 1.214
1.1904582920000006 0.998 0.129 -0.223 -1.031 1.031 -0.626
1.1978092500000006 0.989 0.13 -0.223 -0.786 0.977 -0.466
1.2102408340000004 0.989 0.135 -0.224 -0.588 0.679 0.687
1.2175136670000004 0.995 0.132 -0.213 -0.71 -0.092 1.153
1.229942792000001 0.996 0.127 -0.221 -0.595 0.031 0.473
