Time AX AY AZ GX GY GZ
0.0146957090000015 0.112 -0.128 0.955 1.298 5.573 -3.0
0.02710162500000024 0.113 -0.133 0.951 2.061 3.588 -3.359
0.03433045899999598 0.125 -0.123 0.958 0.672 2.794 -3.16
0.04655758399999854 0.106 -0.119 0.957 -1.13 3.74 -2.863
0.05389279199999919 0.069 -0.144 0.959 -1.55 5.069 -1.336
0.06631112499999858 0.11 -0.086 0.954 -3.191 8.153 4.168
0.07199258400000019 0.084 -0.132 0.957 -1.328 4.893 0.206
0.0860457499999967 0.085 -0.127 0.954 -1.397 3.389 0.527
0.0984970419999982 0.075 -0.123 0.964 0.313 1.29 0.496
0.10605116699999684 0.076 -0.102 0.949 0.26 0.84 0.588
0.11816974999999985 0.071 -0.102 0.946 0.321 -0.771 -0.779
0.12532470899999737 0.069 -0.103 0.94 -0.672 -2.061 -1.588
0.13757858399999634 0.063 -0.103 0.945 -1.763 -2.534 -1.42
0.14486716700000102 0.053 -0.102 0.947 -2.038 -2.947 -1.473
0.15688704200000103 0.041 -0.099 0.934 -3.061 -2.977 -0.595
0.16415370899999715 0.038 -0.086 0.941 -5.038 -2.672 -1.389
0.17624195900000217 0.029 -0.061 0.944 -7.053 -3.595 -3.305
0.18849429200000145 0.016 -0.084 0.954 -6.863 -4.695 -3.534
0.1958039589999956 0.014 -0.097 0.963 -6.71 -5.29 -4.802
0.20780587499999825 0.016 -0.111 0.974 -6.298 -4.771 -6.45
0.21518333399999534 0.011 -0.143 0.975 -3.412 -4.511 -7.481
0.22735841699999781 0.006 -0.151 0.979 0.313 -5.74 -4.916
0.2346541670000022 0.032 -0.144 1.018 -0.649 -2.145 -3.328
0.24663358400000135 0.007 -0.161 1.0 -2.198 2.427 -5.908
0.2539200419999972 -0.01 -0.182 1.02 -2.878 2.061 -7.42
0.26622008399999686 -0.019 -0.191 1.016 1.702 -1.649 -5.87
0.2782277499999992 -0.037 -0.167 0.992 1.969 -2.252 0.557
0.28550829199999583 -0.083 -0.156 0.952 3.107 -3.42 -0.672
0.29782054199999664 -0.09 -0.147 0.927 5.13 -7.847 -4.466
0.3051902089999956 -0.08 -0.117 0.943 5.176 -9.191 -6.473
0.31713408399999565 -0.076 -0.115 0.972 2.763 -8.359 -6.427
0.324491916999996 -0.07 -0.113 1.011 -1.252 -6.13 -0.954
0.33649487499999964 -0.106 -0.097 1.027 -11.023 -6.275 2.466
0.34847312499999816 -0.124 -0.092 1.038 -9.504 -3.046 6.076
0.35588829199999594 -0.166 -0.094 1.018 -10.374 -0.924 9.817
0.36781458400000133 -0.199 -0.077 0.969 -6.16 -3.282 10.069
0.3748464589999969 -0.211 -0.102 0.983 -3.595 -5.359 10.71
0.38690962500000126 -0.187 -0.117 1.019 -5.954 -7.855 12.061
0.3941800420000021 -0.183 -0.12 1.035 -8.275 -8.061 13.504
0.40597841700000004 -0.227 -0.133 1.022 -14.611 -10.046 13.595
0.4180721250000019 -0.299 -0.131 1.035 -29.649 -12.763 14.878
0.4251549170000004 -0.342 -0.139 0.978 -26.756 -11.84 13.763
0.43713054199999846 -0.444 -0.173 0.901 -19.038 -9.595 9.336
0.4443895839999996 -0.487 -0.201 0.845 6.641 -6.405 7.229
0.45641929199999964 -0.43 -0.224 0.774 33.542 -5.878 4.275
0.4684526249999976 -0.436 -0.214 0.791 55.672 -10.305 11.229
0.47593166699999756 -0.027 0.007 0.954 66.237 -12.046 33.214
0.48761108400000097 -0.385 -0.278 0.742 70.244 -19.023 45.71
