Time AX AY AZ GX GY GZ
0.02006316599999991 0.203 -0.125 0.948 -2.824 0.74 0.725
0.027418458000000534 0.19 -0.134 0.942 -2.061 0.26 0.656
0.03940974999999991 0.198 -0.134 0.942 -1.015 -0.603 -0.031
0.04516245800000007 0.197 -0.135 0.954 -0.328 -0.55 -1.092
0.05886920799999995 0.199 -0.134 0.947 -0.351 -0.588 -0.374
0.07104991600000066 0.194 -0.139 0.944 -0.214 -0.656 -0.695
0.07813554099999998 0.201 -0.144 0.944 0.374 -0.511 -0.603
0.09061912499999991 0.2 -0.133 0.949 0.718 -0.519 -0.802
0.09771166600000036 0.208 -0.13 0.955 0.855 -0.359 -1.107
0.11013533300000056 0.204 -0.131 0.949 0.443 0.16 -0.29
0.11740408300000027 0.205 -0.133 0.94 0.061 0.427 -0.603
0.12983391599999994 0.201 -0.127 0.941 -0.053 0.26 -0.244
0.1369242910000006 0.197 -0.131 0.939 -0.282 0.763 -0.557
0.14934400000000014 0.194 -0.127 0.946 -1.069 0.328 -0.351
0.16163129099999995 0.191 -0.131 0.947 -1.473 0.344 -0.275
0.16855216600000045 0.196 -0.129 0.946 -0.817 -0.038 -0.412
0.18121808300000009 0.198 -0.126 0.941 -0.115 -0.458 -1.084
0.18825825000000052 0.195 -0.127 0.951 0.282 0.076 -1.023
0.20056791600000068 0.194 -0.134 0.954 0.275 -0.489 -0.702
0.20796625000000013 0.192 -0.141 0.954 -0.313 -0.099 -0.58
0.2200524580000005 0.197 -0.133 0.958 -0.58 -0.008 -0.74
0.22756987500000037 0.205 -0.135 0.955 -1.595 0.061 0.466
0.23981366600000076 0.201 -0.125 0.97 -0.29 -1.359 1.237
0.24713975000000055 0.201 -0.144 0.937 1.672 -1.595 -0.313
0.25947133300000047 0.205 -0.12 0.954 3.13 -1.26 -1.244
0.271294041 0.205 -0.133 0.945 2.977 -0.351 -1.901
0.27860495800000074 0.206 -0.127 0.953 0.756 0.336 -0.992
0.2910849579999999 0.199 -0.13 0.947 -1.168 1.076 0.695
0.29859704100000073 0.206 -0.133 0.952 -2.733 1.618 1.481
0.31091225000000033 0.191 -0.127 0.945 -1.847 1.221 1.931
0.3181070830000001 0.187 -0.138 0.945 -1.107 0.733 1.466
0.3306345410000002 0.195 -0.128 0.949 0.519 0.183 0.473
0.33813945800000056 0.199 -0.142 0.961 0.405 0.947 0.885
0.3504568749999999 0.205 -0.123 0.965 1.924 1.771 0.802
0.3578820830000007 0.211 -0.145 0.956 0.84 1.939 3.588
0.37021495800000004 0.205 -0.143 0.953 2.481 3.366 0.496
0.37764691600000067 0.208 -0.118 0.967 1.863 4.046 2.206
0.3901762910000004 0.196 -0.129 0.979 0.702 4.473 3.137
0.3975469580000004 0.2 -0.131 0.976 -0.489 4.802 2.168
0.4097814580000003 0.208 -0.136 0.986 -0.168 5.779 3.443
0.4172790000000006 0.193 -0.144 0.982 1.084 5.519 2.992
0.42975208300000034 0.19 -0.109 0.992 1.061 5.618 4.985
0.4370415000000003 0.227 -0.166 0.998 11.809 9.718 7.947
0.4492768329999999 0.172 -0.128 1.005 12.458 7.168 5.557
0.45537775000000025 0.197 -0.115 1.007 5.115 4.748 3.802
0.46932175000000065 0.209 -0.143 1.006 2.29 3.534 2.443
0.48151304100000036 0.226 -0.14 1.012 2.878 5.214 1.832
0.48902441600000035 0.232 -0.115 0.993 1.87 6.542 3.176
0.5013248749999999 0.216 -0.123 0.98 2.664 7.237 3.198
0.5088621250000003 0.216 -0.11 0.985 3.748 5.634 2.008
0.5210656250000003 0.22 -0.093 0.97 5.954 4.107 -0.145
0.5285881660000005 0.242 -0.085 0.986 3.443 3.985 -2.924
0.5408652910000002 0.246 -0.096 1.0 1.87 5.351 -2.824
0.5484049579999999 0.244 -0.088 1.002 0.389 5.748 -1.504
0.5604242500000005 0.247 -0.076 0.984 -0.053 5.267 -0.053
0.5679149580000002 0.249 -0.086 0.984 -0.29 3.901 1.458
0.5801341250000007 0.259 -0.104 0.999 1.221 3.412 0.145
0.587669708 0.264 -0.114 0.986 4.756 4.511 -2.427
0.599928791 0.26 -0.1 0.995 5.809 6.214 -3.924
0.6074823330000001 0.248 -0.105 0.983 3.115 6.695 -4.626
0.619876208 0.246 -0.098 0.985 2.076 5.634 -5.573
0.6270231660000007 0.251 -0.107 0.988 2.687 4.916 -4.29
0.6392375000000001 0.259 -0.119 0.995 3.588 3.351 -4.504
0.6515151250000004 0.261 -0.133 1.008 5.992 3.466 -6.153
0.659077666 0.281 -0.121 0.998 5.847 4.626 -7.664
0.6713577910000001 0.27 -0.118 0.992 3.924 5.687 -8.527
0.6788402910000002 0.252 -0.106 0.994 4.183 4.504 -7.893
0.6908426250000002 0.262 -0.092 0.97 4.481 2.74 -10.733
0.6982110830000003 0.284 -0.085 0.969 6.763 3.107 -10.756
0.710464708 0.283 -0.097 0.957 6.924 5.382 -12.824
0.7177112910000005 0.27 -0.091 0.953 6.13 7.328 -12.023
0.7300333330000006 0.265 -0.096 0.943 6.107 8.107 -12.664
0.7376922910000001 0.254 -0.097 0.948 6.573 8.206 -12.489
0.7495095000000003 0.244 -0.096 0.938 5.069 8.008 -12.282
0.7570188330000001 0.243 -0.087 0.936 3.168 7.397 -12.176
0.7690380000000001 0.242 -0.105 0.935 2.969 5.893 -12.389
0.7813169160000006 0.24 -0.122 0.94 4.351 4.824 -12.557
0.788605166 0.248 -0.105 0.939 7.481 3.779 -13.626
0.800848083 0.241 -0.089 0.925 8.588 2.137 -13.634
0.8081512499999999 0.25 -0.089 0.934 8.084 2.626 -15.267
0.8204757910000007 0.257 -0.087 0.938 7.122 3.573 -15.084
0.8276766250000005 0.251 -0.085 0.935 7.603 3.718 -15.603
0.8399663750000004 0.244 -0.081 0.927 7.42 3.962 -14.969
0.847219291 0.245 -0.085 0.933 6.153 4.321 -13.939
0.8595417080000001 0.253 -0.069 0.94 4.389 4.885 -13.366
0.8653730410000007 0.242 -0.064 0.928 0.916 5.092 -10.855
0.8790293330000001 0.242 -0.08 0.933 1.626 6.023 -12.458
0.8913376250000002 0.24 -0.058 0.939 3.817 6.71 -13.817
0.8986765410000004 0.219 -0.063 0.947 3.702 5.977 -14.603
0.9108925000000001 0.218 -0.057 0.954 3.985 5.038 -15.634
0.9181653750000001 0.202 -0.061 0.955 4.366 3.55 -16.397
0.930477958 0.208 -0.068 0.944 3.496 1.847 -16.611
0.9376922910000003 0.214 -0.087 0.96 4.176 1.656 -18.137
0.9500049160000001 0.207 -0.074 0.96 4.817 3.038 -19.053
0.9572646250000005 0.203 -0.065 0.931 5.863 1.786 -20.267
0.9692597910000007 0.199 -0.06 0.932 7.206 -0.214 -22.008
0.9815710830000004 0.206 -0.044 0.929 7.099 -1.328 -23.855
0.9888382910000004 0.202 -0.053 0.919 4.809 -0.947 -24.947
1.0008814580000003 0.18 -0.052 0.907 3.565 -1.916 -25.229
1.0081290410000001 0.179 -0.075 0.899 7.092 -3.328 -24.794
1.0201156250000007 0.185 -0.058 0.905 6.542 -3.611 -24.649
1.0275264580000005 0.186 -0.043 0.885 4.885 -2.672 -24.427
1.0399302910000001 0.174 -0.037 0.877 4.908 -3.305 -26.58
1.0471095000000004 0.171 -0.021 0.861 4.122 -4.641 -26.87
1.0590457500000001 0.158 -0.026 0.86 3.763 -6.031 -27.916
1.0710738750000006 0.172 -0.015 0.871 2.183 -6.099 -27.878
1.0783699580000006 0.171 -0.044 0.865 -0.473 -4.763 -26.519
1.090473416 0.164 -0.033 0.863 -0.328 -3.183 -25.824
1.0976809160000007 0.147 -0.052 0.855 -1.076 -2.985 -24.641
1.1098335410000004 0.142 -0.048 0.857 -2.763 -1.985 -25.733
1.1156988330000006 0.132 -0.047 0.847 -8.58 -3.107 -28.053
1.1288107500000004 0.151 -0.071 0.854 -7.206 -1.252 -26.847
1.1408690830000001 0.117 -0.081 0.846 -4.893 -1.908 -26.305
1.1482543330000006 0.106 -0.059 0.847 -5.382 -1.779 -24.71
1.1602264580000003 0.093 -0.054 0.847 -7.137 -2.389 -24.061
1.167468166 0.091 -0.079 0.85 -5.611 -1.786 -24.328
1.1795919580000005 0.079 -0.088 0.85 -7.0 -2.145 -23.954
1.1916279580000007 0.07 -0.098 0.863 -9.366 -2.237 -23.565
1.19862075 0.077 -0.115 0.865 -9.443 -2.351 -21.58
1.2106134160000002 0.063 -0.083 0.857 -6.809 -2.985 -19.733
1.217923666 0.052 -0.084 0.843 -6.496 -4.0 -21.191
1.230046541 0.058 -0.057 0.838 -5.656 -5.122 -21.305
1.2373165000000004 0.069 -0.058 0.84 -6.992 -5.214 -23.313
1.2492820410000007 0.064 -0.065 0.843 -8.985 -4.443 -22.939
1.2613480410000006 0.044 -0.079 0.837 -9.763 -4.214 -22.366
1.268470916 0.03 -0.074 0.854 -11.076 -5.031 -19.328
1.2804963330000003 0.02 -0.065 0.838 -11.626 -6.244 -19.0
1.2874152910000003 0.022 -0.095 0.871 -14.267 -7.321 -17.557
