Time AX AY AZ GX GY GZ
0.020055917000000534 -0.012 -0.295 0.973 0.405 -0.802 -1.237
0.02705041700000166 -0.003 -0.302 0.971 -1.084 -2.031 -1.702
0.03919774999999959 -0.01 -0.302 0.974 -2.397 -2.679 -1.489
0.05166837500000199 -0.008 -0.289 0.954 -0.565 -2.221 -1.031
0.05870762500000026 -0.006 -0.286 0.965 0.893 -1.626 -0.824
0.07112895799999919 -0.01 -0.288 0.96 1.344 0.42 -0.496
0.07856037500000213 -0.012 -0.291 0.966 2.084 1.618 -0.198
0.09094679200000044 -0.003 -0.28 0.959 3.137 3.076 0.168
0.0983334169999992 0.001 -0.286 0.946 2.351 1.87 0.29
0.11111379200000115 -0.012 -0.29 0.96 1.496 1.649 0.069
0.11841591700000009 -0.006 -0.296 0.952 1.122 1.16 -0.328
0.13058887500000083 -0.004 -0.295 0.942 -0.198 -0.55 -0.595
0.13782670800000218 -0.008 -0.291 0.951 -0.305 -1.412 -0.588
0.14987337500000208 -0.002 -0.296 0.948 -0.374 -1.954 -0.756
0.15722883300000134 -0.011 -0.299 0.95 -0.176 -2.328 -1.153
0.16951445800000187 -0.005 -0.291 0.96 1.244 -0.695 -1.0
0.1817807920000014 -0.002 -0.286 0.956 1.985 1.656 -0.168
0.18924383300000258 0.0 -0.29 0.956 2.168 1.725 -0.534
0.2015283330000024 -0.007 -0.3 0.948 2.237 1.519 -1.008
0.2088411249999993 -0.006 -0.295 0.951 -0.687 1.511 -0.427
0.22109716699999993 -0.008 -0.291 0.931 -1.985 1.481 -0.031
0.22841666700000118 -0.008 -0.281 0.914 -1.534 1.427 -0.435
0.24066604200000086 -0.014 -0.289 0.919 -0.916 2.382 -0.145
0.2479027500000015 -0.015 -0.278 0.918 -0.443 3.756 0.519
0.2601679170000004 -0.006 -0.279 0.935 -0.672 4.298 0.626
0.26783083300000143 -0.011 -0.274 0.928 0.733 4.153 0.626
0.27998374999999953 -0.01 -0.268 0.931 -1.786 3.214 -1.282
0.2872958330000017 -0.007 -0.265 0.933 -4.786 3.824 -1.809
0.2996086670000011 -0.013 -0.274 0.937 -5.145 3.527 -3.107
0.3117122919999993 -0.001 -0.299 0.953 -5.763 2.023 -4.939
0.31899266699999984 -0.002 -0.294 0.972 -5.458 0.878 -4.702
0.33100004199999944 -0.009 -0.305 1.008 -5.702 -0.618 -3.916
0.3385994580000009 -0.014 -0.29 1.025 -7.237 0.008 -2.679
0.350593583000002 -0.005 -0.278 1.059 -9.153 -0.969 -3.641
0.3578694579999997 -0.032 -0.257 1.116 -10.046 -0.412 -2.099
0.3701437080000005 -0.055 -0.281 1.249 -6.481 5.397 7.756
0.37741954200000194 -0.031 -0.275 1.265 -7.382 11.229 5.908
0.389699083 -0.016 -0.251 1.294 -7.802 12.901 6.885
0.4016919580000007 0.006 -0.255 1.309 -12.061 11.298 7.168
0.4089777080000019 0.008 -0.378 1.392 -33.71 -10.298 -2.076
